base_model,dc_solution,base_solution,comparison,OR_median_regularizing,OR_median_primary,OR_median_weak,OR_l95_regularizing,OR_l95_primary,OR_l95_weak,OR_u95_regularizing,OR_u95_primary,OR_u95_weak,posterior_probability_OR_gt_1_regularizing,posterior_probability_OR_gt_1_primary,posterior_probability_OR_gt_1_weak,posterior_probability_OR_lt_1_regularizing,posterior_probability_OR_lt_1_primary,posterior_probability_OR_lt_1_weak,conclusion_regularizing,conclusion_primary,conclusion_weak,direction_regularizing,direction_primary,direction_weak,direction_stable,conclusion_stable
gemma3,Static protection system,gemma3__Static protection system,CONTEXT vs ZEROSHOT,215.9904828388838,1852.1322120351463,8923.730137272221,101.51254047447007,537.5845270256731,1559.4673491158023,492.00003028714127,8122.35973389882,91996.85951786644,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,DC connectors,llama__DC connectors,CONTEXT vs ZEROSHOT,6.884362133617065,9.911624514004298,11.002860118693631,3.6496802981873455,4.859524158419256,5.060255965502418,13.651640778390849,22.21897239977461,27.02006625182385,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,DC measurement device,llama__DC measurement device,CONTEXT vs ZEROSHOT,0.8809576046724902,0.8632240626913997,0.8536516377811922,0.4418801950588764,0.40838831135579,0.39094117685289664,1.7461833364001922,1.746853700495064,1.8225319545849805,0.355875,0.341875,0.33725,0.644125,0.658125,0.66275,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,DC solution design tool,llama__DC solution design tool,CONTEXT vs ZEROSHOT,2.324363696574311,2.5438131139627966,2.606910536416457,1.3563232716366762,1.469538129507727,1.4589540026082897,3.9549400124800407,4.561804095258437,4.779378001880113,0.9995,0.9995,0.99975,5e-4,5e-4,2.5e-4,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,DC-DC converter,llama__DC-DC converter,CONTEXT vs ZEROSHOT,1.6490372522679455,1.7136107859603422,1.7228590145547247,1.0653737819639468,1.1104014812643004,1.0656507227244538,2.559952886121917,2.6932018625105543,2.8300619955967306,0.9885,0.990375,0.986375,0.0115,0.009625,0.013625,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,0.6678362074656449,0.6377439766112387,0.6310992240154087,0.38646244518298206,0.35976440714799546,0.3503604295688416,1.1290569049064236,1.1173547270206265,1.12796847677847,0.0665,0.058875,0.05925,0.9335,0.941125,0.94075,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,Network design tool for DC solutions,llama__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,1.6457798000558692,1.708752104342929,1.7167889068847253,1.0436359986624204,1.0480292001390072,1.062577522373424,2.594525884433178,2.7749258025381183,2.887581608270269,0.9835,0.986625,0.9855,0.0165,0.013375,0.0145,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,Protection DC system design tool,llama__Protection DC system design tool,CONTEXT vs ZEROSHOT,1.6111025940602675,1.6699586055160784,1.6774894690962514,1.0247974318849395,1.0482239225782224,1.0579023567686814,2.5536604029153835,2.6917122538054103,2.6975243335967813,0.980125,0.983875,0.9855,0.019875,0.016125,0.0145,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,Semiconductor-based circuit breaker,llama__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,38.74048339482111,113.71922733822981,194.87664908211556,19.59686709777204,42.29717758199769,60.53013554989076,84.25155714318106,398.50134126975047,961.0917463118194,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,Smart and sustainable DC cables,llama__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,1.3832813594910043,1.4093582742515443,1.4243246208523175,0.9007410659310902,0.8925256734109287,0.9173702517764466,2.116572486044645,2.228280895109773,2.206817420128136,0.928,0.93225,0.94425,0.072,0.06775,0.05575,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,Solid-state circuit breaker,llama__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,25.11371095418782,47.54739735876396,58.89953307398747,13.750909959275452,22.056713985866885,25.9652546086626,48.90488800005972,117.55318609949268,157.31997489517104,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
llama,Static protection system,llama__Static protection system,CONTEXT vs ZEROSHOT,21.693506418296067,41.51114156234023,52.7685233669758,11.295945735406638,18.66430921460174,22.128533325693486,43.93241914591805,109.7648654623142,158.53508256206698,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
mistral,DC connectors,mistral__DC connectors,CONTEXT vs ZEROSHOT,0.7019896172168166,0.557798876219032,0.5093884561895834,0.24186834467606777,0.14167768614777015,0.11574782828742823,2.0118031019862284,2.152282102868022,2.174363645243014,0.2445,0.19675,0.1755,0.7555,0.80325,0.8245,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
mistral,DC measurement device,mistral__DC measurement device,CONTEXT vs ZEROSHOT,0.15187388997388923,0.1257958521770277,0.1199693337832648,0.09091173906988964,0.07233959751222989,0.06863318856979057,0.24905598259474818,0.21093958234796303,0.2035250757738643,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
mistral,DC solution design tool,mistral__DC solution design tool,CONTEXT vs ZEROSHOT,2.7823062370296627,5.51546430997653,8.243722217426942,1.0406731849775595,1.4291920999248924,1.6859311932671934,7.804820428880549,30.07785628214335,72.66475167822334,0.98025,0.99475,0.997875,0.01975,0.00525,0.002125,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
mistral,DC-DC converter,mistral__DC-DC converter,CONTEXT vs ZEROSHOT,0.15125464078923026,0.10586268507106447,0.09559479295088175,0.07762924686837847,0.046580447040203504,0.03947099822154289,0.2859841571251742,0.21818083381855627,0.20615307125440138,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
mistral,LVAC-LVDC interlink converter,mistral__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,1.2149085052475292,1.2285199903061,1.2354942384365277,0.7813391096341435,0.7731813670806633,0.7748283363261543,1.8946683148072423,1.970758159240226,1.9692231953142258,0.799625,0.807875,0.8155,0.200375,0.192125,0.1845,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
mistral,Network design tool for DC solutions,mistral__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,1.7058635673951907,3.8927757731282187,9.525910717313778,0.5035320472434714,0.5334446255291388,0.737241223561827,6.158848203867375,40.86925412706322,349.31953614199887,0.8045,0.90425,0.954375,0.1955,0.09575,0.045625,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
mistral,Protection DC system design tool,mistral__Protection DC system design tool,CONTEXT vs ZEROSHOT,7.866799805275197,9.777277456594888,10.304354162709263,4.79650205613575,5.688597985354307,5.979660293045264,13.346311906984829,17.473835291546504,18.639262914282323,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
mistral,Semiconductor-based circuit breaker,mistral__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,72.3988924743838,205.62780097382733,318.0880996169692,37.48916415571242,83.13338549539114,119.78180309188403,150.6858552340161,600.9332198930966,1097.3766994852783,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
mistral,Smart and sustainable DC cables,mistral__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,0.152568126082174,0.1260125170636025,0.12000360075336533,0.09043069279060117,0.07040114682042466,0.06719875346640179,0.2533793382487222,0.2137431419678635,0.21020372467097473,0,0,0,1,1,1,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
mistral,Solid-state circuit breaker,mistral__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,37.24833080541475,137.00594121442106,398.69030884388565,18.32608124048438,44.1532384184716,77.82896036123843,81.990087414218,614.0282182427508,5096.545775776283,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
mistral,Static protection system,mistral__Static protection system,CONTEXT vs ZEROSHOT,158.417556000245,917.9098884447985,3214.8511763217966,77.24215316206329,297.15378999251965,670.0237721582123,347.27567451868873,3469.413004541835,30770.46765303912,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
phi4,DC connectors,phi4__DC connectors,CONTEXT vs ZEROSHOT,0.37963777251273795,0.3103009838728876,0.2881313224887213,0.18446937171653863,0.1332347797960325,0.11783881754299257,0.7496781372388175,0.6623084109900927,0.6413422199162317,0.00225,0.002125,0.001875,0.99775,0.997875,0.998125,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
phi4,DC measurement device,phi4__DC measurement device,CONTEXT vs ZEROSHOT,0.6103411881773596,0.5859537236061338,0.5824496616777732,0.39251876217472575,0.368118035170442,0.36462038159803845,0.938177490116284,0.9244700436205303,0.930942184190007,0.0125,0.013,0.012625,0.9875,0.987,0.987375,lower in Context,lower in Context,lower in Context,below 1,below 1,below 1,TRUE,TRUE
phi4,DC solution design tool,phi4__DC solution design tool,CONTEXT vs ZEROSHOT,2.687846570166693,7.4432608999887115,19.241583299308207,0.9164812011900623,1.4398062009787689,2.0648842157166403,8.644595069975036,61.23985657314885,622.9000667629324,0.963125,0.9925,0.997,0.036875,0.0075,0.003,uncertain,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,FALSE
phi4,DC-DC converter,phi4__DC-DC converter,CONTEXT vs ZEROSHOT,1.713155783078414,3.8895347660679045,9.53833656344134,0.500167967776445,0.5441964235391921,0.6887449559778746,6.338594725592215,38.903729559563615,381.9714726088255,0.800875,0.909375,0.95025,0.199125,0.090625,0.04975,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
phi4,LVAC-LVDC interlink converter,phi4__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,5.883639040215202,7.033331779057111,7.297662635729862,3.620968761817058,4.2095107446782984,4.2644348287549105,9.81849777345319,12.202711394366137,12.769092905870753,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
phi4,Network design tool for DC solutions,phi4__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,3.6445457758933255,10.744533928933691,29.452297945219122,1.315444756058128,2.2503911439331272,3.654283205542503,11.093578451486717,81.15050376276707,771.4122295631512,0.993375,0.9995,1,0.006625,5e-4,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
phi4,Protection DC system design tool,phi4__Protection DC system design tool,CONTEXT vs ZEROSHOT,3.6571980249695333,10.76277040597316,29.051398165094948,1.3404392373725178,2.381059087158902,3.473711741704348,10.827521704618999,73.93258169945186,829.5469059641589,0.99475,0.9995,0.999625,0.00525,5e-4,3.75e-4,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
phi4,Semiconductor-based circuit breaker,phi4__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,3.9237060663923735,11.670942624835288,30.651808597829564,1.4688004621854829,2.6968303201365815,4.016152165305085,11.383868893275537,78.42931296565034,836.01334607968,0.9975,0.99975,1,0.0025,2.5e-4,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
phi4,Smart and sustainable DC cables,phi4__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,1.7153769919695048,3.8544187089944417,9.744397288024508,0.4823902138983803,0.5398621093265442,0.700531664117029,6.602936156181525,40.952993537394875,369.9775279308808,0.804375,0.9095,0.951875,0.195625,0.0905,0.048125,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
phi4,Solid-state circuit breaker,phi4__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,1.9795583764027391,4.701436001981188,12.195648820522456,0.5695393000462666,0.7514395131306493,1.114564202444123,7.025607636575511,43.7819243629277,456.8462532293309,0.864875,0.94825,0.980375,0.135125,0.05175,0.019625,uncertain,uncertain,higher in Context,above 1,above 1,above 1,TRUE,FALSE
phi4,Static protection system,phi4__Static protection system,CONTEXT vs ZEROSHOT,12.083433377091819,39.85684568890214,112.2788804023196,5.529544261646469,11.877224128707313,18.501370664314738,29.576641021672465,219.85216660802965,2054.0925084618343,1,1,1,0,0,0,higher in Context,higher in Context,higher in Context,above 1,above 1,above 1,TRUE,TRUE
