base_model,dc_solution,condition,rating_value,n,proportion
mistral,DC solution design tool,CONTEXT,4,149,0.9933333333333333
mistral,DC-DC converter,ZEROSHOT,3,4,0.02666666666666667
mistral,DC-DC converter,ZEROSHOT,4,146,0.9733333333333334
mistral,DC-DC converter,CONTEXT,3,50,0.3333333333333333
mistral,DC-DC converter,CONTEXT,4,100,0.6666666666666666
mistral,LVAC-LVDC interlink converter,ZEROSHOT,3,59,0.3933333333333333
mistral,LVAC-LVDC interlink converter,ZEROSHOT,4,91,0.6066666666666667
mistral,LVAC-LVDC interlink converter,CONTEXT,3,53,0.35333333333333333
mistral,LVAC-LVDC interlink converter,CONTEXT,4,97,0.6466666666666666
mistral,Network design tool for DC solutions,ZEROSHOT,4,150,1
mistral,Network design tool for DC solutions,CONTEXT,4,150,1
mistral,Protection DC system design tool,ZEROSHOT,3,92,0.6133333333333333
mistral,Protection DC system design tool,ZEROSHOT,4,58,0.38666666666666666
mistral,Protection DC system design tool,CONTEXT,3,20,0.13333333333333333
mistral,Protection DC system design tool,CONTEXT,4,130,0.8666666666666667
mistral,Semiconductor-based circuit breaker,ZEROSHOT,3,134,0.8933333333333333
mistral,Semiconductor-based circuit breaker,ZEROSHOT,4,16,0.10666666666666667
mistral,Semiconductor-based circuit breaker,CONTEXT,3,3,0.02
mistral,Semiconductor-based circuit breaker,CONTEXT,4,147,0.98
mistral,Smart and sustainable DC cables,ZEROSHOT,3,65,0.43333333333333335
mistral,Smart and sustainable DC cables,ZEROSHOT,4,85,0.5666666666666667
mistral,Smart and sustainable DC cables,CONTEXT,3,132,0.88
mistral,Smart and sustainable DC cables,CONTEXT,4,18,0.12
mistral,Solid-state circuit breaker,ZEROSHOT,3,98,0.6533333333333333
mistral,Solid-state circuit breaker,ZEROSHOT,4,52,0.3466666666666667
mistral,Solid-state circuit breaker,CONTEXT,4,150,1
mistral,Static protection system,ZEROSHOT,3,145,0.9666666666666667
mistral,Static protection system,ZEROSHOT,4,5,0.03333333333333333
mistral,Static protection system,CONTEXT,4,150,1
phi4,DC connectors,ZEROSHOT,3,5,0.03333333333333333
phi4,DC connectors,ZEROSHOT,4,145,0.9666666666666667
phi4,DC connectors,CONTEXT,3,23,0.15333333333333332
phi4,DC connectors,CONTEXT,4,127,0.8466666666666667
phi4,DC measurement device,ZEROSHOT,3,46,0.30666666666666664
phi4,DC measurement device,ZEROSHOT,4,104,0.6933333333333334
phi4,DC measurement device,CONTEXT,3,67,0.44666666666666666
phi4,DC measurement device,CONTEXT,4,83,0.5533333333333333
phi4,DC solution design tool,ZEROSHOT,3,4,0.02666666666666667
phi4,DC solution design tool,ZEROSHOT,4,146,0.9733333333333334
phi4,DC solution design tool,CONTEXT,4,150,1
phi4,DC-DC converter,ZEROSHOT,4,150,1
phi4,DC-DC converter,CONTEXT,4,150,1
phi4,LVAC-LVDC interlink converter,ZEROSHOT,3,87,0.58
phi4,LVAC-LVDC interlink converter,ZEROSHOT,4,63,0.42
phi4,LVAC-LVDC interlink converter,CONTEXT,3,24,0.16
phi4,LVAC-LVDC interlink converter,CONTEXT,4,126,0.84
phi4,Network design tool for DC solutions,ZEROSHOT,3,8,0.05333333333333334
phi4,Network design tool for DC solutions,ZEROSHOT,4,142,0.9466666666666667
phi4,Network design tool for DC solutions,CONTEXT,4,150,1
phi4,Protection DC system design tool,ZEROSHOT,3,8,0.05333333333333334
phi4,Protection DC system design tool,ZEROSHOT,4,142,0.9466666666666667
phi4,Protection DC system design tool,CONTEXT,4,150,1
phi4,Semiconductor-based circuit breaker,ZEROSHOT,3,9,0.06
phi4,Semiconductor-based circuit breaker,ZEROSHOT,4,141,0.94
phi4,Semiconductor-based circuit breaker,CONTEXT,4,150,1
phi4,Smart and sustainable DC cables,ZEROSHOT,4,150,1
phi4,Smart and sustainable DC cables,CONTEXT,4,150,1
phi4,Solid-state circuit breaker,ZEROSHOT,3,1,0.006666666666666667
phi4,Solid-state circuit breaker,ZEROSHOT,4,149,0.9933333333333333
phi4,Solid-state circuit breaker,CONTEXT,4,150,1
phi4,Static protection system,ZEROSHOT,3,42,0.28
phi4,Static protection system,ZEROSHOT,4,108,0.72
phi4,Static protection system,CONTEXT,4,150,1
