row_id,base_model,variant_id,model,barrier_id,barrier_label,condition,source,scenario,bias_type,anchor_level,iteration,timestamp
he23_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he01_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he03_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he04_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he05_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he06_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he07_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he08_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he10_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he11_s1,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he13_s2,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he17_s2,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he21_s2,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
he22_s2,,,,11,high costs of DC solutions,NEU,human,NEU,,,,
