row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,truncated
subject_matter_llama_51_b2,llama,subject_matter_llama,subject_matter,2,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous (Barrier 3),matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter_llama_51_b3,llama,subject_matter_llama,subject_matter,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertainty in utility interaction (net metering, utility ownership, and agreed standards) (Barrier 4)",matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter_llama_51_b4,llama,subject_matter_llama,subject_matter,4,,Lack of pilot projects (Barrier 5),hallucinated_label,outside_range_id,True,51,20250808_103537,no
subject_matter_llama_51_b5,llama,subject_matter_llama,subject_matter,5,public perception of DC and readiness to 'champion' installations from DC projects,Public perception of DC and readiness to 'champion' installations from DC projects (Barrier 6),matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter2_llama_51_b1,llama,subject_matter2_llama,subject_matter2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
subject_matter2_llama_51_b2,llama,subject_matter2_llama,subject_matter2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
subject_matter2_llama_51_b3,llama,subject_matter2_llama,subject_matter2,3,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter2_llama_51_b4,llama,subject_matter2_llama,subject_matter2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
subject_matter2_llama_51_b5,llama,subject_matter2_llama,subject_matter2,5,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,wrong_id_matchable,False,51,20250808_103537,no
generalist_mistral_51_b1,mistral,generalist_mistral,generalist,1,"power losses, quality and safety issues","power losses, quality, and safety issues",matched,correct_id,False,51,20250808_103537,no
generalist_mistral_51_b2,mistral,generalist_mistral,generalist,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
generalist_mistral_51_b3,mistral,generalist_mistral,generalist,3,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,51,20250808_103537,no
generalist_mistral_51_b4,mistral,generalist_mistral,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
generalist_mistral_51_b5,mistral,generalist_mistral,generalist,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,51,20250808_103537,no
generalist2_mistral_51_b1,mistral,generalist2_mistral,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
generalist2_mistral_51_b2,mistral,generalist2_mistral,generalist2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
generalist2_mistral_51_b3,mistral,generalist2_mistral,generalist2,3,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,51,20250808_103537,no
generalist2_mistral_51_b4,mistral,generalist2_mistral,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
generalist2_mistral_51_b5,mistral,generalist2_mistral,generalist2,5,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,False,51,20250808_103537,no
normative_mistral_51_b1,mistral,normative_mistral,normative,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
normative_mistral_51_b2,mistral,normative_mistral,normative,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
normative_mistral_51_b3,mistral,normative_mistral,normative,3,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,51,20250808_103537,no
normative_mistral_51_b4,mistral,normative_mistral,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
normative_mistral_51_b5,mistral,normative_mistral,normative,5,uncertain regulatory roadmap,uncertainty in the regulatory roadmap,matched,wrong_id_matchable,False,51,20250808_103537,no
normative_mistral_51_b6,mistral,normative_mistral,normative,6,,"lack of enough trained personnel in DC systems (optional, if not already included in ""lack of pilot projects"")",hallucinated_label,outside_range_id,True,51,20250808_103537,yes
normative2_mistral_51_b1,mistral,normative2_mistral,normative2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
normative2_mistral_51_b4,mistral,normative2_mistral,normative2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
normative2_mistral_51_b5,mistral,normative2_mistral,normative2,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,51,20250808_103537,no
normative2_mistral_51_b8,mistral,normative2_mistral,normative2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,51,20250808_103537,no
normative2_mistral_51_b9,mistral,normative2_mistral,normative2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,51,20250808_103537,no
normative2_mistral_51_b10,mistral,normative2_mistral,normative2,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,51,20250808_103537,yes
subject_matter_mistral_51_b1,mistral,subject_matter_mistral,subject_matter,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
subject_matter_mistral_51_b2,mistral,subject_matter_mistral,subject_matter,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
subject_matter_mistral_51_b3,mistral,subject_matter_mistral,subject_matter,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter_mistral_51_b4,mistral,subject_matter_mistral,subject_matter,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter_mistral_51_b5,mistral,subject_matter_mistral,subject_matter,5,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter2_mistral_51_b1,mistral,subject_matter2_mistral,subject_matter2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
subject_matter2_mistral_51_b2,mistral,subject_matter2_mistral,subject_matter2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,51,20250808_103537,no
subject_matter2_mistral_51_b3,mistral,subject_matter2_mistral,subject_matter2,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter2_mistral_51_b4,mistral,subject_matter2_mistral,subject_matter2,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,51,20250808_103537,no
subject_matter2_mistral_51_b5,mistral,subject_matter2_mistral,subject_matter2,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,51,20250808_103537,no
generalist_gemma3_51_b1,gemma3,generalist_gemma3,generalist,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
generalist_gemma3_51_b4,gemma3,generalist_gemma3,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
generalist_gemma3_51_b7,gemma3,generalist_gemma3,generalist,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,51,20250808_103537,no
generalist_gemma3_51_b8,gemma3,generalist_gemma3,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,51,20250808_103537,no
generalist_gemma3_51_b11,gemma3,generalist_gemma3,generalist,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,51,20250808_103537,no
generalist2_gemma3_51_b1,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
generalist2_gemma3_51_b4,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
generalist2_gemma3_51_b7,gemma3,generalist2_gemma3,generalist2,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,51,20250808_103537,no
generalist2_gemma3_51_b8,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,51,20250808_103537,no
generalist2_gemma3_51_b11,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,51,20250808_103537,no
normative_gemma3_51_b1,gemma3,normative_gemma3,normative,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
normative_gemma3_51_b4,gemma3,normative_gemma3,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
normative_gemma3_51_b7,gemma3,normative_gemma3,normative,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,51,20250808_103537,no
normative_gemma3_51_b9,gemma3,normative_gemma3,normative,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,51,20250808_103537,no
normative_gemma3_51_b11,gemma3,normative_gemma3,normative,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,51,20250808_103537,no
normative2_gemma3_51_b1,gemma3,normative2_gemma3,normative2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
normative2_gemma3_51_b4,gemma3,normative2_gemma3,normative2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
normative2_gemma3_51_b7,gemma3,normative2_gemma3,normative2,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,51,20250808_103537,no
normative2_gemma3_51_b8,gemma3,normative2_gemma3,normative2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,51,20250808_103537,no
normative2_gemma3_51_b11,gemma3,normative2_gemma3,normative2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,51,20250808_103537,no
subject_matter_gemma3_51_b1,gemma3,subject_matter_gemma3,subject_matter,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
subject_matter_gemma3_51_b4,gemma3,subject_matter_gemma3,subject_matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
subject_matter_gemma3_51_b7,gemma3,subject_matter_gemma3,subject_matter,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,51,20250808_103537,no
subject_matter_gemma3_51_b9,gemma3,subject_matter_gemma3,subject_matter,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,51,20250808_103537,no
subject_matter_gemma3_51_b11,gemma3,subject_matter_gemma3,subject_matter,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,51,20250808_103537,no
subject_matter2_gemma3_51_b1,gemma3,subject_matter2_gemma3,subject_matter2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,51,20250808_103537,no
subject_matter2_gemma3_51_b4,gemma3,subject_matter2_gemma3,subject_matter2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,51,20250808_103537,no
subject_matter2_gemma3_51_b7,gemma3,subject_matter2_gemma3,subject_matter2,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,51,20250808_103537,no
subject_matter2_gemma3_51_b9,gemma3,subject_matter2_gemma3,subject_matter2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,51,20250808_103537,no
subject_matter2_gemma3_51_b11,gemma3,subject_matter2_gemma3,subject_matter2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,51,20250808_103537,no
generalist_llama_52_b1,llama,generalist_llama,generalist,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
generalist_llama_52_b2,llama,generalist_llama,generalist,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
generalist_llama_52_b3,llama,generalist_llama,generalist,3,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,52,20250808_104128,no
generalist_llama_52_b4,llama,generalist_llama,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,52,20250808_104128,no
generalist_llama_52_b5,llama,generalist_llama,generalist,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,52,20250808_104128,no
generalist_llama_52_b6,llama,generalist_llama,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,52,20250808_104128,yes
generalist_llama_52_b7,llama,generalist_llama,generalist,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,52,20250808_104128,yes
generalist2_llama_52_b5,llama,generalist2_llama,generalist2,5,"power losses, quality and safety issues","power losses, quality and safety issues",matched,wrong_id_matchable,False,52,20250808_104128,no
generalist2_llama_52_b7,llama,generalist2_llama,generalist2,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,52,20250808_104128,no
generalist2_llama_52_b8,llama,generalist2_llama,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,52,20250808_104128,no
generalist2_llama_52_b9,llama,generalist2_llama,generalist2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,52,20250808_104128,no
generalist2_llama_52_b10,llama,generalist2_llama,generalist2,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,52,20250808_104128,no
normative_llama_52_b1,llama,normative_llama,normative,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
normative_llama_52_b2,llama,normative_llama,normative,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
normative_llama_52_b3,llama,normative_llama,normative,3,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,52,20250808_104128,no
normative_llama_52_b4,llama,normative_llama,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,52,20250808_104128,no
normative_llama_52_b5,llama,normative_llama,normative,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,52,20250808_104128,no
normative_llama_52_b6,llama,normative_llama,normative,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,52,20250808_104128,yes
normative_llama_52_b7,llama,normative_llama,normative,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,52,20250808_104128,yes
normative_llama_52_b8,llama,normative_llama,normative,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,52,20250808_104128,yes
normative_llama_52_b9,llama,normative_llama,normative,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,52,20250808_104128,yes
normative_llama_52_b10,llama,normative_llama,normative,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,52,20250808_104128,yes
normative2_llama_52_b1,llama,normative2_llama,normative2,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,52,20250808_104128,no
normative2_llama_52_b2,llama,normative2_llama,normative2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
normative2_llama_52_b3,llama,normative2_llama,normative2,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,52,20250808_104128,no
normative2_llama_52_b4,llama,normative2_llama,normative2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,52,20250808_104128,no
normative2_llama_52_b5,llama,normative2_llama,normative2,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,52,20250808_104128,no
subject_matter_llama_52_b1,llama,subject_matter_llama,subject_matter,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,52,20250808_104128,no
subject_matter_llama_52_b2,llama,subject_matter_llama,subject_matter,2,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,wrong_id_matchable,False,52,20250808_104128,no
subject_matter_llama_52_b3,llama,subject_matter_llama,subject_matter,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,52,20250808_104128,no
subject_matter_llama_52_b4,llama,subject_matter_llama,subject_matter,4,incompatibility of DC systems components,Incompatibility of DC systems components,matched,wrong_id_matchable,False,52,20250808_104128,no
subject_matter_llama_52_b5,llama,subject_matter_llama,subject_matter,5,public perception of DC and readiness to 'champion' installations from DC projects,Public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,52,20250808_104128,no
subject_matter2_llama_52_b1,llama,subject_matter2_llama,subject_matter2,1,"power losses, quality and safety issues","Power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
subject_matter2_llama_52_b2,llama,subject_matter2_llama,subject_matter2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
subject_matter2_llama_52_b3,llama,subject_matter2_llama,subject_matter2,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,52,20250808_104128,no
subject_matter2_llama_52_b4,llama,subject_matter2_llama,subject_matter2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,52,20250808_104128,no
subject_matter2_llama_52_b5,llama,subject_matter2_llama,subject_matter2,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,52,20250808_104128,no
generalist_mistral_52_b1,mistral,generalist_mistral,generalist,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
generalist_mistral_52_b2,mistral,generalist_mistral,generalist,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
generalist_mistral_52_b3,mistral,generalist_mistral,generalist,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,52,20250808_104128,no
generalist_mistral_52_b4,mistral,generalist_mistral,generalist,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,52,20250808_104128,no
generalist_mistral_52_b5,mistral,generalist_mistral,generalist,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,52,20250808_104128,no
generalist2_mistral_52_b1,mistral,generalist2_mistral,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
generalist2_mistral_52_b2,mistral,generalist2_mistral,generalist2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
generalist2_mistral_52_b3,mistral,generalist2_mistral,generalist2,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,52,20250808_104128,no
generalist2_mistral_52_b4,mistral,generalist2_mistral,generalist2,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,52,20250808_104128,no
generalist2_mistral_52_b5,mistral,generalist2_mistral,generalist2,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,52,20250808_104128,no
normative_mistral_52_b1,mistral,normative_mistral,normative,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
normative_mistral_52_b2,mistral,normative_mistral,normative,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
normative_mistral_52_b3,mistral,normative_mistral,normative,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,52,20250808_104128,no
normative_mistral_52_b4,mistral,normative_mistral,normative,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,52,20250808_104128,no
normative_mistral_52_b5,mistral,normative_mistral,normative,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,52,20250808_104128,no
normative2_mistral_52_b1,mistral,normative2_mistral,normative2,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,52,20250808_104128,no
normative2_mistral_52_b2,mistral,normative2_mistral,normative2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
normative2_mistral_52_b3,mistral,normative2_mistral,normative2,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,52,20250808_104128,no
normative2_mistral_52_b4,mistral,normative2_mistral,normative2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,52,20250808_104128,no
normative2_mistral_52_b5,mistral,normative2_mistral,normative2,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,52,20250808_104128,no
normative2_mistral_52_b6,mistral,normative2_mistral,normative2,6,public perception of DC and readiness to 'champion' installations from DC projects,Public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,52,20250808_104128,yes
subject_matter_mistral_52_b1,mistral,subject_matter_mistral,subject_matter,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,52,20250808_104128,no
subject_matter_mistral_52_b2,mistral,subject_matter_mistral,subject_matter,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,52,20250808_104128,no
subject_matter_mistral_52_b3,mistral,subject_matter_mistral,subject_matter,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,52,20250808_104128,no
subject_matter_mistral_52_b4,mistral,subject_matter_mistral,subject_matter,4,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,52,20250808_104128,no
