family,model,arm,iteration,n_rows,n_distinct_barriers,valid_top5_response
gemma3,generalist,example,6,5,5,TRUE
gemma3,generalist,example,7,5,5,TRUE
gemma3,generalist,example,8,5,5,TRUE
gemma3,generalist,example,9,5,5,TRUE
gemma3,generalist,high-numeric,0,5,5,TRUE
gemma3,generalist,high-numeric,1,5,5,TRUE
gemma3,generalist,high-numeric,2,5,5,TRUE
gemma3,generalist,high-numeric,3,5,5,TRUE
gemma3,generalist,high-numeric,4,5,5,TRUE
gemma3,generalist,high-numeric,5,5,5,TRUE
gemma3,generalist,high-numeric,6,5,5,TRUE
gemma3,generalist,high-numeric,7,5,5,TRUE
gemma3,generalist,high-numeric,8,5,5,TRUE
gemma3,generalist,high-numeric,9,5,5,TRUE
gemma3,generalist,low-numeric,0,5,5,TRUE
gemma3,generalist,low-numeric,1,5,5,TRUE
gemma3,generalist,low-numeric,2,5,5,TRUE
gemma3,generalist,low-numeric,3,5,5,TRUE
gemma3,generalist,low-numeric,4,5,5,TRUE
gemma3,generalist,low-numeric,5,5,5,TRUE
gemma3,generalist,low-numeric,6,5,5,TRUE
gemma3,generalist,low-numeric,7,5,5,TRUE
gemma3,generalist,low-numeric,8,5,5,TRUE
gemma3,generalist,low-numeric,9,5,5,TRUE
gemma3,generalist,word,0,5,5,TRUE
gemma3,generalist,word,1,5,5,TRUE
gemma3,generalist,word,2,5,5,TRUE
gemma3,generalist,word,3,5,5,TRUE
gemma3,generalist,word,4,5,5,TRUE
gemma3,generalist,word,5,5,5,TRUE
gemma3,generalist,word,6,5,5,TRUE
gemma3,generalist,word,7,5,5,TRUE
gemma3,generalist,word,8,5,5,TRUE
gemma3,generalist,word,9,5,5,TRUE
gemma3,normative,context,0,5,5,TRUE
gemma3,normative,context,1,5,5,TRUE
gemma3,normative,context,2,5,5,TRUE
gemma3,normative,context,3,5,5,TRUE
gemma3,normative,context,4,5,5,TRUE
gemma3,normative,context,5,5,5,TRUE
gemma3,normative,context,6,5,5,TRUE
gemma3,normative,context,7,5,5,TRUE
gemma3,normative,context,8,5,5,TRUE
gemma3,normative,context,9,5,5,TRUE
gemma3,normative,context,10,5,5,TRUE
gemma3,normative,context,11,5,5,TRUE
gemma3,normative,context,12,5,5,TRUE
gemma3,normative,context,13,5,5,TRUE
gemma3,normative,context,14,5,5,TRUE
gemma3,normative,context,15,5,5,TRUE
gemma3,normative,context,16,5,5,TRUE
gemma3,normative,context,17,5,5,TRUE
gemma3,normative,context,18,5,5,TRUE
gemma3,normative,context,19,5,5,TRUE
gemma3,normative,context,20,5,5,TRUE
gemma3,normative,context,21,5,5,TRUE
gemma3,normative,context,22,5,5,TRUE
gemma3,normative,context,23,5,5,TRUE
gemma3,normative,context,24,5,5,TRUE
gemma3,normative,context,25,5,5,TRUE
gemma3,normative,context,26,5,5,TRUE
gemma3,normative,context,27,5,5,TRUE
gemma3,normative,context,28,5,5,TRUE
gemma3,normative,context,29,5,5,TRUE
gemma3,normative,context,30,5,5,TRUE
gemma3,normative,context,31,5,5,TRUE
gemma3,normative,context,32,5,5,TRUE
gemma3,normative,context,33,5,5,TRUE
gemma3,normative,context,34,5,5,TRUE
gemma3,normative,context,35,5,5,TRUE
gemma3,normative,context,36,5,5,TRUE
gemma3,normative,context,37,5,5,TRUE
gemma3,normative,context,38,5,5,TRUE
gemma3,normative,context,39,5,5,TRUE
gemma3,normative,context,40,5,5,TRUE
gemma3,normative,context,41,5,5,TRUE
gemma3,normative,context,42,5,5,TRUE
gemma3,normative,context,43,5,5,TRUE
gemma3,normative,context,44,5,5,TRUE
gemma3,normative,context,45,5,5,TRUE
gemma3,normative,context,46,5,5,TRUE
gemma3,normative,context,47,5,5,TRUE
gemma3,normative,context,48,5,5,TRUE
gemma3,normative,context,49,5,5,TRUE
gemma3,normative,example,0,5,5,TRUE
gemma3,normative,example,1,5,5,TRUE
gemma3,normative,example,2,5,5,TRUE
gemma3,normative,example,3,5,5,TRUE
gemma3,normative,example,4,5,5,TRUE
gemma3,normative,example,5,5,5,TRUE
gemma3,normative,example,6,5,5,TRUE
gemma3,normative,example,7,5,5,TRUE
gemma3,normative,example,8,5,5,TRUE
gemma3,normative,example,9,5,5,TRUE
gemma3,normative,high-numeric,0,5,5,TRUE
gemma3,normative,high-numeric,1,5,5,TRUE
gemma3,normative,high-numeric,2,5,5,TRUE
gemma3,normative,high-numeric,3,5,5,TRUE
gemma3,normative,high-numeric,4,5,5,TRUE
gemma3,normative,high-numeric,5,5,5,TRUE
gemma3,normative,high-numeric,6,5,5,TRUE
gemma3,normative,high-numeric,7,5,5,TRUE
gemma3,normative,high-numeric,8,5,5,TRUE
gemma3,normative,high-numeric,9,5,5,TRUE
gemma3,normative,low-numeric,0,5,5,TRUE
gemma3,normative,low-numeric,1,5,5,TRUE
gemma3,normative,low-numeric,2,5,5,TRUE
gemma3,normative,low-numeric,3,5,5,TRUE
gemma3,normative,low-numeric,4,5,5,TRUE
gemma3,normative,low-numeric,5,5,5,TRUE
gemma3,normative,low-numeric,6,5,5,TRUE
gemma3,normative,low-numeric,7,5,5,TRUE
gemma3,normative,low-numeric,8,5,5,TRUE
gemma3,normative,low-numeric,9,5,5,TRUE
gemma3,normative,word,0,5,5,TRUE
gemma3,normative,word,1,5,5,TRUE
gemma3,normative,word,2,5,5,TRUE
gemma3,normative,word,3,5,5,TRUE
gemma3,normative,word,4,5,5,TRUE
gemma3,normative,word,5,5,5,TRUE
gemma3,normative,word,6,5,5,TRUE
gemma3,normative,word,7,5,5,TRUE
gemma3,normative,word,8,5,5,TRUE
gemma3,normative,word,9,5,5,TRUE
gemma3,subject-matter,context,0,5,5,TRUE
gemma3,subject-matter,context,1,5,5,TRUE
gemma3,subject-matter,context,2,5,5,TRUE
gemma3,subject-matter,context,3,5,5,TRUE
gemma3,subject-matter,context,4,5,5,TRUE
gemma3,subject-matter,context,5,5,5,TRUE
gemma3,subject-matter,context,6,5,5,TRUE
gemma3,subject-matter,context,7,5,5,TRUE
gemma3,subject-matter,context,8,5,5,TRUE
gemma3,subject-matter,context,9,5,5,TRUE
gemma3,subject-matter,context,10,5,5,TRUE
gemma3,subject-matter,context,11,5,5,TRUE
gemma3,subject-matter,context,12,5,5,TRUE
gemma3,subject-matter,context,13,5,5,TRUE
gemma3,subject-matter,context,14,5,5,TRUE
gemma3,subject-matter,context,15,5,5,TRUE
gemma3,subject-matter,context,16,5,5,TRUE
gemma3,subject-matter,context,17,5,5,TRUE
gemma3,subject-matter,context,18,5,5,TRUE
gemma3,subject-matter,context,19,5,5,TRUE
gemma3,subject-matter,context,20,5,5,TRUE
gemma3,subject-matter,context,21,5,5,TRUE
gemma3,subject-matter,context,22,5,5,TRUE
gemma3,subject-matter,context,23,5,5,TRUE
gemma3,subject-matter,context,24,5,5,TRUE
gemma3,subject-matter,context,25,5,5,TRUE
gemma3,subject-matter,context,26,5,5,TRUE
gemma3,subject-matter,context,27,5,5,TRUE
gemma3,subject-matter,context,28,5,5,TRUE
gemma3,subject-matter,context,29,5,5,TRUE
gemma3,subject-matter,context,30,5,5,TRUE
gemma3,subject-matter,context,31,5,5,TRUE
gemma3,subject-matter,context,32,5,5,TRUE
gemma3,subject-matter,context,33,5,5,TRUE
gemma3,subject-matter,context,34,5,5,TRUE
gemma3,subject-matter,context,35,5,5,TRUE
gemma3,subject-matter,context,36,5,5,TRUE
gemma3,subject-matter,context,37,5,5,TRUE
gemma3,subject-matter,context,38,5,5,TRUE
gemma3,subject-matter,context,39,5,5,TRUE
gemma3,subject-matter,context,40,5,5,TRUE
gemma3,subject-matter,context,41,5,5,TRUE
gemma3,subject-matter,context,42,5,5,TRUE
gemma3,subject-matter,context,43,5,5,TRUE
gemma3,subject-matter,context,44,5,5,TRUE
gemma3,subject-matter,context,45,5,5,TRUE
gemma3,subject-matter,context,46,5,5,TRUE
gemma3,subject-matter,context,47,5,5,TRUE
gemma3,subject-matter,context,48,5,5,TRUE
gemma3,subject-matter,context,49,5,5,TRUE
gemma3,subject-matter,example,0,5,5,TRUE
gemma3,subject-matter,example,1,5,5,TRUE
gemma3,subject-matter,example,2,5,5,TRUE
gemma3,subject-matter,example,3,5,5,TRUE
gemma3,subject-matter,example,4,5,5,TRUE
gemma3,subject-matter,example,5,5,5,TRUE
gemma3,subject-matter,example,6,5,5,TRUE
gemma3,subject-matter,example,7,5,5,TRUE
gemma3,subject-matter,example,8,5,5,TRUE
gemma3,subject-matter,example,9,5,5,TRUE
gemma3,subject-matter,high-numeric,0,5,5,TRUE
gemma3,subject-matter,high-numeric,1,5,5,TRUE
gemma3,subject-matter,high-numeric,2,5,5,TRUE
gemma3,subject-matter,high-numeric,3,5,5,TRUE
gemma3,subject-matter,high-numeric,4,5,5,TRUE
gemma3,subject-matter,high-numeric,5,5,5,TRUE
gemma3,subject-matter,high-numeric,6,5,5,TRUE
gemma3,subject-matter,high-numeric,7,5,5,TRUE
gemma3,subject-matter,high-numeric,8,5,5,TRUE
gemma3,subject-matter,high-numeric,9,5,5,TRUE
gemma3,subject-matter,low-numeric,0,5,5,TRUE
gemma3,subject-matter,low-numeric,1,5,5,TRUE
gemma3,subject-matter,low-numeric,2,5,5,TRUE
gemma3,subject-matter,low-numeric,3,5,5,TRUE
gemma3,subject-matter,low-numeric,4,5,5,TRUE
gemma3,subject-matter,low-numeric,5,5,5,TRUE
gemma3,subject-matter,low-numeric,6,5,5,TRUE
gemma3,subject-matter,low-numeric,7,5,5,TRUE
gemma3,subject-matter,low-numeric,8,5,5,TRUE
gemma3,subject-matter,low-numeric,9,5,5,TRUE
gemma3,subject-matter,word,0,5,5,TRUE
gemma3,subject-matter,word,1,5,5,TRUE
gemma3,subject-matter,word,2,5,5,TRUE
gemma3,subject-matter,word,3,5,5,TRUE
gemma3,subject-matter,word,4,5,5,TRUE
gemma3,subject-matter,word,5,5,5,TRUE
gemma3,subject-matter,word,6,5,5,TRUE
gemma3,subject-matter,word,7,5,5,TRUE
gemma3,subject-matter,word,8,5,5,TRUE
gemma3,subject-matter,word,9,5,5,TRUE
llama,generalist,context,0,5,5,TRUE
llama,generalist,context,1,5,5,TRUE
llama,generalist,context,2,5,5,TRUE
llama,generalist,context,3,5,5,TRUE
llama,generalist,context,4,5,5,TRUE
llama,generalist,context,5,5,5,TRUE
llama,generalist,context,6,5,5,TRUE
llama,generalist,context,7,5,5,TRUE
llama,generalist,context,8,5,5,TRUE
llama,generalist,context,9,5,5,TRUE
llama,generalist,context,10,5,5,TRUE
llama,generalist,context,11,5,5,TRUE
llama,generalist,context,12,5,5,TRUE
llama,generalist,context,13,5,5,TRUE
llama,generalist,context,14,5,5,TRUE
llama,generalist,context,15,5,5,TRUE
llama,generalist,context,16,5,5,TRUE
llama,generalist,context,17,5,5,TRUE
llama,generalist,context,18,5,5,TRUE
llama,generalist,context,19,5,5,TRUE
llama,generalist,context,20,5,5,TRUE
llama,generalist,context,21,5,5,TRUE
llama,generalist,context,22,5,5,TRUE
llama,generalist,context,23,5,5,TRUE
llama,generalist,context,24,5,5,TRUE
llama,generalist,context,25,5,5,TRUE
llama,generalist,context,26,5,5,TRUE
llama,generalist,context,27,5,5,TRUE
llama,generalist,context,28,5,5,TRUE
llama,generalist,context,29,5,5,TRUE
llama,generalist,context,30,5,5,TRUE
llama,generalist,context,31,5,5,TRUE
llama,generalist,context,32,5,5,TRUE
llama,generalist,context,33,5,5,TRUE
llama,generalist,context,34,5,5,TRUE
llama,generalist,context,35,5,5,TRUE
llama,generalist,context,36,5,5,TRUE
llama,generalist,context,37,5,5,TRUE
llama,generalist,context,38,5,5,TRUE
llama,generalist,context,39,5,5,TRUE
llama,generalist,context,40,5,5,TRUE
llama,generalist,context,41,5,5,TRUE
llama,generalist,context,42,5,5,TRUE
llama,generalist,context,43,5,5,TRUE
llama,generalist,context,44,5,5,TRUE
llama,generalist,context,45,5,5,TRUE
llama,generalist,context,46,5,5,TRUE
llama,generalist,context,47,5,5,TRUE
llama,generalist,context,48,5,5,TRUE
llama,generalist,context,49,5,5,TRUE
llama,generalist,example,0,5,5,TRUE
llama,generalist,example,1,5,5,TRUE
llama,generalist,example,2,5,5,TRUE
llama,generalist,example,3,5,5,TRUE
llama,generalist,example,4,5,5,TRUE
llama,generalist,example,5,5,5,TRUE
llama,generalist,example,6,5,5,TRUE
llama,generalist,example,7,5,5,TRUE
llama,generalist,example,8,5,5,TRUE
llama,generalist,example,9,5,5,TRUE
llama,generalist,high-numeric,0,5,5,TRUE
llama,generalist,high-numeric,1,5,5,TRUE
llama,generalist,high-numeric,2,5,5,TRUE
llama,generalist,high-numeric,3,5,5,TRUE
llama,generalist,high-numeric,4,5,5,TRUE
llama,generalist,high-numeric,5,5,5,TRUE
llama,generalist,high-numeric,6,5,5,TRUE
llama,generalist,high-numeric,7,5,5,TRUE
llama,generalist,high-numeric,8,5,5,TRUE
llama,generalist,high-numeric,9,5,5,TRUE
llama,generalist,low-numeric,0,5,5,TRUE
llama,generalist,low-numeric,1,5,5,TRUE
llama,generalist,low-numeric,2,5,5,TRUE
llama,generalist,low-numeric,3,5,5,TRUE
llama,generalist,low-numeric,4,5,5,TRUE
llama,generalist,low-numeric,5,5,5,TRUE
llama,generalist,low-numeric,6,5,5,TRUE
llama,generalist,low-numeric,7,5,5,TRUE
llama,generalist,low-numeric,8,5,5,TRUE
llama,generalist,low-numeric,9,5,5,TRUE
llama,generalist,word,0,5,5,TRUE
llama,generalist,word,1,5,5,TRUE
llama,generalist,word,2,5,5,TRUE
llama,generalist,word,3,5,5,TRUE
llama,generalist,word,4,5,5,TRUE
llama,generalist,word,5,5,5,TRUE
llama,generalist,word,6,5,5,TRUE
llama,generalist,word,7,5,5,TRUE
llama,generalist,word,8,5,5,TRUE
llama,generalist,word,9,5,5,TRUE
llama,normative,context,0,5,5,TRUE
llama,normative,context,1,5,5,TRUE
llama,normative,context,2,5,5,TRUE
llama,normative,context,3,5,5,TRUE
llama,normative,context,4,5,5,TRUE
llama,normative,context,5,5,5,TRUE
llama,normative,context,6,5,5,TRUE
llama,normative,context,7,5,5,TRUE
llama,normative,context,8,5,5,TRUE
llama,normative,context,9,5,5,TRUE
llama,normative,context,10,5,5,TRUE
llama,normative,context,11,5,5,TRUE
llama,normative,context,12,5,5,TRUE
llama,normative,context,13,5,5,TRUE
llama,normative,context,14,5,5,TRUE
llama,normative,context,15,5,5,TRUE
llama,normative,context,16,5,5,TRUE
llama,normative,context,17,5,5,TRUE
llama,normative,context,18,5,5,TRUE
llama,normative,context,19,5,5,TRUE
llama,normative,context,20,5,5,TRUE
llama,normative,context,21,5,5,TRUE
llama,normative,context,22,5,5,TRUE
llama,normative,context,23,5,5,TRUE
llama,normative,context,24,5,5,TRUE
llama,normative,context,25,5,5,TRUE
llama,normative,context,26,5,5,TRUE
llama,normative,context,27,5,5,TRUE
llama,normative,context,28,5,5,TRUE
llama,normative,context,29,5,5,TRUE
llama,normative,context,30,5,5,TRUE
llama,normative,context,31,5,5,TRUE
llama,normative,context,32,5,5,TRUE
llama,normative,context,33,5,5,TRUE
llama,normative,context,34,5,5,TRUE
llama,normative,context,35,5,5,TRUE
llama,normative,context,36,5,5,TRUE
llama,normative,context,37,5,5,TRUE
llama,normative,context,38,5,5,TRUE
llama,normative,context,39,5,5,TRUE
llama,normative,context,40,5,5,TRUE
llama,normative,context,41,5,5,TRUE
llama,normative,context,42,5,5,TRUE
llama,normative,context,43,5,5,TRUE
llama,normative,context,44,5,5,TRUE
llama,normative,context,45,5,5,TRUE
llama,normative,context,46,5,5,TRUE
llama,normative,context,47,5,5,TRUE
llama,normative,context,48,5,5,TRUE
llama,normative,context,49,5,5,TRUE
llama,normative,example,0,5,5,TRUE
llama,normative,example,1,5,5,TRUE
llama,normative,example,2,5,5,TRUE
llama,normative,example,3,5,5,TRUE
llama,normative,example,4,5,5,TRUE
llama,normative,example,5,5,5,TRUE
llama,normative,example,6,5,5,TRUE
llama,normative,example,7,5,5,TRUE
llama,normative,example,8,5,5,TRUE
llama,normative,example,9,5,5,TRUE
llama,normative,high-numeric,0,5,5,TRUE
llama,normative,high-numeric,1,5,5,TRUE
llama,normative,high-numeric,2,5,5,TRUE
llama,normative,high-numeric,3,5,5,TRUE
llama,normative,high-numeric,4,5,5,TRUE
llama,normative,high-numeric,5,5,5,TRUE
llama,normative,high-numeric,6,5,5,TRUE
llama,normative,high-numeric,7,5,5,TRUE
llama,normative,high-numeric,8,5,5,TRUE
llama,normative,high-numeric,9,5,5,TRUE
llama,normative,low-numeric,0,5,5,TRUE
llama,normative,low-numeric,1,5,5,TRUE
llama,normative,low-numeric,2,5,5,TRUE
llama,normative,low-numeric,3,5,5,TRUE
llama,normative,low-numeric,4,5,5,TRUE
llama,normative,low-numeric,5,5,5,TRUE
llama,normative,low-numeric,6,5,5,TRUE
llama,normative,low-numeric,7,5,5,TRUE
llama,normative,low-numeric,8,5,5,TRUE
llama,normative,low-numeric,9,5,5,TRUE
llama,normative,word,0,5,5,TRUE
llama,normative,word,1,5,5,TRUE
llama,normative,word,2,5,5,TRUE
llama,normative,word,3,5,5,TRUE
llama,normative,word,4,5,5,TRUE
llama,normative,word,5,5,5,TRUE
llama,normative,word,6,5,5,TRUE
llama,normative,word,7,5,5,TRUE
llama,normative,word,8,5,5,TRUE
llama,normative,word,9,5,5,TRUE
llama,subject-matter,context,0,5,5,TRUE
llama,subject-matter,context,1,5,5,TRUE
llama,subject-matter,context,2,5,5,TRUE
llama,subject-matter,context,3,5,5,TRUE
llama,subject-matter,context,4,5,5,TRUE
llama,subject-matter,context,5,5,5,TRUE
llama,subject-matter,context,6,5,5,TRUE
llama,subject-matter,context,7,5,5,TRUE
llama,subject-matter,context,8,5,5,TRUE
llama,subject-matter,context,9,5,5,TRUE
llama,subject-matter,context,10,5,5,TRUE
llama,subject-matter,context,11,5,5,TRUE
llama,subject-matter,context,12,5,5,TRUE
llama,subject-matter,context,13,5,5,TRUE
llama,subject-matter,context,14,5,5,TRUE
llama,subject-matter,context,15,5,5,TRUE
llama,subject-matter,context,16,5,5,TRUE
llama,subject-matter,context,17,5,5,TRUE
llama,subject-matter,context,18,5,5,TRUE
llama,subject-matter,context,19,5,5,TRUE
llama,subject-matter,context,20,5,5,TRUE
llama,subject-matter,context,21,5,5,TRUE
llama,subject-matter,context,22,5,5,TRUE
llama,subject-matter,context,23,5,5,TRUE
llama,subject-matter,context,24,5,5,TRUE
llama,subject-matter,context,25,5,5,TRUE
llama,subject-matter,context,26,5,5,TRUE
llama,subject-matter,context,27,5,5,TRUE
llama,subject-matter,context,28,5,5,TRUE
llama,subject-matter,context,29,5,5,TRUE
llama,subject-matter,context,30,5,5,TRUE
llama,subject-matter,context,31,5,5,TRUE
llama,subject-matter,context,32,5,5,TRUE
llama,subject-matter,context,33,5,5,TRUE
llama,subject-matter,context,34,5,5,TRUE
llama,subject-matter,context,35,5,5,TRUE
llama,subject-matter,context,36,5,5,TRUE
llama,subject-matter,context,37,5,5,TRUE
llama,subject-matter,context,38,5,5,TRUE
llama,subject-matter,context,39,5,5,TRUE
llama,subject-matter,context,40,5,5,TRUE
llama,subject-matter,context,41,5,5,TRUE
llama,subject-matter,context,42,5,5,TRUE
llama,subject-matter,context,43,5,5,TRUE
llama,subject-matter,context,44,5,5,TRUE
llama,subject-matter,context,45,5,5,TRUE
llama,subject-matter,context,46,5,5,TRUE
llama,subject-matter,context,47,5,5,TRUE
llama,subject-matter,context,48,5,5,TRUE
llama,subject-matter,context,49,5,5,TRUE
llama,subject-matter,example,0,5,5,TRUE
llama,subject-matter,example,1,5,5,TRUE
llama,subject-matter,example,2,5,5,TRUE
llama,subject-matter,example,3,5,5,TRUE
llama,subject-matter,example,4,5,5,TRUE
llama,subject-matter,example,5,5,5,TRUE
llama,subject-matter,example,6,5,5,TRUE
llama,subject-matter,example,7,5,5,TRUE
llama,subject-matter,example,8,5,5,TRUE
llama,subject-matter,example,9,5,5,TRUE
llama,subject-matter,high-numeric,0,5,5,TRUE
llama,subject-matter,high-numeric,1,5,5,TRUE
llama,subject-matter,high-numeric,2,5,5,TRUE
llama,subject-matter,high-numeric,3,5,5,TRUE
llama,subject-matter,high-numeric,4,5,5,TRUE
llama,subject-matter,high-numeric,5,5,5,TRUE
llama,subject-matter,high-numeric,6,5,5,TRUE
llama,subject-matter,high-numeric,7,5,5,TRUE
llama,subject-matter,high-numeric,8,5,5,TRUE
llama,subject-matter,high-numeric,9,5,5,TRUE
llama,subject-matter,low-numeric,0,5,5,TRUE
llama,subject-matter,low-numeric,1,5,5,TRUE
llama,subject-matter,low-numeric,2,5,5,TRUE
llama,subject-matter,low-numeric,3,5,5,TRUE
llama,subject-matter,low-numeric,4,5,5,TRUE
llama,subject-matter,low-numeric,5,5,5,TRUE
llama,subject-matter,low-numeric,6,5,5,TRUE
llama,subject-matter,low-numeric,7,5,5,TRUE
llama,subject-matter,low-numeric,8,5,5,TRUE
llama,subject-matter,low-numeric,9,5,5,TRUE
llama,subject-matter,word,0,5,5,TRUE
llama,subject-matter,word,1,5,5,TRUE
llama,subject-matter,word,2,5,5,TRUE
llama,subject-matter,word,3,5,5,TRUE
llama,subject-matter,word,4,5,5,TRUE
llama,subject-matter,word,5,5,5,TRUE
llama,subject-matter,word,6,5,5,TRUE
llama,subject-matter,word,7,5,5,TRUE
llama,subject-matter,word,8,5,5,TRUE
llama,subject-matter,word,9,5,5,TRUE
mistral,generalist,context,0,5,5,TRUE
mistral,generalist,context,1,5,5,TRUE
mistral,generalist,context,2,5,5,TRUE
mistral,generalist,context,3,5,5,TRUE
mistral,generalist,context,4,5,5,TRUE
mistral,generalist,context,5,5,5,TRUE
mistral,generalist,context,6,5,5,TRUE
mistral,generalist,context,7,5,5,TRUE
mistral,generalist,context,8,5,5,TRUE
mistral,generalist,context,9,5,5,TRUE
mistral,generalist,context,10,5,5,TRUE
mistral,generalist,context,11,5,5,TRUE
mistral,generalist,context,12,5,5,TRUE
mistral,generalist,context,13,5,5,TRUE
mistral,generalist,context,14,5,5,TRUE
mistral,generalist,context,15,5,5,TRUE
mistral,generalist,context,16,5,5,TRUE
mistral,generalist,context,17,5,5,TRUE
mistral,generalist,context,18,5,5,TRUE
mistral,generalist,context,19,5,5,TRUE
mistral,generalist,context,20,5,5,TRUE
mistral,generalist,context,21,5,5,TRUE
mistral,generalist,context,22,5,5,TRUE
mistral,generalist,context,23,5,5,TRUE
mistral,generalist,context,24,5,5,TRUE
mistral,generalist,context,25,5,5,TRUE
mistral,generalist,context,26,5,5,TRUE
mistral,generalist,context,27,5,5,TRUE
mistral,generalist,context,28,5,5,TRUE
mistral,generalist,context,29,5,5,TRUE
mistral,generalist,context,30,5,5,TRUE
mistral,generalist,context,31,5,5,TRUE
mistral,generalist,context,32,5,5,TRUE
mistral,generalist,context,33,5,5,TRUE
mistral,generalist,context,34,5,5,TRUE
mistral,generalist,context,35,5,5,TRUE
mistral,generalist,context,36,5,5,TRUE
mistral,generalist,context,37,5,5,TRUE
mistral,generalist,context,38,5,5,TRUE
mistral,generalist,context,39,5,5,TRUE
mistral,generalist,context,40,5,5,TRUE
mistral,generalist,context,41,5,5,TRUE
mistral,generalist,context,42,5,5,TRUE
mistral,generalist,context,43,5,5,TRUE
mistral,generalist,context,44,5,5,TRUE
mistral,generalist,context,45,5,5,TRUE
mistral,generalist,context,46,5,5,TRUE
mistral,generalist,context,47,5,5,TRUE
mistral,generalist,context,48,5,5,TRUE
mistral,generalist,context,49,5,5,TRUE
mistral,generalist,example,0,5,5,TRUE
mistral,generalist,example,1,5,5,TRUE
mistral,generalist,example,2,5,5,TRUE
mistral,generalist,example,3,5,5,TRUE
mistral,generalist,example,4,5,5,TRUE
mistral,generalist,example,5,5,5,TRUE
mistral,generalist,example,6,5,5,TRUE
mistral,generalist,example,7,5,5,TRUE
mistral,generalist,example,8,5,5,TRUE
mistral,generalist,example,9,5,5,TRUE
mistral,generalist,high-numeric,0,5,5,TRUE
mistral,generalist,high-numeric,1,5,5,TRUE
mistral,generalist,high-numeric,2,5,5,TRUE
mistral,generalist,high-numeric,3,5,5,TRUE
mistral,generalist,high-numeric,4,5,5,TRUE
mistral,generalist,high-numeric,5,5,5,TRUE
mistral,generalist,high-numeric,6,5,5,TRUE
mistral,generalist,high-numeric,7,5,5,TRUE
mistral,generalist,high-numeric,8,5,5,TRUE
mistral,generalist,high-numeric,9,5,5,TRUE
mistral,generalist,low-numeric,0,5,5,TRUE
mistral,generalist,low-numeric,1,5,5,TRUE
mistral,generalist,low-numeric,2,5,5,TRUE
mistral,generalist,low-numeric,3,5,5,TRUE
mistral,generalist,low-numeric,4,5,5,TRUE
mistral,generalist,low-numeric,5,5,5,TRUE
mistral,generalist,low-numeric,6,5,5,TRUE
mistral,generalist,low-numeric,7,5,5,TRUE
mistral,generalist,low-numeric,8,5,5,TRUE
mistral,generalist,low-numeric,9,5,5,TRUE
mistral,generalist,word,0,5,5,TRUE
mistral,generalist,word,1,5,5,TRUE
mistral,generalist,word,2,5,5,TRUE
mistral,generalist,word,3,5,5,TRUE
mistral,generalist,word,4,5,5,TRUE
mistral,generalist,word,5,5,5,TRUE
mistral,generalist,word,6,5,5,TRUE
mistral,generalist,word,7,5,5,TRUE
