condition,base_model,dc_solution,prob_geq,threshold_k
CONTEXT,mistral,Smart and sustainable DC cables,0.688065526751248,3
ZEROSHOT,phi4,Smart and sustainable DC cables,0.8178321363322489,3
CONTEXT,phi4,Smart and sustainable DC cables,0.954524694274097,3
ZEROSHOT,gemma3,Solid-state circuit breaker,0.7954625441338944,3
CONTEXT,gemma3,Solid-state circuit breaker,0.9091626920110559,3
ZEROSHOT,llama,Solid-state circuit breaker,0.32944757642430045,3
CONTEXT,llama,Solid-state circuit breaker,0.6569414649595577,3
ZEROSHOT,mistral,Solid-state circuit breaker,0.5904779506832728,3
CONTEXT,mistral,Solid-state circuit breaker,0.8127118086586956,3
ZEROSHOT,phi4,Solid-state circuit breaker,0.8982898409749118,3
CONTEXT,phi4,Solid-state circuit breaker,0.9763551516437905,3
ZEROSHOT,gemma3,Static protection system,0.5030824169997574,3
CONTEXT,gemma3,Static protection system,0.7226432635828448,3
ZEROSHOT,llama,Static protection system,0.11339447699409722,3
CONTEXT,llama,Static protection system,0.3326665987667874,3
ZEROSHOT,mistral,Static protection system,0.27291137383723507,3
CONTEXT,mistral,Static protection system,0.5304336290727263,3
ZEROSHOT,phi4,Static protection system,0.6968880914730564,3
CONTEXT,phi4,Static protection system,0.9148883663198214,3
