base_model,dc_solution,base_solution,anchor_type,comparison,OR_median_regularizing,OR_median_primary,OR_median_weak,OR_l95_regularizing,OR_l95_primary,OR_l95_weak,OR_u95_regularizing,OR_u95_primary,OR_u95_weak,posterior_probability_OR_gt_1_regularizing,posterior_probability_OR_gt_1_primary,posterior_probability_OR_gt_1_weak,posterior_probability_OR_lt_1_regularizing,posterior_probability_OR_lt_1_primary,posterior_probability_OR_lt_1_weak,conclusion_regularizing,conclusion_primary,conclusion_weak,direction_regularizing,direction_primary,direction_weak,direction_stable,conclusion_stable
gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,3.4736859233828703,4.947206111771128,5.547636641526344,1.657895773046402,2.2098580680213167,2.3200125815957637,7.563318717221103,12.034877130346395,14.798927638399611,0.99975,1,1,2.5e-4,0,0,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,2.6915891343748495,3.6093811156934192,3.953475861342072,1.3256951029012616,1.6542475327530828,1.739051448738849,5.619224575814448,8.280237951871204,9.555194261453845,0.997375,0.99975,0.99925,0.002625,2.5e-4,7.5e-4,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.0791532998224107,1.3792860431468008,2.363178847218845,0.26139073519049844,0.12873015128494436,0.08092620179169803,4.473115818957373,19.43501239791704,184.8432326126781,0.546125,0.59675,0.677,0.453875,0.40325,0.323,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,1.109319591121726,1.3807362690426448,2.2920825321543923,0.26526788998256284,0.12781243753955884,0.09145034320012696,4.541899350202542,21.87661096469842,173.77077582383677,0.552875,0.5955,0.67625,0.447125,0.4045,0.32375,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.0862384914824306,1.390313444216221,2.3469885385536062,0.25931476394799474,0.11764269030688644,0.08187115765569784,4.657164013837588,22.44690952722501,192.01858576678543,0.548375,0.59725,0.665625,0.451625,0.40275,0.334375,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.0951075746617729,1.4241859667732104,2.4787138694975295,0.2717655458154602,0.13079033231556245,0.08333702490043204,4.6275804772147975,20.891246794845493,203.20261993936884,0.55325,0.609625,0.676625,0.44675,0.390375,0.323375,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.9278486891906477,0.722937733514043,0.39192181812981525,0.22662219885529933,0.045568090092458456,0.004898846035453312,3.5996891900802503,8.486659536419616,12.157092959791504,0.459625,0.405625,0.32,0.540375,0.594375,0.68,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.9177760719999177,0.6978012116067926,0.3990346613602187,0.21745871402618208,0.04197685009174072,0.005320141503284672,3.7549343567888283,8.663159808420703,11.34428022262017,0.45225,0.398,0.317875,0.54775,0.602,0.682125,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.9187030941270233,0.7230000508328223,0.4148484668672375,0.2120312869640411,0.04772137654688689,0.005352319528983595,3.8349527253122737,8.051871489178131,11.097021115327607,0.457625,0.400125,0.322125,0.542375,0.599875,0.677875,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.9137315659120395,0.7089753452006307,0.39284680367716485,0.22152348070441594,0.046504853835802065,0.005038990546874072,3.6749930930376844,7.94726996155954,12.00560932038395,0.451625,0.4005,0.315,0.548375,0.5995,0.685,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.13523460251603303,0.07001207016878744,0.054133423694294275,0.0622148893734665,0.024436090930893772,0.01669489238542278,0.2801532075340388,0.17312630728664266,0.14644373826733384,0,0,0,1,1,1,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,4.524453510886303,11.80659564916985,29.598602482653135,1.7792899784027272,2.6818411852111255,3.8327302674969372,12.975308336203556,87.07954026770007,762.0586850456648,0.999125,0.99975,0.999875,8.75e-4,2.5e-4,1.25e-4,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.39186448316123024,0.29023047733092394,0.259611278525883,0.19580042546433346,0.13127439454132042,0.11577371626168181,0.7987197543007791,0.6353692702833799,0.5853243276701704,0.00575,8.75e-4,5e-4,0.99425,0.999125,0.9995,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.10058513137471758,0.04191864226473264,0.028209169412857126,0.044023738341360384,0.01247966728678255,0.005660422898851043,0.21541423601689683,0.11733775860268846,0.09193769917982658,0,0,0,1,1,1,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.3432545873375822,0.12353992108148787,0.07256332461076972,0.10196262634542559,0.023116843821282432,0.009299912922013091,1.2369894461346889,0.6997845100020765,0.49635453135187935,0.048375,0.0095,0.00475,0.951625,0.9905,0.99525,uncertain,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,FALSE
gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,1.2235056697917766,1.6999558175640916,2.868779244096525,0.31241298204864204,0.17779174935660352,0.11225090516604348,4.967767942559628,23.03558349863264,196.6714260416859,0.61275,0.667375,0.715125,0.38725,0.332625,0.284875,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.2208545256970629,1.6731346351854763,2.7517092340543536,0.3271696493369025,0.18180869745990919,0.11389887000618669,4.668212237786255,23.19098402472763,242.31978229466037,0.614,0.65775,0.7055,0.386,0.34225,0.2945,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.2111788998844255,1.6798448125445817,2.914515767523703,0.3205341925239778,0.17666261233433034,0.1254042132292359,4.781719655438773,24.532597528675794,220.97559998336922,0.602375,0.664875,0.720375,0.397625,0.335125,0.279625,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.093786150956562,1.4069030279963757,2.4684349820659497,0.2757216386499633,0.1274995575390281,0.07886512923677445,4.461997766258632,21.46017852501452,244.92035587463758,0.551,0.6005,0.67675,0.449,0.3995,0.32325,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,1.111072165671143,1.4174861193751478,2.4266771699424856,0.27249546146185555,0.12535295218048925,0.08836736326421442,4.587752263554353,22.08713546282141,189.1537325560243,0.55525,0.601875,0.6795,0.44475,0.398125,0.3205,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.0989370446066666,1.4108832290434279,2.4349890680422908,0.2635539279017242,0.13280956950476694,0.08841541348665488,4.828840576778657,21.11291800717116,184.8718832314202,0.5535,0.596,0.68175,0.4465,0.404,0.31825,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.104772293202309,1.4259123003002852,2.3980933835131033,0.27250731727018557,0.12191828373781698,0.08388539945860689,4.52244188080342,22.381685844484693,193.50892244971214,0.553375,0.603125,0.675125,0.446625,0.396875,0.324875,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.9681371086928513,0.5642838140411108,0.31661328440193637,0.35255370471816544,0.13541978894787302,0.0561953619997624,2.994163125118563,3.2418977784442395,2.357295908521361,0.4815,0.246875,0.120375,0.5185,0.753125,0.879625,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.9844636097925255,0.5643172508558825,0.31250838730429686,0.35595768021628854,0.1363732342282229,0.05920554136223888,3.065471887554098,3.1737427525233892,2.3162432184572723,0.486,0.240375,0.11625,0.514,0.759625,0.88375,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.27589041245243723,0.10161300488550236,0.052247391516355775,0.11694818043320794,0.03230732210113203,0.012516399624274598,0.6801478724471515,0.3021785462594698,0.18698969491398648,0.00275,0,0,0.99725,1,1,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.03155020109629054,0.007328928928314035,0.0030772113154834742,0.013877728637486745,0.002229054973312611,6.699751001107285e-4,0.0690468321647183,0.021052897486221113,0.011322849549814305,0,0,0,1,1,1,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.104894799888926,1.4593414560311344,2.508692839361113,0.2652220949394519,0.12524686567798943,0.08199048956900402,4.773065119084444,21.844036154407178,192.32074278278046,0.554625,0.608,0.68125,0.445375,0.392,0.31875,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,1.0843921374766374,1.4553911860765871,2.4363633586549582,0.2734386377053821,0.12263280859890782,0.07390428437809668,4.385111807745371,22.59570280406355,206.48837806193953,0.545,0.606,0.67825,0.455,0.394,0.32175,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.0964162115645453,1.4462594921851732,2.4346314435602885,0.27132899382974807,0.12697760093048666,0.08747841979898123,4.701529227343057,23.4885284043462,174.42807681959746,0.551,0.606875,0.67525,0.449,0.393125,0.32475,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.0846751990615602,1.387585578353037,2.4606107099419856,0.2691192408782967,0.1230145310589514,0.075420695190004175,4.6196627560087045,23.920355151401992,205.9433415124136,0.546875,0.6025,0.684375,0.453125,0.3975,0.315625,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Static protection system,gemma3__Static protection system,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.0811159788529023,1.4223416738654797,2.4186842334737664,0.27392475154361945,0.12386091347850593,0.08517347280264216,4.681911716159339,23.301490630410523,165.96269156867254,0.54525,0.60525,0.679,0.45475,0.39475,0.321,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Static protection system,gemma3__Static protection system,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,1.0964846302500844,1.4610419763159481,2.4361547484635953,0.2694082439708481,0.12908304845919277,0.0817116052801664,4.7268371622208205,22.27030763167392,178.71920943599054,0.552625,0.614625,0.673625,0.447375,0.385375,0.326375,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Static protection system,gemma3__Static protection system,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.0793468933182062,1.4355317622184214,2.482399867795669,0.2619712506032034,0.12257666636074521,0.08939409951981646,4.624861970720019,21.68465553050097,191.24878108791734,0.53975,0.607625,0.675,0.46025,0.392375,0.325,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
gemma3,Static protection system,gemma3__Static protection system,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.0942697471349705,1.4019969113836872,2.4139911459595043,0.2737844077263164,0.1247096861122925,0.08160581592159762,4.493326740458651,20.279052198985756,189.06675924017685,0.5525,0.600375,0.677375,0.4475,0.399625,0.322625,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC-DC converter,llama__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.1259463438052406,1.1801143366506417,1.1913086449494668,0.5561472448420681,0.5533039481115818,0.5403649542573585,2.2039785067960143,2.470608862095029,2.561725776641481,0.634625,0.6695,0.671,0.365375,0.3305,0.329,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC-DC converter,llama__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.8029846322682463,0.7936654958511773,0.7918336459030236,0.39386265558889305,0.34442128023750024,0.3445697536480163,1.5774856177941572,1.722245435990499,1.7627290096927384,0.264,0.27125,0.282625,0.736,0.72875,0.717375,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,DC-DC converter,llama__DC-DC converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.5583562569739082,1.7382644494373474,1.7926265856459895,0.7853633978743894,0.7947453738749296,0.8020058933379596,3.137414274916122,3.7389855878934757,4.106651101726846,0.89075,0.919375,0.92225,0.10925,0.080625,0.07775,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC-DC converter,llama__DC-DC converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.7263079630065827,1.974425866537599,2.0720522189751174,0.8832628493348643,0.9319672359647547,0.9569540220672456,3.4791099836004316,4.389945930912239,4.511607971710161,0.946375,0.961125,0.965625,0.053625,0.038875,0.034375,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC connectors,llama__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.2683171636754881,0.12314935522341111,0.07902373003250426,0.09859073093192727,0.025514770902024694,0.008922849630839415,0.6627240940378295,0.42810046539458246,0.34997727176671767,0.0015,0,0,0.9985,1,1,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
llama,DC connectors,llama__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.5597859287555342,0.430502541273012,0.3905044139492001,0.24138176838735487,0.14326369568583935,0.13061493954354322,1.2227279106976348,1.0627990927788682,0.9735971206347471,0.0725,0.03325,0.021875,0.9275,0.96675,0.978125,uncertain,uncertain,lower under Anchor,below 1,below 1,below 1,TRUE,FALSE
llama,DC connectors,llama__DC connectors,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.852345767058069,0.7511377452217295,0.7153877507280648,0.38498651113081245,0.30843655952678106,0.2846639116918897,1.7984363969159853,1.7222488100003681,1.6109016523721065,0.34125,0.254625,0.219,0.65875,0.745375,0.781,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,DC connectors,llama__DC connectors,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.40235145995935895,0.26202576319544857,0.22166629770384566,0.16237904832542835,0.07462245929591461,0.05617814948072705,0.9091074010913294,0.7120189165324803,0.6645721934304416,0.014,0.00475,0.002625,0.986,0.99525,0.997375,lower under Anchor,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,TRUE
llama,DC measurement device,llama__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.6820838165625767,0.4725459068019341,0.36606508041014474,0.2132546806584435,0.07539946197399626,0.03309928483530747,1.9064060789370454,1.9422272693711715,1.9209360139303098,0.24525,0.158625,0.13175,0.75475,0.841375,0.86825,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,DC measurement device,llama__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.6793548271081218,0.46363421243410596,0.3683229405196806,0.21608788747831262,0.07333800916964182,0.02984044387498599,1.9159495187027131,1.95515880112832,1.8457393736798837,0.24475,0.165375,0.1245,0.75525,0.834625,0.8755,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,DC measurement device,llama__DC measurement device,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.4719092249192958,1.6087497302224048,1.6255122939767763,0.5272543880434347,0.46513996393207346,0.4708290019586658,3.789843948494391,4.78017325054976,4.968618644583187,0.78175,0.780625,0.789375,0.21825,0.219375,0.210625,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC measurement device,llama__DC measurement device,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.6831834187339136,0.47083213804537094,0.3696797490105678,0.21479395707456295,0.07294023256491734,0.03318935479168866,1.955537353802837,1.9142448893822774,1.8528412536239427,0.244375,0.163,0.136,0.755625,0.837,0.864,uncertain,uncertain,uncertain,below 1,below 1,below 1,TRUE,TRUE
llama,DC solution design tool,llama__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.4545618713489454,1.5183306454404362,1.5090746252517184,0.7052817206934644,0.6663989406187334,0.6611337959926992,2.9858528380524705,3.274517980364097,3.362623455859,0.834,0.848375,0.834625,0.166,0.151625,0.165375,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC solution design tool,llama__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.4575524384952083,0.32861527349873604,0.2891436443993235,0.17869869776329486,0.09648868077269258,0.07268382420811896,1.0578273483631018,0.91050678844078,0.8488530321603354,0.035875,0.014375,0.01175,0.964125,0.985625,0.98825,uncertain,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,FALSE
llama,DC solution design tool,llama__DC solution design tool,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.4555666805188323,1.5119946370482111,1.518910865003813,0.7007597379752389,0.6645233277966353,0.6506601149806515,2.9169144504970066,3.416509792744021,3.3588994237744036,0.842625,0.842625,0.837,0.157375,0.157375,0.163,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
llama,DC solution design tool,llama__DC solution design tool,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.460670904905346,0.3323599268498832,0.2860557059310002,0.18442120095899958,0.10260554831862437,0.07082239929397409,1.033010442006478,0.9067762993352121,0.8496806555408316,0.031125,0.01425,0.01125,0.968875,0.98575,0.98875,uncertain,lower under Anchor,lower under Anchor,below 1,below 1,below 1,TRUE,FALSE
llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.9318549596536352,1.027866128944976,1.06977536695551,0.3751537152340248,0.33984384225861997,0.33666685059763424,2.1587130638669847,2.6857360668500707,2.85958222683964,0.435875,0.518875,0.54675,0.564125,0.481125,0.45325,uncertain,uncertain,uncertain,below 1,above 1,above 1,FALSE,TRUE
llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,2.5066106000972748,3.30346274725055,3.6102976056127596,1.165571044961153,1.419707607876752,1.5246576659119389,5.184801731246086,7.528542232073116,8.541558924808742,0.98825,0.996625,0.99775,0.01175,0.003375,0.00225,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,2.790048950394934,3.7863911740391787,4.127286620482865,1.346299223422701,1.6738746280049397,1.7707184330746288,5.758794490698177,8.475268511153548,9.66405402220498,0.996875,0.9995,0.99975,0.003125,5e-4,2.5e-4,higher under Anchor,higher under Anchor,higher under Anchor,above 1,above 1,above 1,TRUE,TRUE
llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.2868812340379954,1.5223775085819078,1.628140405523717,0.5454413640355624,0.5765511177757418,0.5803850503251513,2.86319333069221,3.707351455594697,4.101261622573522,0.72625,0.807625,0.834875,0.27375,0.192375,0.165125,uncertain,uncertain,uncertain,above 1,above 1,above 1,TRUE,TRUE
