base_model,dc_solution,comparison,rating_value,n,proportion
gemma3,Network design tool for DC solutions,CONTEXT,4,113,0.7533333333333333
gemma3,Network design tool for DC solutions,ANCHOR_EXAMPLE,3,26,0.8666666666666667
gemma3,Network design tool for DC solutions,ANCHOR_EXAMPLE,4,4,0.13333333333333333
gemma3,Network design tool for DC solutions,ANCHOR_WORD,4,30,1
gemma3,Network design tool for DC solutions,ANCHOR_NUM_HIGH,3,17,0.5666666666666667
gemma3,Network design tool for DC solutions,ANCHOR_NUM_HIGH,4,13,0.43333333333333335
gemma3,Network design tool for DC solutions,ANCHOR_NUM_LOW,3,28,0.9333333333333333
gemma3,Network design tool for DC solutions,ANCHOR_NUM_LOW,4,2,0.06666666666666667
gemma3,Protection DC system design tool,CONTEXT,4,150,1
gemma3,Protection DC system design tool,ANCHOR_EXAMPLE,3,3,0.1
gemma3,Protection DC system design tool,ANCHOR_EXAMPLE,4,27,0.9
gemma3,Protection DC system design tool,ANCHOR_WORD,4,30,1
gemma3,Protection DC system design tool,ANCHOR_NUM_HIGH,4,30,1
gemma3,Protection DC system design tool,ANCHOR_NUM_LOW,4,30,1
gemma3,Semiconductor-based circuit breaker,CONTEXT,4,150,1
gemma3,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,4,30,1
gemma3,Semiconductor-based circuit breaker,ANCHOR_WORD,4,30,1
gemma3,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,4,30,1
gemma3,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,4,30,1
gemma3,Smart and sustainable DC cables,CONTEXT,4,150,1
gemma3,Smart and sustainable DC cables,ANCHOR_EXAMPLE,3,2,0.06666666666666667
gemma3,Smart and sustainable DC cables,ANCHOR_EXAMPLE,4,28,0.9333333333333333
gemma3,Smart and sustainable DC cables,ANCHOR_WORD,3,2,0.06666666666666667
gemma3,Smart and sustainable DC cables,ANCHOR_WORD,4,28,0.9333333333333333
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,3,8,0.26666666666666666
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,4,22,0.7333333333333333
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_LOW,3,26,0.8666666666666667
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_LOW,4,4,0.13333333333333333
gemma3,Solid-state circuit breaker,CONTEXT,4,150,1
gemma3,Solid-state circuit breaker,ANCHOR_EXAMPLE,4,30,1
gemma3,Solid-state circuit breaker,ANCHOR_WORD,4,30,1
gemma3,Solid-state circuit breaker,ANCHOR_NUM_HIGH,4,30,1
gemma3,Solid-state circuit breaker,ANCHOR_NUM_LOW,4,30,1
gemma3,Static protection system,CONTEXT,4,150,1
gemma3,Static protection system,ANCHOR_EXAMPLE,4,30,1
gemma3,Static protection system,ANCHOR_WORD,4,30,1
gemma3,Static protection system,ANCHOR_NUM_HIGH,4,30,1
gemma3,Static protection system,ANCHOR_NUM_LOW,4,30,1
llama,DC-DC converter,CONTEXT,3,87,0.58
llama,DC-DC converter,CONTEXT,4,63,0.42
llama,DC-DC converter,ANCHOR_EXAMPLE,3,16,0.5333333333333333
llama,DC-DC converter,ANCHOR_EXAMPLE,4,14,0.4666666666666667
llama,DC-DC converter,ANCHOR_WORD,3,19,0.6333333333333333
llama,DC-DC converter,ANCHOR_WORD,4,11,0.36666666666666664
llama,DC-DC converter,ANCHOR_NUM_HIGH,3,13,0.43333333333333335
llama,DC-DC converter,ANCHOR_NUM_HIGH,4,17,0.5666666666666667
llama,DC-DC converter,ANCHOR_NUM_LOW,3,12,0.4
llama,DC-DC converter,ANCHOR_NUM_LOW,4,18,0.6
llama,DC connectors,CONTEXT,3,99,0.66
llama,DC connectors,CONTEXT,4,51,0.34
llama,DC connectors,ANCHOR_EXAMPLE,3,29,0.9666666666666667
llama,DC connectors,ANCHOR_EXAMPLE,4,1,0.03333333333333333
llama,DC connectors,ANCHOR_WORD,3,25,0.8333333333333334
llama,DC connectors,ANCHOR_WORD,4,5,0.16666666666666666
llama,DC connectors,ANCHOR_NUM_HIGH,3,22,0.7333333333333333
llama,DC connectors,ANCHOR_NUM_HIGH,4,8,0.26666666666666666
llama,DC connectors,ANCHOR_NUM_LOW,3,27,0.9
llama,DC connectors,ANCHOR_NUM_LOW,4,3,0.1
llama,DC measurement device,CONTEXT,3,138,0.92
llama,DC measurement device,CONTEXT,4,12,0.08
llama,DC measurement device,ANCHOR_EXAMPLE,3,29,0.9666666666666667
llama,DC measurement device,ANCHOR_EXAMPLE,4,1,0.03333333333333333
llama,DC measurement device,ANCHOR_WORD,3,29,0.9666666666666667
llama,DC measurement device,ANCHOR_WORD,4,1,0.03333333333333333
llama,DC measurement device,ANCHOR_NUM_HIGH,3,26,0.8666666666666667
llama,DC measurement device,ANCHOR_NUM_HIGH,4,4,0.13333333333333333
llama,DC measurement device,ANCHOR_NUM_LOW,3,29,0.9666666666666667
llama,DC measurement device,ANCHOR_NUM_LOW,4,1,0.03333333333333333
llama,DC solution design tool,CONTEXT,3,109,0.7266666666666667
llama,DC solution design tool,CONTEXT,4,41,0.2733333333333333
llama,DC solution design tool,ANCHOR_EXAMPLE,3,19,0.6333333333333333
llama,DC solution design tool,ANCHOR_EXAMPLE,4,11,0.36666666666666664
llama,DC solution design tool,ANCHOR_WORD,3,27,0.9
llama,DC solution design tool,ANCHOR_WORD,4,3,0.1
llama,DC solution design tool,ANCHOR_NUM_HIGH,3,19,0.6333333333333333
llama,DC solution design tool,ANCHOR_NUM_HIGH,4,11,0.36666666666666664
llama,DC solution design tool,ANCHOR_NUM_LOW,3,27,0.9
llama,DC solution design tool,ANCHOR_NUM_LOW,4,3,0.1
llama,LVAC-LVDC interlink converter,CONTEXT,3,128,0.8533333333333334
llama,LVAC-LVDC interlink converter,CONTEXT,4,22,0.14666666666666667
llama,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,3,25,0.8333333333333334
llama,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,4,5,0.16666666666666666
llama,LVAC-LVDC interlink converter,ANCHOR_WORD,3,18,0.6
llama,LVAC-LVDC interlink converter,ANCHOR_WORD,4,12,0.4
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,3,17,0.5666666666666667
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,4,13,0.43333333333333335
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,3,23,0.7666666666666667
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,4,7,0.23333333333333334
llama,Network design tool for DC solutions,CONTEXT,3,93,0.62
llama,Network design tool for DC solutions,CONTEXT,4,57,0.38
llama,Network design tool for DC solutions,ANCHOR_EXAMPLE,3,26,0.8666666666666667
llama,Network design tool for DC solutions,ANCHOR_EXAMPLE,4,4,0.13333333333333333
llama,Network design tool for DC solutions,ANCHOR_WORD,3,17,0.5666666666666667
llama,Network design tool for DC solutions,ANCHOR_WORD,4,13,0.43333333333333335
llama,Network design tool for DC solutions,ANCHOR_NUM_HIGH,3,18,0.6
llama,Network design tool for DC solutions,ANCHOR_NUM_HIGH,4,12,0.4
llama,Network design tool for DC solutions,ANCHOR_NUM_LOW,3,19,0.6333333333333333
llama,Network design tool for DC solutions,ANCHOR_NUM_LOW,4,11,0.36666666666666664
llama,Protection DC system design tool,CONTEXT,3,88,0.5866666666666667
llama,Protection DC system design tool,CONTEXT,4,62,0.41333333333333333
llama,Protection DC system design tool,ANCHOR_EXAMPLE,3,20,0.6666666666666666
llama,Protection DC system design tool,ANCHOR_EXAMPLE,4,10,0.3333333333333333
llama,Protection DC system design tool,ANCHOR_WORD,3,18,0.6
llama,Protection DC system design tool,ANCHOR_WORD,4,12,0.4
llama,Protection DC system design tool,ANCHOR_NUM_HIGH,3,12,0.4
llama,Protection DC system design tool,ANCHOR_NUM_HIGH,4,18,0.6
llama,Protection DC system design tool,ANCHOR_NUM_LOW,3,15,0.5
llama,Protection DC system design tool,ANCHOR_NUM_LOW,4,15,0.5
llama,Semiconductor-based circuit breaker,CONTEXT,3,46,0.30666666666666664
llama,Semiconductor-based circuit breaker,CONTEXT,4,104,0.6933333333333334
llama,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,3,13,0.43333333333333335
llama,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,4,17,0.5666666666666667
llama,Semiconductor-based circuit breaker,ANCHOR_WORD,3,13,0.43333333333333335
llama,Semiconductor-based circuit breaker,ANCHOR_WORD,4,17,0.5666666666666667
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,3,14,0.4666666666666667
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,4,16,0.5333333333333333
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,3,11,0.36666666666666664
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,4,19,0.6333333333333333
llama,Smart and sustainable DC cables,CONTEXT,3,69,0.46
llama,Smart and sustainable DC cables,CONTEXT,4,81,0.54
llama,Smart and sustainable DC cables,ANCHOR_EXAMPLE,3,15,0.5
llama,Smart and sustainable DC cables,ANCHOR_EXAMPLE,4,15,0.5
llama,Smart and sustainable DC cables,ANCHOR_WORD,3,16,0.5333333333333333
llama,Smart and sustainable DC cables,ANCHOR_WORD,4,14,0.4666666666666667
llama,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,3,9,0.3
llama,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,4,21,0.7
llama,Smart and sustainable DC cables,ANCHOR_NUM_LOW,3,16,0.5333333333333333
llama,Smart and sustainable DC cables,ANCHOR_NUM_LOW,4,14,0.4666666666666667
llama,Solid-state circuit breaker,CONTEXT,3,48,0.32
llama,Solid-state circuit breaker,CONTEXT,4,102,0.68
llama,Solid-state circuit breaker,ANCHOR_EXAMPLE,3,11,0.36666666666666664
llama,Solid-state circuit breaker,ANCHOR_EXAMPLE,4,19,0.6333333333333333
llama,Solid-state circuit breaker,ANCHOR_WORD,3,14,0.4666666666666667
llama,Solid-state circuit breaker,ANCHOR_WORD,4,16,0.5333333333333333
llama,Solid-state circuit breaker,ANCHOR_NUM_HIGH,3,5,0.16666666666666666
llama,Solid-state circuit breaker,ANCHOR_NUM_HIGH,4,25,0.8333333333333334
llama,Solid-state circuit breaker,ANCHOR_NUM_LOW,3,12,0.4
llama,Solid-state circuit breaker,ANCHOR_NUM_LOW,4,18,0.6
llama,Static protection system,CONTEXT,3,63,0.42
llama,Static protection system,CONTEXT,4,87,0.58
llama,Static protection system,ANCHOR_EXAMPLE,3,10,0.3333333333333333
llama,Static protection system,ANCHOR_EXAMPLE,4,20,0.6666666666666666
llama,Static protection system,ANCHOR_WORD,3,15,0.5
llama,Static protection system,ANCHOR_WORD,4,15,0.5
llama,Static protection system,ANCHOR_NUM_HIGH,3,9,0.3
llama,Static protection system,ANCHOR_NUM_HIGH,4,21,0.7
llama,Static protection system,ANCHOR_NUM_LOW,3,11,0.36666666666666664
llama,Static protection system,ANCHOR_NUM_LOW,4,19,0.6333333333333333
mistral,DC-DC converter,CONTEXT,3,50,0.3333333333333333
mistral,DC-DC converter,CONTEXT,4,100,0.6666666666666666
mistral,DC-DC converter,ANCHOR_EXAMPLE,3,8,0.26666666666666666
mistral,DC-DC converter,ANCHOR_EXAMPLE,4,22,0.7333333333333333
mistral,DC-DC converter,ANCHOR_WORD,3,18,0.6
mistral,DC-DC converter,ANCHOR_WORD,4,12,0.4
mistral,DC-DC converter,ANCHOR_NUM_HIGH,3,27,0.9
mistral,DC-DC converter,ANCHOR_NUM_HIGH,4,3,0.1
mistral,DC-DC converter,ANCHOR_NUM_LOW,3,22,0.7333333333333333
mistral,DC-DC converter,ANCHOR_NUM_LOW,4,8,0.26666666666666666
mistral,DC connectors,CONTEXT,3,5,0.03333333333333333
mistral,DC connectors,CONTEXT,4,145,0.9666666666666667
mistral,DC connectors,ANCHOR_EXAMPLE,3,8,0.26666666666666666
mistral,DC connectors,ANCHOR_EXAMPLE,4,22,0.7333333333333333
mistral,DC connectors,ANCHOR_WORD,3,2,0.06666666666666667
mistral,DC connectors,ANCHOR_WORD,4,28,0.9333333333333333
mistral,DC connectors,ANCHOR_NUM_HIGH,3,21,0.7
mistral,DC connectors,ANCHOR_NUM_HIGH,4,9,0.3
mistral,DC connectors,ANCHOR_NUM_LOW,3,22,0.7333333333333333
mistral,DC connectors,ANCHOR_NUM_LOW,4,8,0.26666666666666666
mistral,DC measurement device,CONTEXT,3,88,0.5866666666666667
mistral,DC measurement device,CONTEXT,4,62,0.41333333333333333
mistral,DC measurement device,ANCHOR_EXAMPLE,3,23,0.7666666666666667
mistral,DC measurement device,ANCHOR_EXAMPLE,4,7,0.23333333333333334
mistral,DC measurement device,ANCHOR_WORD,3,26,0.8666666666666667
mistral,DC measurement device,ANCHOR_WORD,4,4,0.13333333333333333
mistral,DC measurement device,ANCHOR_NUM_HIGH,3,29,0.9666666666666667
mistral,DC measurement device,ANCHOR_NUM_HIGH,4,1,0.03333333333333333
mistral,DC measurement device,ANCHOR_NUM_LOW,3,27,0.9
mistral,DC measurement device,ANCHOR_NUM_LOW,4,3,0.1
mistral,DC solution design tool,CONTEXT,3,1,0.006666666666666667
mistral,DC solution design tool,CONTEXT,4,149,0.9933333333333333
mistral,DC solution design tool,ANCHOR_EXAMPLE,4,30,1
mistral,DC solution design tool,ANCHOR_WORD,4,30,1
mistral,DC solution design tool,ANCHOR_NUM_HIGH,4,30,1
mistral,DC solution design tool,ANCHOR_NUM_LOW,4,30,1
mistral,LVAC-LVDC interlink converter,CONTEXT,3,53,0.35333333333333333
mistral,LVAC-LVDC interlink converter,CONTEXT,4,97,0.6466666666666666
mistral,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,3,21,0.7
mistral,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,4,9,0.3
mistral,LVAC-LVDC interlink converter,ANCHOR_WORD,3,24,0.8
mistral,LVAC-LVDC interlink converter,ANCHOR_WORD,4,6,0.2
mistral,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,3,27,0.9
mistral,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,4,3,0.1
mistral,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,3,30,1
mistral,Network design tool for DC solutions,CONTEXT,4,150,1
mistral,Network design tool for DC solutions,ANCHOR_EXAMPLE,4,30,1
mistral,Network design tool for DC solutions,ANCHOR_WORD,4,30,1
mistral,Network design tool for DC solutions,ANCHOR_NUM_HIGH,3,1,0.03333333333333333
mistral,Network design tool for DC solutions,ANCHOR_NUM_HIGH,4,29,0.9666666666666667
mistral,Network design tool for DC solutions,ANCHOR_NUM_LOW,4,30,1
mistral,Protection DC system design tool,CONTEXT,3,20,0.13333333333333333
mistral,Protection DC system design tool,CONTEXT,4,130,0.8666666666666667
mistral,Protection DC system design tool,ANCHOR_EXAMPLE,3,5,0.16666666666666666
mistral,Protection DC system design tool,ANCHOR_EXAMPLE,4,25,0.8333333333333334
mistral,Protection DC system design tool,ANCHOR_WORD,3,9,0.3
mistral,Protection DC system design tool,ANCHOR_WORD,4,21,0.7
mistral,Protection DC system design tool,ANCHOR_NUM_HIGH,3,15,0.5
mistral,Protection DC system design tool,ANCHOR_NUM_HIGH,4,15,0.5
mistral,Protection DC system design tool,ANCHOR_NUM_LOW,3,15,0.5
mistral,Protection DC system design tool,ANCHOR_NUM_LOW,4,15,0.5
mistral,Semiconductor-based circuit breaker,CONTEXT,3,3,0.02
mistral,Semiconductor-based circuit breaker,CONTEXT,4,147,0.98
mistral,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,4,30,1
mistral,Semiconductor-based circuit breaker,ANCHOR_WORD,4,30,1
mistral,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,3,4,0.13333333333333333
mistral,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,4,26,0.8666666666666667
mistral,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,3,5,0.16666666666666666
mistral,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,4,25,0.8333333333333334
mistral,Smart and sustainable DC cables,CONTEXT,3,132,0.88
mistral,Smart and sustainable DC cables,CONTEXT,4,18,0.12
mistral,Smart and sustainable DC cables,ANCHOR_EXAMPLE,3,27,0.9
mistral,Smart and sustainable DC cables,ANCHOR_EXAMPLE,4,3,0.1
mistral,Smart and sustainable DC cables,ANCHOR_WORD,3,29,0.9666666666666667
mistral,Smart and sustainable DC cables,ANCHOR_WORD,4,1,0.03333333333333333
mistral,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,3,30,1
mistral,Smart and sustainable DC cables,ANCHOR_NUM_LOW,3,30,1
mistral,Solid-state circuit breaker,CONTEXT,4,150,1
mistral,Solid-state circuit breaker,ANCHOR_EXAMPLE,4,30,1
mistral,Solid-state circuit breaker,ANCHOR_WORD,4,30,1
mistral,Solid-state circuit breaker,ANCHOR_NUM_HIGH,4,30,1
mistral,Solid-state circuit breaker,ANCHOR_NUM_LOW,4,30,1
mistral,Static protection system,CONTEXT,4,150,1
mistral,Static protection system,ANCHOR_EXAMPLE,4,30,1
mistral,Static protection system,ANCHOR_WORD,3,1,0.03333333333333333
mistral,Static protection system,ANCHOR_WORD,4,29,0.9666666666666667
mistral,Static protection system,ANCHOR_NUM_HIGH,4,30,1
mistral,Static protection system,ANCHOR_NUM_LOW,3,4,0.13333333333333333
mistral,Static protection system,ANCHOR_NUM_LOW,4,26,0.8666666666666667
phi4,DC-DC converter,CONTEXT,4,150,1
phi4,DC-DC converter,ANCHOR_EXAMPLE,4,30,1
phi4,DC-DC converter,ANCHOR_WORD,4,30,1
phi4,DC-DC converter,ANCHOR_NUM_HIGH,4,30,1
phi4,DC-DC converter,ANCHOR_NUM_LOW,4,30,1
phi4,DC connectors,CONTEXT,3,23,0.15333333333333332
phi4,DC connectors,CONTEXT,4,127,0.8466666666666667
phi4,DC connectors,ANCHOR_EXAMPLE,3,8,0.26666666666666666
phi4,DC connectors,ANCHOR_EXAMPLE,4,22,0.7333333333333333
phi4,DC connectors,ANCHOR_WORD,4,30,1
phi4,DC connectors,ANCHOR_NUM_HIGH,3,3,0.1
phi4,DC connectors,ANCHOR_NUM_HIGH,4,27,0.9
phi4,DC connectors,ANCHOR_NUM_LOW,3,1,0.03333333333333333
phi4,DC connectors,ANCHOR_NUM_LOW,4,29,0.9666666666666667
phi4,DC measurement device,CONTEXT,3,67,0.44666666666666666
phi4,DC measurement device,CONTEXT,4,83,0.5533333333333333
phi4,DC measurement device,ANCHOR_EXAMPLE,3,19,0.6333333333333333
phi4,DC measurement device,ANCHOR_EXAMPLE,4,11,0.36666666666666664
phi4,DC measurement device,ANCHOR_WORD,3,2,0.06666666666666667
phi4,DC measurement device,ANCHOR_WORD,4,28,0.9333333333333333
phi4,DC measurement device,ANCHOR_NUM_HIGH,3,10,0.3333333333333333
phi4,DC measurement device,ANCHOR_NUM_HIGH,4,20,0.6666666666666666
phi4,DC measurement device,ANCHOR_NUM_LOW,3,20,0.6666666666666666
phi4,DC measurement device,ANCHOR_NUM_LOW,4,10,0.3333333333333333
phi4,DC solution design tool,CONTEXT,4,150,1
phi4,DC solution design tool,ANCHOR_EXAMPLE,4,30,1
phi4,DC solution design tool,ANCHOR_WORD,4,30,1
phi4,DC solution design tool,ANCHOR_NUM_HIGH,4,30,1
phi4,DC solution design tool,ANCHOR_NUM_LOW,4,30,1
phi4,LVAC-LVDC interlink converter,CONTEXT,3,24,0.16
phi4,LVAC-LVDC interlink converter,CONTEXT,4,126,0.84
phi4,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,3,7,0.23333333333333334
phi4,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,4,23,0.7666666666666667
phi4,LVAC-LVDC interlink converter,ANCHOR_WORD,4,30,1
phi4,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,3,3,0.1
phi4,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,4,27,0.9
phi4,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,3,8,0.26666666666666666
phi4,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,4,22,0.7333333333333333
phi4,Network design tool for DC solutions,CONTEXT,4,150,1
phi4,Network design tool for DC solutions,ANCHOR_EXAMPLE,3,2,0.06666666666666667
phi4,Network design tool for DC solutions,ANCHOR_EXAMPLE,4,28,0.9333333333333333
phi4,Network design tool for DC solutions,ANCHOR_WORD,4,30,1
phi4,Network design tool for DC solutions,ANCHOR_NUM_HIGH,4,30,1
phi4,Network design tool for DC solutions,ANCHOR_NUM_LOW,3,2,0.06666666666666667
phi4,Network design tool for DC solutions,ANCHOR_NUM_LOW,4,28,0.9333333333333333
phi4,Protection DC system design tool,CONTEXT,4,150,1
phi4,Protection DC system design tool,ANCHOR_EXAMPLE,3,1,0.03333333333333333
phi4,Protection DC system design tool,ANCHOR_EXAMPLE,4,29,0.9666666666666667
phi4,Protection DC system design tool,ANCHOR_WORD,4,30,1
phi4,Protection DC system design tool,ANCHOR_NUM_HIGH,4,30,1
phi4,Protection DC system design tool,ANCHOR_NUM_LOW,3,5,0.16666666666666666
phi4,Protection DC system design tool,ANCHOR_NUM_LOW,4,25,0.8333333333333334
phi4,Semiconductor-based circuit breaker,CONTEXT,4,150,1
phi4,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,4,30,1
phi4,Semiconductor-based circuit breaker,ANCHOR_WORD,4,30,1
phi4,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,4,30,1
phi4,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,4,30,1
phi4,Smart and sustainable DC cables,CONTEXT,4,150,1
phi4,Smart and sustainable DC cables,ANCHOR_EXAMPLE,4,30,1
phi4,Smart and sustainable DC cables,ANCHOR_WORD,4,30,1
phi4,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,3,3,0.1
phi4,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,4,27,0.9
phi4,Smart and sustainable DC cables,ANCHOR_NUM_LOW,3,4,0.13333333333333333
phi4,Smart and sustainable DC cables,ANCHOR_NUM_LOW,4,26,0.8666666666666667
phi4,Solid-state circuit breaker,CONTEXT,4,150,1
phi4,Solid-state circuit breaker,ANCHOR_EXAMPLE,4,30,1
phi4,Solid-state circuit breaker,ANCHOR_WORD,4,30,1
phi4,Solid-state circuit breaker,ANCHOR_NUM_HIGH,4,30,1
phi4,Solid-state circuit breaker,ANCHOR_NUM_LOW,4,30,1
phi4,Static protection system,CONTEXT,4,150,1
phi4,Static protection system,ANCHOR_EXAMPLE,4,30,1
phi4,Static protection system,ANCHOR_WORD,4,30,1
phi4,Static protection system,ANCHOR_NUM_HIGH,4,30,1
phi4,Static protection system,ANCHOR_NUM_LOW,4,30,1
