row_id,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp,source,condition
phi4_generalist_21_20250802_131229,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,21.0,20250802_131229,llm,CONTEXT
phi4_generalist2_21_20250802_131229,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,21.0,20250802_131229,llm,CONTEXT
phi4_normative_21_20250802_131229,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,21.0,20250802_131229,llm,CONTEXT
phi4_normative2_21_20250802_131229,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,21.0,20250802_131229,llm,CONTEXT
phi4_subject_matter_21_20250802_131229,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,21.0,20250802_131229,llm,CONTEXT
phi4_subject_matter2_21_20250802_131229,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,21.0,20250802_131229,llm,CONTEXT
phi4_generalist_22_20250802_131353,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,22.0,20250802_131353,llm,CONTEXT
phi4_generalist2_22_20250802_131353,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,22.0,20250802_131353,llm,CONTEXT
phi4_normative_22_20250802_131353,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,22.0,20250802_131353,llm,CONTEXT
phi4_normative2_22_20250802_131353,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,22.0,20250802_131353,llm,CONTEXT
phi4_subject_matter_22_20250802_131353,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,22.0,20250802_131353,llm,CONTEXT
phi4_subject_matter2_22_20250802_131353,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,22.0,20250802_131353,llm,CONTEXT
phi4_generalist_23_20250802_131733,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,23.0,20250802_131733,llm,CONTEXT
phi4_generalist2_23_20250802_131733,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,23.0,20250802_131733,llm,CONTEXT
phi4_normative_23_20250802_131733,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,23.0,20250802_131733,llm,CONTEXT
phi4_normative2_23_20250802_131733,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,23.0,20250802_131733,llm,CONTEXT
phi4_subject_matter_23_20250802_131733,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,23.0,20250802_131733,llm,CONTEXT
phi4_subject_matter2_23_20250802_131733,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,23.0,20250802_131733,llm,CONTEXT
phi4_generalist_24_20250802_131852,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,24.0,20250802_131852,llm,CONTEXT
phi4_generalist2_24_20250802_131852,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,24.0,20250802_131852,llm,CONTEXT
phi4_normative_24_20250802_131852,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,24.0,20250802_131852,llm,CONTEXT
phi4_normative2_24_20250802_131852,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,24.0,20250802_131852,llm,CONTEXT
phi4_subject_matter_24_20250802_131852,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,24.0,20250802_131852,llm,CONTEXT
phi4_subject_matter2_24_20250802_131852,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,24.0,20250802_131852,llm,CONTEXT
phi4_generalist_25_20250802_132018,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,25.0,20250802_132018,llm,CONTEXT
phi4_generalist2_25_20250802_132018,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,25.0,20250802_132018,llm,CONTEXT
phi4_normative_25_20250802_132018,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,25.0,20250802_132018,llm,CONTEXT
phi4_normative2_25_20250802_132018,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,25.0,20250802_132018,llm,CONTEXT
phi4_subject_matter_25_20250802_132018,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,25.0,20250802_132018,llm,CONTEXT
phi4_subject_matter2_25_20250802_132018,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,25.0,20250802_132018,llm,CONTEXT
phi4_generalist_26_20250802_132236,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,26.0,20250802_132236,llm,CONTEXT
phi4_generalist2_26_20250802_132236,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,26.0,20250802_132236,llm,CONTEXT
phi4_normative_26_20250802_132236,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,26.0,20250802_132236,llm,CONTEXT
phi4_normative2_26_20250802_132236,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,26.0,20250802_132236,llm,CONTEXT
phi4_subject_matter_26_20250802_132236,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,26.0,20250802_132236,llm,CONTEXT
phi4_subject_matter2_26_20250802_132236,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,26.0,20250802_132236,llm,CONTEXT
phi4_generalist_27_20250802_132352,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,27.0,20250802_132352,llm,CONTEXT
phi4_generalist2_27_20250802_132352,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,27.0,20250802_132352,llm,CONTEXT
phi4_normative_27_20250802_132352,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,27.0,20250802_132352,llm,CONTEXT
phi4_normative2_27_20250802_132352,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,27.0,20250802_132352,llm,CONTEXT
phi4_subject_matter_27_20250802_132352,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,27.0,20250802_132352,llm,CONTEXT
phi4_subject_matter2_27_20250802_132352,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,27.0,20250802_132352,llm,CONTEXT
phi4_generalist_28_20250802_132822,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,28.0,20250802_132822,llm,CONTEXT
phi4_generalist2_28_20250802_132822,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,28.0,20250802_132822,llm,CONTEXT
phi4_normative_28_20250802_132822,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,28.0,20250802_132822,llm,CONTEXT
phi4_normative2_28_20250802_132822,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,28.0,20250802_132822,llm,CONTEXT
phi4_subject_matter_28_20250802_132822,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,28.0,20250802_132822,llm,CONTEXT
phi4_subject_matter2_28_20250802_132822,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,28.0,20250802_132822,llm,CONTEXT
phi4_generalist_29_20250802_133047,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,29.0,20250802_133047,llm,CONTEXT
phi4_generalist2_29_20250802_133047,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,29.0,20250802_133047,llm,CONTEXT
phi4_normative_29_20250802_133047,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,29.0,20250802_133047,llm,CONTEXT
phi4_normative2_29_20250802_133047,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,29.0,20250802_133047,llm,CONTEXT
phi4_subject_matter_29_20250802_133047,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,29.0,20250802_133047,llm,CONTEXT
phi4_subject_matter2_29_20250802_133047,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,29.0,20250802_133047,llm,CONTEXT
phi4_generalist_30_20250802_134156,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,30.0,20250802_134156,llm,CONTEXT
phi4_generalist2_30_20250802_134156,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,30.0,20250802_134156,llm,CONTEXT
phi4_normative_30_20250802_134156,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,30.0,20250802_134156,llm,CONTEXT
phi4_normative2_30_20250802_134156,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,30.0,20250802_134156,llm,CONTEXT
