row_id,source,condition,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp
gemma3-12b_generalist_49_20250628_182400,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,3,Important,49.0,20250628_182400
gemma3-12b_generalist_00_20250629_182720,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,0.0,20250629_182720
gemma3-12b_generalist_01_20250629_182836,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,1.0,20250629_182836
gemma3-12b_generalist_02_20250629_182956,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,2.0,20250629_182956
gemma3-12b_generalist_03_20250629_183230,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,3.0,20250629_183230
gemma3-12b_generalist_04_20250629_183348,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,4.0,20250629_183348
gemma3-12b_generalist_05_20250629_183520,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,5.0,20250629_183520
gemma3-12b_generalist_06_20250629_183635,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,6.0,20250629_183635
gemma3-12b_generalist_07_20250629_183807,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,7.0,20250629_183807
gemma3-12b_generalist_08_20250629_183923,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,8.0,20250629_183923
gemma3-12b_generalist_09_20250629_184037,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,9.0,20250629_184037
gemma3-12b_generalist_10_20250629_184356,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,10.0,20250629_184356
gemma3-12b_generalist_11_20250629_184518,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,11.0,20250629_184518
gemma3-12b_generalist_12_20250629_184632,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,12.0,20250629_184632
gemma3-12b_generalist_13_20250629_184820,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,13.0,20250629_184820
gemma3-12b_generalist_14_20250629_185003,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,14.0,20250629_185003
gemma3-12b_generalist_15_20250629_185130,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,15.0,20250629_185130
gemma3-12b_generalist_16_20250629_185248,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,16.0,20250629_185248
gemma3-12b_generalist_17_20250629_185407,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,17.0,20250629_185407
gemma3-12b_generalist_18_20250629_185529,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,18.0,20250629_185529
gemma3-12b_generalist_19_20250629_185646,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,19.0,20250629_185646
gemma3-12b_generalist_20_20250629_185802,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,20.0,20250629_185802
gemma3-12b_generalist_21_20250629_190045,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,21.0,20250629_190045
gemma3-12b_generalist_22_20250629_190226,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,22.0,20250629_190226
gemma3-12b_generalist_23_20250629_190342,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,23.0,20250629_190342
gemma3-12b_generalist_24_20250629_190459,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,24.0,20250629_190459
gemma3-12b_generalist_25_20250629_190627,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,25.0,20250629_190627
gemma3-12b_generalist_26_20250629_190755,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,26.0,20250629_190755
gemma3-12b_generalist_27_20250629_190916,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,27.0,20250629_190916
gemma3-12b_generalist_28_20250629_191031,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,28.0,20250629_191031
gemma3-12b_generalist_29_20250629_191146,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,29.0,20250629_191146
gemma3-12b_generalist_30_20250629_191303,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,30.0,20250629_191303
gemma3-12b_generalist_31_20250629_191425,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,31.0,20250629_191425
gemma3-12b_generalist_32_20250629_191547,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,32.0,20250629_191547
gemma3-12b_generalist_33_20250629_191949,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,33.0,20250629_191949
gemma3-12b_generalist_34_20250629_192108,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,34.0,20250629_192108
gemma3-12b_generalist_35_20250629_192227,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,35.0,20250629_192227
gemma3-12b_generalist_36_20250629_192341,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,36.0,20250629_192341
gemma3-12b_generalist_37_20250629_192455,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,37.0,20250629_192455
gemma3-12b_generalist_38_20250629_192612,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,38.0,20250629_192612
gemma3-12b_generalist_39_20250629_192726,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,39.0,20250629_192726
gemma3-12b_generalist_40_20250629_192843,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,40.0,20250629_192843
gemma3-12b_generalist_41_20250629_193000,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,41.0,20250629_193000
gemma3-12b_generalist_42_20250629_193131,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,42.0,20250629_193131
gemma3-12b_generalist_43_20250629_193249,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,43.0,20250629_193249
gemma3-12b_generalist_44_20250629_193404,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,44.0,20250629_193404
gemma3-12b_generalist_45_20250629_193520,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,45.0,20250629_193520
gemma3-12b_generalist_46_20250629_193644,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,46.0,20250629_193644
gemma3-12b_generalist_47_20250629_193827,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,47.0,20250629_193827
gemma3-12b_generalist_48_20250629_193941,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,48.0,20250629_193941
gemma3-12b_generalist_49_20250629_194115,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC measurement device,4,Very important,49.0,20250629_194115
gemma3-12b_generalist_00_20250629_194238,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,0.0,20250629_194238
gemma3-12b_generalist_01_20250629_194352,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,1.0,20250629_194352
gemma3-12b_generalist_02_20250629_194505,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,2.0,20250629_194505
gemma3-12b_generalist_03_20250629_194642,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,3.0,20250629_194642
gemma3-12b_generalist_04_20250629_194756,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,4.0,20250629_194756
gemma3-12b_generalist_05_20250629_194910,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,5.0,20250629_194910
gemma3-12b_generalist_06_20250629_195023,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,6.0,20250629_195023
gemma3-12b_generalist_07_20250629_195138,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,7.0,20250629_195138
gemma3-12b_generalist_08_20250629_195252,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,8.0,20250629_195252
gemma3-12b_generalist_09_20250629_195442,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,9.0,20250629_195442
gemma3-12b_generalist_10_20250629_195600,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,10.0,20250629_195600
gemma3-12b_generalist_11_20250629_195714,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,11.0,20250629_195714
gemma3-12b_generalist_12_20250629_195831,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,12.0,20250629_195831
gemma3-12b_generalist_13_20250629_200001,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,13.0,20250629_200001
gemma3-12b_generalist_14_20250629_200123,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,14.0,20250629_200123
gemma3-12b_generalist_15_20250629_200236,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,15.0,20250629_200236
gemma3-12b_generalist_16_20250629_200350,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,16.0,20250629_200350
gemma3-12b_generalist_17_20250629_200608,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,17.0,20250629_200608
gemma3-12b_generalist_18_20250629_200722,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,18.0,20250629_200722
gemma3-12b_generalist_19_20250629_200835,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,19.0,20250629_200835
gemma3-12b_generalist_20_20250629_200947,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,20.0,20250629_200947
gemma3-12b_generalist_21_20250629_201108,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,21.0,20250629_201108
gemma3-12b_generalist_22_20250629_201254,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,22.0,20250629_201254
gemma3-12b_generalist_23_20250629_201451,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,23.0,20250629_201451
gemma3-12b_generalist_24_20250629_201857,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,24.0,20250629_201857
gemma3-12b_generalist_25_20250629_202021,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,25.0,20250629_202021
gemma3-12b_generalist_26_20250629_202131,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,26.0,20250629_202131
gemma3-12b_generalist_27_20250629_202241,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,27.0,20250629_202241
gemma3-12b_generalist_28_20250629_202353,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,28.0,20250629_202353
gemma3-12b_generalist_29_20250629_202505,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,29.0,20250629_202505
gemma3-12b_generalist_30_20250629_202834,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,30.0,20250629_202834
gemma3-12b_generalist_31_20250629_202951,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,31.0,20250629_202951
gemma3-12b_generalist_32_20250629_203105,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,32.0,20250629_203105
gemma3-12b_generalist_33_20250629_203218,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,33.0,20250629_203218
gemma3-12b_generalist_34_20250629_203337,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,34.0,20250629_203337
gemma3-12b_generalist_35_20250629_203505,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,35.0,20250629_203505
gemma3-12b_generalist_36_20250629_203619,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,36.0,20250629_203619
gemma3-12b_generalist_37_20250629_203737,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,37.0,20250629_203737
gemma3-12b_generalist_38_20250629_203859,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,38.0,20250629_203859
gemma3-12b_generalist_39_20250629_204012,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,39.0,20250629_204012
gemma3-12b_generalist_40_20250629_204130,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,40.0,20250629_204130
gemma3-12b_generalist_41_20250629_204251,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,41.0,20250629_204251
gemma3-12b_generalist_42_20250629_205702,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,42.0,20250629_205702
gemma3-12b_generalist_43_20250629_205827,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,43.0,20250629_205827
gemma3-12b_generalist_44_20250629_205940,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,44.0,20250629_205940
gemma3-12b_generalist_45_20250629_210052,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,45.0,20250629_210052
gemma3-12b_generalist_46_20250629_210223,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,46.0,20250629_210223
gemma3-12b_generalist_47_20250629_210345,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,47.0,20250629_210345
gemma3-12b_generalist_48_20250629_210458,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,48.0,20250629_210458
gemma3-12b_generalist_49_20250629_210613,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC solution design tool,3,Important,49.0,20250629_210613
gemma3-12b_generalist_00_20250629_081502,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,0.0,20250629_081502
gemma3-12b_generalist_01_20250629_081722,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,1.0,20250629_081722
gemma3-12b_generalist_02_20250629_081836,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,2.0,20250629_081836
gemma3-12b_generalist_03_20250629_081952,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,3.0,20250629_081952
gemma3-12b_generalist_04_20250629_082118,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,4.0,20250629_082118
gemma3-12b_generalist_05_20250629_082242,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,5.0,20250629_082242
gemma3-12b_generalist_06_20250629_082357,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,6.0,20250629_082357
gemma3-12b_generalist_07_20250629_082521,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,7.0,20250629_082521
gemma3-12b_generalist_08_20250629_082648,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,8.0,20250629_082648
gemma3-12b_generalist_09_20250629_082803,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,9.0,20250629_082803
gemma3-12b_generalist_10_20250629_082923,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,10.0,20250629_082923
gemma3-12b_generalist_11_20250629_083120,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,11.0,20250629_083120
gemma3-12b_generalist_12_20250629_083315,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,12.0,20250629_083315
gemma3-12b_generalist_13_20250629_083433,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,13.0,20250629_083433
gemma3-12b_generalist_14_20250629_083555,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,14.0,20250629_083555
gemma3-12b_generalist_15_20250629_083710,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,15.0,20250629_083710
gemma3-12b_generalist_16_20250629_083826,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,16.0,20250629_083826
gemma3-12b_generalist_17_20250629_083942,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,17.0,20250629_083942
gemma3-12b_generalist_18_20250629_084104,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,18.0,20250629_084104
gemma3-12b_generalist_19_20250629_084220,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,19.0,20250629_084220
gemma3-12b_generalist_20_20250629_084359,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,20.0,20250629_084359
gemma3-12b_generalist_21_20250629_084717,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC-DC converter,4,Very important,21.0,20250629_084717
