row_id,variant_id,base_model,model,dc_solution,rating,label,condition,anchor_type,anchor_level,iteration
mistral_normative_01_20260630_181850,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,1
mistral_subject-matter_01_20260630_181850,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,1
gemma3_generalist_01_20260630_181850,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,1
gemma3_normative_01_20260630_181850,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,1
gemma3_subject-matter_01_20260630_181850,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,1
phi4_generalist_02_20260630_182106,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,2
phi4_normative_02_20260630_182106,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,2
phi4_subject-matter_02_20260630_182106,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,2
llama_generalist_02_20260630_182106,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,2
llama_normative_02_20260630_182106,llama_normative,llama,normative,Solid-state circuit breaker,3,Important,context,,,2
llama_subject-matter_02_20260630_182106,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,2
mistral_generalist_02_20260630_182106,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,2
mistral_normative_02_20260630_182106,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,2
mistral_subject-matter_02_20260630_182106,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,2
gemma3_generalist_02_20260630_182106,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,2
gemma3_normative_02_20260630_182106,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,2
gemma3_subject-matter_02_20260630_182106,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,2
phi4_generalist_03_20260630_182313,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,3
phi4_normative_03_20260630_182313,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,3
phi4_subject-matter_03_20260630_182313,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,3
llama_generalist_03_20260630_182313,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,3
llama_normative_03_20260630_182313,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,3
llama_subject-matter_03_20260630_182313,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,3,Important,context,,,3
mistral_generalist_03_20260630_182313,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,3
mistral_normative_03_20260630_182313,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,3
mistral_subject-matter_03_20260630_182313,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,3
gemma3_generalist_03_20260630_182313,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,3
gemma3_normative_03_20260630_182313,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,3
gemma3_subject-matter_03_20260630_182313,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,3
phi4_generalist_04_20260630_182539,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,4
phi4_normative_04_20260630_182539,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,4
phi4_subject-matter_04_20260630_182539,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,4
llama_generalist_04_20260630_182539,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,4
llama_normative_04_20260630_182539,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,4
llama_subject-matter_04_20260630_182539,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,4
mistral_generalist_04_20260630_182539,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,4
mistral_normative_04_20260630_182539,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,4
mistral_subject-matter_04_20260630_182539,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,4
gemma3_generalist_04_20260630_182539,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,4
gemma3_normative_04_20260630_182539,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,4
gemma3_subject-matter_04_20260630_182539,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,4
phi4_generalist_05_20260630_183043,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,5
phi4_normative_05_20260630_183043,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,5
phi4_subject-matter_05_20260630_183043,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,5
llama_generalist_05_20260630_183043,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,5
llama_normative_05_20260630_183043,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,5
llama_subject-matter_05_20260630_183043,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,5
mistral_generalist_05_20260630_183043,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,5
mistral_normative_05_20260630_183043,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,5
mistral_subject-matter_05_20260630_183043,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,5
gemma3_generalist_05_20260630_183043,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,5
gemma3_normative_05_20260630_183043,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,5
gemma3_subject-matter_05_20260630_183043,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,5
phi4_generalist_06_20260630_183256,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,6
phi4_normative_06_20260630_183256,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,6
phi4_subject-matter_06_20260630_183256,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,6
llama_generalist_06_20260630_183256,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,6
llama_normative_06_20260630_183256,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,6
llama_subject-matter_06_20260630_183256,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,6
mistral_generalist_06_20260630_183256,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,6
mistral_normative_06_20260630_183256,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,6
mistral_subject-matter_06_20260630_183256,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,6
gemma3_generalist_06_20260630_183256,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,6
gemma3_normative_06_20260630_183256,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,6
gemma3_subject-matter_06_20260630_183256,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,6
phi4_generalist_07_20260630_183804,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,7
phi4_normative_07_20260630_183804,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,7
phi4_subject-matter_07_20260630_183804,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,7
llama_generalist_07_20260630_183804,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,7
llama_normative_07_20260630_183804,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,7
llama_subject-matter_07_20260630_183804,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,7
mistral_generalist_07_20260630_183804,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,7
mistral_normative_07_20260630_183804,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,7
mistral_subject-matter_07_20260630_183804,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,7
gemma3_generalist_07_20260630_183804,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,7
gemma3_normative_07_20260630_183804,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,7
gemma3_subject-matter_07_20260630_183804,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,7
phi4_generalist_08_20260630_184255,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,8
phi4_normative_08_20260630_184255,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,8
phi4_subject-matter_08_20260630_184255,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,8
llama_generalist_08_20260630_184255,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,8
llama_normative_08_20260630_184255,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,8
llama_subject-matter_08_20260630_184255,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,8
mistral_generalist_08_20260630_184255,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,8
mistral_normative_08_20260630_184255,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,8
mistral_subject-matter_08_20260630_184255,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,8
gemma3_generalist_08_20260630_184255,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,8
gemma3_normative_08_20260630_184255,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,8
gemma3_subject-matter_08_20260630_184255,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,8
phi4_generalist_09_20260630_184525,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,9
phi4_normative_09_20260630_184525,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,9
phi4_subject-matter_09_20260630_184525,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,9
llama_generalist_09_20260630_184525,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,9
llama_normative_09_20260630_184525,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,9
llama_subject-matter_09_20260630_184525,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,9
mistral_generalist_09_20260630_184525,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,9
mistral_normative_09_20260630_184525,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,9
mistral_subject-matter_09_20260630_184525,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,9
gemma3_generalist_09_20260630_184525,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,9
gemma3_normative_09_20260630_184525,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,9
gemma3_subject-matter_09_20260630_184525,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,9
phi4_generalist_10_20260630_184752,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,10
phi4_normative_10_20260630_184752,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,10
phi4_subject-matter_10_20260630_184752,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,10
llama_generalist_10_20260630_184752,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,10
llama_normative_10_20260630_184752,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,10
llama_subject-matter_10_20260630_184752,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,10
mistral_generalist_10_20260630_184752,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,10
mistral_normative_10_20260630_184752,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,10
mistral_subject-matter_10_20260630_184752,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,10
gemma3_generalist_10_20260630_184752,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,10
gemma3_normative_10_20260630_184752,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,10
gemma3_subject-matter_10_20260630_184752,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,10
phi4_generalist_11_20260630_185600,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,11
phi4_normative_11_20260630_185600,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,11
phi4_subject-matter_11_20260630_185600,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,11
llama_generalist_11_20260630_185600,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,11
llama_normative_11_20260630_185600,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,11
llama_subject-matter_11_20260630_185600,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,11
mistral_generalist_11_20260630_185600,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,11
mistral_normative_11_20260630_185600,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,11
mistral_subject-matter_11_20260630_185600,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,11
gemma3_generalist_11_20260630_185600,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,11
gemma3_normative_11_20260630_185600,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,11
gemma3_subject-matter_11_20260630_185600,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,11
phi4_generalist_12_20260630_190313,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,12
phi4_normative_12_20260630_190313,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,12
phi4_subject-matter_12_20260630_190313,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,12
llama_generalist_12_20260630_190313,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,12
llama_normative_12_20260630_190313,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,12
llama_subject-matter_12_20260630_190313,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,12
mistral_generalist_12_20260630_190313,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,12
mistral_normative_12_20260630_190313,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,12
mistral_subject-matter_12_20260630_190313,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,12
gemma3_generalist_12_20260630_190313,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,12
gemma3_normative_12_20260630_190313,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,12
gemma3_subject-matter_12_20260630_190313,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,12
phi4_generalist_13_20260630_190523,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,13
phi4_normative_13_20260630_190523,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,13
phi4_subject-matter_13_20260630_190523,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,13
llama_generalist_13_20260630_190523,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,13
llama_normative_13_20260630_190523,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,13
llama_subject-matter_13_20260630_190523,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,13
mistral_generalist_13_20260630_190523,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,13
mistral_normative_13_20260630_190523,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,13
mistral_subject-matter_13_20260630_190523,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,13
gemma3_generalist_13_20260630_190523,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,13
gemma3_normative_13_20260630_190523,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,13
gemma3_subject-matter_13_20260630_190523,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,13
phi4_generalist_14_20260630_190738,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,14
phi4_normative_14_20260630_190738,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,14
phi4_subject-matter_14_20260630_190738,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,14
llama_generalist_14_20260630_190738,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,14
llama_normative_14_20260630_190738,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,14
llama_subject-matter_14_20260630_190738,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,3,Important,context,,,14
mistral_generalist_14_20260630_190738,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,14
mistral_normative_14_20260630_190738,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,14
mistral_subject-matter_14_20260630_190738,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,14
gemma3_generalist_14_20260630_190738,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,14
gemma3_normative_14_20260630_190738,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,14
gemma3_subject-matter_14_20260630_190738,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,14
phi4_generalist_15_20260630_191230,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,15
phi4_normative_15_20260630_191230,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,15
phi4_subject-matter_15_20260630_191230,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,15
llama_generalist_15_20260630_191230,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,15
llama_normative_15_20260630_191230,llama_normative,llama,normative,Solid-state circuit breaker,3,Important,context,,,15
llama_subject-matter_15_20260630_191230,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,15
mistral_generalist_15_20260630_191230,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,15
mistral_normative_15_20260630_191230,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,15
mistral_subject-matter_15_20260630_191230,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,15
gemma3_generalist_15_20260630_191230,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,15
gemma3_normative_15_20260630_191230,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,15
gemma3_subject-matter_15_20260630_191230,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,15
phi4_generalist_16_20260630_191703,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,16
phi4_normative_16_20260630_191703,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,16
phi4_subject-matter_16_20260630_191703,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,16
llama_generalist_16_20260630_191703,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,16
llama_normative_16_20260630_191703,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,16
llama_subject-matter_16_20260630_191703,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,3,Important,context,,,16
mistral_generalist_16_20260630_191703,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,16
mistral_normative_16_20260630_191703,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,16
mistral_subject-matter_16_20260630_191703,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,16
gemma3_generalist_16_20260630_191703,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,16
gemma3_normative_16_20260630_191703,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,16
gemma3_subject-matter_16_20260630_191703,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,16
phi4_generalist_17_20260630_191938,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,17
phi4_normative_17_20260630_191938,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,17
phi4_subject-matter_17_20260630_191938,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,17
llama_generalist_17_20260630_191938,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,17
llama_normative_17_20260630_191938,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,17
llama_subject-matter_17_20260630_191938,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,3,Important,context,,,17
mistral_generalist_17_20260630_191938,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,17
mistral_normative_17_20260630_191938,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,17
mistral_subject-matter_17_20260630_191938,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,17
gemma3_generalist_17_20260630_191938,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,17
gemma3_normative_17_20260630_191938,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,17
gemma3_subject-matter_17_20260630_191938,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,17
phi4_generalist_18_20260630_192434,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,18
phi4_normative_18_20260630_192434,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,18
phi4_subject-matter_18_20260630_192434,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,18
llama_generalist_18_20260630_192434,llama_generalist,llama,generalist,Solid-state circuit breaker,4,Very important,context,,,18
llama_normative_18_20260630_192434,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,18
llama_subject-matter_18_20260630_192434,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,18
mistral_generalist_18_20260630_192434,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,18
mistral_normative_18_20260630_192434,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,18
mistral_subject-matter_18_20260630_192434,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,18
gemma3_generalist_18_20260630_192434,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,18
gemma3_normative_18_20260630_192434,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,18
gemma3_subject-matter_18_20260630_192434,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,18
phi4_generalist_19_20260630_192937,phi4_generalist,phi4,generalist,Solid-state circuit breaker,4,Very important,context,,,19
phi4_normative_19_20260630_192937,phi4_normative,phi4,normative,Solid-state circuit breaker,4,Very important,context,,,19
phi4_subject-matter_19_20260630_192937,phi4_subject-matter,phi4,subject-matter,Solid-state circuit breaker,4,Very important,context,,,19
llama_generalist_19_20260630_192937,llama_generalist,llama,generalist,Solid-state circuit breaker,3,Important,context,,,19
llama_normative_19_20260630_192937,llama_normative,llama,normative,Solid-state circuit breaker,4,Very important,context,,,19
llama_subject-matter_19_20260630_192937,llama_subject-matter,llama,subject-matter,Solid-state circuit breaker,4,Very important,context,,,19
mistral_generalist_19_20260630_192937,mistral_generalist,mistral,generalist,Solid-state circuit breaker,4,Very important,context,,,19
mistral_normative_19_20260630_192937,mistral_normative,mistral,normative,Solid-state circuit breaker,4,Very important,context,,,19
mistral_subject-matter_19_20260630_192937,mistral_subject-matter,mistral,subject-matter,Solid-state circuit breaker,4,Very important,context,,,19
gemma3_generalist_19_20260630_192937,gemma3_generalist,gemma3,generalist,Solid-state circuit breaker,4,Very important,context,,,19
gemma3_normative_19_20260630_192937,gemma3_normative,gemma3,normative,Solid-state circuit breaker,4,Very important,context,,,19
gemma3_subject-matter_19_20260630_192937,gemma3_subject-matter,gemma3,subject-matter,Solid-state circuit breaker,4,Very important,context,,,19
