row_id,source,condition,base_model,variant_id,model,rating,label,iteration,timestamp
llama_normative2_05_20250617_190254,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,5.0,20250617_190254
llama_subject_matter_05_20250617_190254,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,5.0,20250617_190254
llama_subject_matter2_05_20250617_190254,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,4,Very feasible,5.0,20250617_190254
llama_generalist_06_20250617_190315,llm,ZEROSHOT,llama,llama_generalist,generalist,4,Very feasible,6.0,20250617_190315
llama_generalist2_06_20250617_190315,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,6.0,20250617_190315
llama_normative_06_20250617_190315,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,6.0,20250617_190315
llama_normative2_06_20250617_190315,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,6.0,20250617_190315
llama_subject_matter_06_20250617_190315,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,4,Very feasible,6.0,20250617_190315
llama_subject_matter2_06_20250617_190315,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,4,Very feasible,6.0,20250617_190315
llama_generalist_07_20250617_190335,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,7.0,20250617_190335
llama_generalist2_07_20250617_190335,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,7.0,20250617_190335
llama_normative_07_20250617_190335,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,7.0,20250617_190335
llama_normative2_07_20250617_190335,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,7.0,20250617_190335
llama_subject_matter_07_20250617_190335,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,7.0,20250617_190335
llama_subject_matter2_07_20250617_190335,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,4,Very feasible,7.0,20250617_190335
llama_generalist_08_20250617_190653,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,8.0,20250617_190653
llama_generalist2_08_20250617_190653,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,8.0,20250617_190653
llama_normative_08_20250617_190653,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,8.0,20250617_190653
llama_normative2_08_20250617_190653,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,8.0,20250617_190653
llama_subject_matter_08_20250617_190653,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,8.0,20250617_190653
llama_subject_matter2_08_20250617_190653,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,8.0,20250617_190653
llama_generalist_09_20250617_190735,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,9.0,20250617_190735
llama_generalist2_09_20250617_190735,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,9.0,20250617_190735
llama_normative_09_20250617_190735,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,9.0,20250617_190735
llama_normative2_09_20250617_190735,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,9.0,20250617_190735
llama_subject_matter_09_20250617_190735,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,2,Somewhat feasible,9.0,20250617_190735
llama_subject_matter2_09_20250617_190735,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,2,Somewhat feasible,9.0,20250617_190735
llama_generalist_10_20250617_190852,llm,ZEROSHOT,llama,llama_generalist,generalist,1,Not feasible,10.0,20250617_190852
llama_generalist2_10_20250617_190852,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,10.0,20250617_190852
llama_normative_10_20250617_190852,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,10.0,20250617_190852
llama_normative2_10_20250617_190852,llm,ZEROSHOT,llama,llama_normative2,normative2,1,Not feasible,10.0,20250617_190852
llama_subject_matter_10_20250617_190852,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,10.0,20250617_190852
llama_subject_matter2_10_20250617_190852,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,1,Not feasible,10.0,20250617_190852
llama_generalist_11_20250617_190911,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,11.0,20250617_190911
llama_generalist2_11_20250617_190911,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,11.0,20250617_190911
llama_normative_11_20250617_190911,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,11.0,20250617_190911
llama_normative2_11_20250617_190911,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,11.0,20250617_190911
llama_subject_matter_11_20250617_190911,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,11.0,20250617_190911
llama_subject_matter2_11_20250617_190911,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,11.0,20250617_190911
llama_generalist_12_20250617_190930,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,12.0,20250617_190930
llama_generalist2_12_20250617_190930,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,12.0,20250617_190930
llama_normative_12_20250617_190930,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,12.0,20250617_190930
llama_normative2_12_20250617_190930,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,12.0,20250617_190930
llama_subject_matter_12_20250617_190930,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,12.0,20250617_190930
llama_subject_matter2_12_20250617_190930,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,12.0,20250617_190930
llama_generalist_13_20250617_190949,llm,ZEROSHOT,llama,llama_generalist,generalist,4,Very feasible,13.0,20250617_190949
llama_generalist2_13_20250617_190949,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,13.0,20250617_190949
llama_normative_13_20250617_190949,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,13.0,20250617_190949
llama_normative2_13_20250617_190949,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,13.0,20250617_190949
llama_subject_matter_13_20250617_190949,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,13.0,20250617_190949
llama_subject_matter2_13_20250617_190949,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,13.0,20250617_190949
llama_generalist_14_20250617_191008,llm,ZEROSHOT,llama,llama_generalist,generalist,1,Not feasible,14.0,20250617_191008
llama_generalist2_14_20250617_191008,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,14.0,20250617_191008
llama_normative_14_20250617_191008,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,14.0,20250617_191008
llama_normative2_14_20250617_191008,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,14.0,20250617_191008
llama_subject_matter_14_20250617_191008,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,14.0,20250617_191008
llama_subject_matter2_14_20250617_191008,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,14.0,20250617_191008
llama_generalist_15_20250617_191027,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,15.0,20250617_191027
llama_generalist2_15_20250617_191027,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,15.0,20250617_191027
llama_normative_15_20250617_191027,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,15.0,20250617_191027
llama_normative2_15_20250617_191027,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,15.0,20250617_191027
llama_subject_matter_15_20250617_191027,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,15.0,20250617_191027
llama_subject_matter2_15_20250617_191027,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,15.0,20250617_191027
llama_generalist_16_20250617_191046,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,16.0,20250617_191046
llama_generalist2_16_20250617_191046,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,16.0,20250617_191046
llama_normative_16_20250617_191046,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,16.0,20250617_191046
llama_normative2_16_20250617_191046,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,16.0,20250617_191046
llama_subject_matter_16_20250617_191046,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,16.0,20250617_191046
llama_subject_matter2_16_20250617_191046,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,16.0,20250617_191046
llama_generalist_17_20250617_191112,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,17.0,20250617_191112
llama_generalist2_17_20250617_191112,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,17.0,20250617_191112
llama_normative_17_20250617_191112,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,17.0,20250617_191112
llama_normative2_17_20250617_191112,llm,ZEROSHOT,llama,llama_normative2,normative2,4,Very feasible,17.0,20250617_191112
llama_subject_matter_17_20250617_191112,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,17.0,20250617_191112
llama_subject_matter2_17_20250617_191112,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,17.0,20250617_191112
llama_generalist_18_20250617_191130,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,18.0,20250617_191130
llama_generalist2_18_20250617_191130,llm,ZEROSHOT,llama,llama_generalist2,generalist2,4,Very feasible,18.0,20250617_191130
llama_normative_18_20250617_191130,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,18.0,20250617_191130
llama_normative2_18_20250617_191130,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,18.0,20250617_191130
llama_subject_matter_18_20250617_191130,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,2,Somewhat feasible,18.0,20250617_191130
llama_subject_matter2_18_20250617_191130,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,4,Very feasible,18.0,20250617_191130
llama_generalist_19_20250617_191150,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,19.0,20250617_191150
llama_generalist2_19_20250617_191150,llm,ZEROSHOT,llama,llama_generalist2,generalist2,1,Not feasible,19.0,20250617_191150
llama_normative_19_20250617_191150,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,19.0,20250617_191150
llama_normative2_19_20250617_191150,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,19.0,20250617_191150
llama_subject_matter_19_20250617_191150,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,19.0,20250617_191150
llama_subject_matter2_19_20250617_191150,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,2,Somewhat feasible,19.0,20250617_191150
llama_generalist_20_20250617_191208,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,20.0,20250617_191208
llama_generalist2_20_20250617_191208,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,20.0,20250617_191208
llama_normative_20_20250617_191208,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,20.0,20250617_191208
llama_normative2_20_20250617_191208,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,20.0,20250617_191208
llama_subject_matter_20_20250617_191208,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,4,Very feasible,20.0,20250617_191208
llama_subject_matter2_20_20250617_191208,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,20.0,20250617_191208
llama_generalist_21_20250617_191227,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,21.0,20250617_191227
llama_generalist2_21_20250617_191227,llm,ZEROSHOT,llama,llama_generalist2,generalist2,1,Not feasible,21.0,20250617_191227
llama_normative_21_20250617_191227,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,21.0,20250617_191227
llama_normative2_21_20250617_191227,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,21.0,20250617_191227
llama_subject_matter_21_20250617_191227,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,21.0,20250617_191227
llama_subject_matter2_21_20250617_191227,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,2,Somewhat feasible,21.0,20250617_191227
llama_generalist_22_20250617_191246,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,22.0,20250617_191246
llama_generalist2_22_20250617_191246,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,22.0,20250617_191246
llama_normative_22_20250617_191246,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,22.0,20250617_191246
llama_normative2_22_20250617_191246,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,22.0,20250617_191246
llama_subject_matter_22_20250617_191246,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,22.0,20250617_191246
llama_subject_matter2_22_20250617_191246,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,22.0,20250617_191246
llama_generalist_23_20250617_191304,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,23.0,20250617_191304
llama_generalist2_23_20250617_191304,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,23.0,20250617_191304
llama_normative_23_20250617_191304,llm,ZEROSHOT,llama,llama_normative,normative,2,Somewhat feasible,23.0,20250617_191304
llama_normative2_23_20250617_191304,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,23.0,20250617_191304
llama_subject_matter_23_20250617_191304,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,2,Somewhat feasible,23.0,20250617_191304
llama_subject_matter2_23_20250617_191304,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,23.0,20250617_191304
llama_generalist_24_20250617_191324,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,24.0,20250617_191324
llama_generalist2_24_20250617_191324,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,24.0,20250617_191324
llama_normative_24_20250617_191324,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,24.0,20250617_191324
llama_normative2_24_20250617_191324,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,24.0,20250617_191324
llama_subject_matter_24_20250617_191324,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,2,Somewhat feasible,24.0,20250617_191324
llama_subject_matter2_24_20250617_191324,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,24.0,20250617_191324
llama_generalist_25_20250617_191343,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,25.0,20250617_191343
llama_generalist2_25_20250617_191343,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,25.0,20250617_191343
llama_normative_25_20250617_191343,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,25.0,20250617_191343
llama_normative2_25_20250617_191343,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,25.0,20250617_191343
llama_subject_matter_25_20250617_191343,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,25.0,20250617_191343
llama_subject_matter2_25_20250617_191343,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,1,Not feasible,25.0,20250617_191343
llama_generalist_26_20250617_191402,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,26.0,20250617_191402
llama_generalist2_26_20250617_191402,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,26.0,20250617_191402
llama_normative_26_20250617_191402,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,26.0,20250617_191402
llama_normative2_26_20250617_191402,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,26.0,20250617_191402
llama_subject_matter_26_20250617_191402,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,4,Very feasible,26.0,20250617_191402
llama_subject_matter2_26_20250617_191402,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,26.0,20250617_191402
llama_generalist_27_20250617_191422,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,27.0,20250617_191422
llama_generalist2_27_20250617_191422,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,27.0,20250617_191422
llama_normative_27_20250617_191422,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,27.0,20250617_191422
llama_normative2_27_20250617_191422,llm,ZEROSHOT,llama,llama_normative2,normative2,1,Not feasible,27.0,20250617_191422
llama_subject_matter_27_20250617_191422,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,27.0,20250617_191422
llama_subject_matter2_27_20250617_191422,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,27.0,20250617_191422
llama_generalist_28_20250617_191441,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,28.0,20250617_191441
llama_generalist2_28_20250617_191441,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,28.0,20250617_191441
llama_normative_28_20250617_191441,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,28.0,20250617_191441
llama_normative2_28_20250617_191441,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,28.0,20250617_191441
llama_subject_matter_28_20250617_191441,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,28.0,20250617_191441
llama_subject_matter2_28_20250617_191441,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,28.0,20250617_191441
llama_generalist_29_20250617_191500,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,29.0,20250617_191500
llama_generalist2_29_20250617_191500,llm,ZEROSHOT,llama,llama_generalist2,generalist2,4,Very feasible,29.0,20250617_191500
llama_normative_29_20250617_191500,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,29.0,20250617_191500
llama_normative2_29_20250617_191500,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,29.0,20250617_191500
llama_subject_matter_29_20250617_191500,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,29.0,20250617_191500
llama_subject_matter2_29_20250617_191500,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,29.0,20250617_191500
llama_generalist_30_20250617_191519,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,30.0,20250617_191519
llama_generalist2_30_20250617_191519,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,30.0,20250617_191519
llama_normative_30_20250617_191519,llm,ZEROSHOT,llama,llama_normative,normative,2,Somewhat feasible,30.0,20250617_191519
llama_normative2_30_20250617_191519,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,30.0,20250617_191519
llama_subject_matter_30_20250617_191519,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,2,Somewhat feasible,30.0,20250617_191519
llama_subject_matter2_30_20250617_191519,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,4,Very feasible,30.0,20250617_191519
llama_generalist_31_20250617_191538,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,31.0,20250617_191538
llama_generalist2_31_20250617_191538,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,31.0,20250617_191538
llama_normative_31_20250617_191538,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,31.0,20250617_191538
llama_normative2_31_20250617_191538,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,31.0,20250617_191538
llama_subject_matter_31_20250617_191538,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,31.0,20250617_191538
llama_subject_matter2_31_20250617_191538,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,31.0,20250617_191538
llama_generalist_32_20250617_191557,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,32.0,20250617_191557
llama_generalist2_32_20250617_191557,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,32.0,20250617_191557
llama_normative_32_20250617_191557,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,32.0,20250617_191557
llama_normative2_32_20250617_191557,llm,ZEROSHOT,llama,llama_normative2,normative2,2,Somewhat feasible,32.0,20250617_191557
llama_subject_matter_32_20250617_191557,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,32.0,20250617_191557
llama_subject_matter2_32_20250617_191557,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,32.0,20250617_191557
llama_generalist_33_20250617_191615,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,33.0,20250617_191615
llama_generalist2_33_20250617_191615,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,33.0,20250617_191615
llama_normative_33_20250617_191615,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,33.0,20250617_191615
llama_normative2_33_20250617_191615,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,33.0,20250617_191615
llama_subject_matter_33_20250617_191615,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,33.0,20250617_191615
llama_subject_matter2_33_20250617_191615,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,33.0,20250617_191615
llama_generalist_34_20250617_191634,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,34.0,20250617_191634
llama_generalist2_34_20250617_191634,llm,ZEROSHOT,llama,llama_generalist2,generalist2,4,Very feasible,34.0,20250617_191634
llama_normative_34_20250617_191634,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,34.0,20250617_191634
llama_normative2_34_20250617_191634,llm,ZEROSHOT,llama,llama_normative2,normative2,4,Very feasible,34.0,20250617_191634
llama_subject_matter_34_20250617_191634,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,34.0,20250617_191634
llama_subject_matter2_34_20250617_191634,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,34.0,20250617_191634
llama_generalist_35_20250617_191652,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,35.0,20250617_191652
llama_generalist2_35_20250617_191652,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,35.0,20250617_191652
llama_normative_35_20250617_191652,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,35.0,20250617_191652
llama_normative2_35_20250617_191652,llm,ZEROSHOT,llama,llama_normative2,normative2,4,Very feasible,35.0,20250617_191652
llama_subject_matter_35_20250617_191652,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,35.0,20250617_191652
llama_subject_matter2_35_20250617_191652,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,35.0,20250617_191652
llama_generalist_36_20250617_191713,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,36.0,20250617_191713
llama_generalist2_36_20250617_191713,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,36.0,20250617_191713
llama_normative_36_20250617_191713,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,36.0,20250617_191713
