prior_name,effect_prior_sd,base_model,anchor_type,comparison,response_pattern,context_probability_median,context_probability_l95,context_probability_u95,anchor_probability_median,anchor_probability_l95,anchor_probability_u95,difference_median,difference_l95,difference_u95,posterior_probability_difference_gt_0,posterior_probability_difference_lt_0,conclusion,direction
primary,1.5,llama,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.2686208399891442,0.2086612267973091,0.33588601570400656,0.37333481823890047,0.2415847616062484,0.5366771908993561,0.10404238114223383,-0.03809404003977117,0.2746239749755141,0.921,0.079,uncertain,above 0
weak,2.5,llama,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.2683286780629247,0.20751489059319236,0.3335853496130063,0.3762488854263965,0.24272818191359036,0.5380083387736619,0.10685958938615647,-0.036460227521088566,0.276238227960823,0.919875,0.080125,uncertain,above 0
regularizing,0.75,mistral,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.011560554523334479,0.0037157757017581036,0.027729521517546433,0.012991794639888577,0.0038751004859376237,0.03835861074662821,6.215370275018113e-4,-0.00452300356004169,0.018695430654859416,0.654125,0.345875,uncertain,above 0
primary,1.5,mistral,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.010186368965607992,0.003102459132359501,0.025784280968289868,0.013022604293148752,0.0035315485885731397,0.04954717123194766,0.0013768019825650543,-0.005308784287803245,0.034708909794951656,0.701125,0.298875,uncertain,above 0
weak,2.5,mistral,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.009052964369170071,0.002597747925313008,0.024140194361052563,0.01253755338847306,0.003191120155388759,0.05672817857890809,0.0020812716915964134,-0.005494207675597664,0.044804798242877496,0.7175,0.2825,uncertain,above 0
regularizing,0.75,mistral,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.011560554523334479,0.0037157757017581036,0.027729521517546433,0.014392762091309002,0.004252446765994658,0.044823575939751927,0.001496777714279745,-0.003716026072291327,0.027301810916321976,0.7235,0.2765,uncertain,above 0
primary,1.5,mistral,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.010186368965607992,0.003102459132359501,0.025784280968289868,0.017444489255362607,0.004310692850312248,0.0792667395443447,0.005681530312168196,-0.0043907955098475265,0.06593949506100218,0.82275,0.17725,uncertain,above 0
weak,2.5,mistral,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.009052964369170071,0.002597747925313008,0.024140194361052563,0.021357786826618663,0.00442609170625383,0.10116638017551917,0.010911245822718338,-0.003860838023018262,0.09063715240738923,0.867375,0.132625,uncertain,above 0
regularizing,0.75,phi4,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.009093252964023867,0.002587774164513498,0.023249421002645803,0.010085621832939854,0.00269372303658436,0.031487134097832305,3.9151135405288444e-4,-0.0040943547382861645,0.015052386813224251,0.63,0.37,uncertain,above 0
primary,1.5,phi4,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.008145382703633651,0.0021742385182545315,0.02150926487848124,0.010310004342295537,0.002471479059647989,0.042904714996550096,0.0010033053209028103,-0.00520963463659346,0.03017604961392564,0.679,0.321,uncertain,above 0
weak,2.5,phi4,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.007621893974054754,0.0019832719539338833,0.02165588899429853,0.010540946339548708,0.0023500489400585527,0.0502238289424142,0.001631959625524774,-0.005729098298270573,0.0404115888966838,0.70225,0.29775,uncertain,above 0
regularizing,0.75,phi4,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.009093252964023867,0.002587774164513498,0.023249421002645803,0.010146884883203769,0.0026458818212591125,0.03237118472329691,3.9337050123851086e-4,-0.004126222243834123,0.015228522725518877,0.635375,0.364625,uncertain,above 0
primary,1.5,phi4,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.008145382703633651,0.0021742385182545315,0.02150926487848124,0.010307584661834873,0.0024686938012316684,0.04401814732132582,0.001089945857254112,-0.005297817445854233,0.030888681835905585,0.688125,0.311875,uncertain,above 0
weak,2.5,phi4,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,endpoint probability: P(Y=1) + P(Y=4),0.007621893974054754,0.0019832719539338833,0.02165588899429853,0.010459265331026162,0.002281422292609967,0.05133324514451718,0.0015575379884744801,-0.0056434752328556916,0.04088866736333467,0.696375,0.303625,uncertain,above 0
