row_id,variant_id,source,model,dc_solution,rating,label
he20_connectors,he20,human,s2,DC connectors,4,very important
he20_solidState,he20,human,s2,Solid-state circuit breaker,4,very important
he20_interlink,he20,human,s2,LVAC-LVDC interlink converter,4,very important
he20_networkDesign,he20,human,s2,Network design tool for DC solutions,4,very important
he21_cables,he21,human,s2,Smart and sustainable DC cables,4,very important
he21_connectors,he21,human,s2,DC connectors,4,very important
he21_solidState,he21,human,s2,Solid-state circuit breaker,4,very important
he21_interlink,he21,human,s2,LVAC-LVDC interlink converter,4,very important
he21_networkDesign,he21,human,s2,Network design tool for DC solutions,3,important
he22_cables,he22,human,s2,Smart and sustainable DC cables,4,very important
he22_connectors,he22,human,s2,DC connectors,4,very important
he22_solidState,he22,human,s2,Solid-state circuit breaker,4,very important
he22_interlink,he22,human,s2,LVAC-LVDC interlink converter,4,very important
he22_networkDesign,he22,human,s2,Network design tool for DC solutions,3,important
he23_cables,he23,human,s2,Smart and sustainable DC cables,4,very important
he23_connectors,he23,human,s2,DC connectors,2,somewhat important
he23_solidState,he23,human,s2,Solid-state circuit breaker,4,very important
he23_interlink,he23,human,s2,LVAC-LVDC interlink converter,4,very important
he23_networkDesign,he23,human,s2,Network design tool for DC solutions,4,very important
