condition5,base_model,dc_solution,prob_ge_top,top_k
ANCHOR_WORD,phi4,Protection DC system design tool,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,Protection DC system design tool,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,Protection DC system design tool,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,Protection DC system design tool,0.9943045633227955,4
CONTEXT,gemma3,Semiconductor-based circuit breaker,0.9472769979243477,4
ANCHOR_WORD,gemma3,Semiconductor-based circuit breaker,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,Semiconductor-based circuit breaker,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,Semiconductor-based circuit breaker,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,Semiconductor-based circuit breaker,0.9033065622597399,4
CONTEXT,llama,Semiconductor-based circuit breaker,0.44680414591967565,4
ANCHOR_WORD,llama,Semiconductor-based circuit breaker,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,Semiconductor-based circuit breaker,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,Semiconductor-based circuit breaker,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,Semiconductor-based circuit breaker,0.5999664757645995,4
CONTEXT,mistral,Semiconductor-based circuit breaker,0.7972463779054639,4
ANCHOR_WORD,mistral,Semiconductor-based circuit breaker,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,Semiconductor-based circuit breaker,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,Semiconductor-based circuit breaker,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,Semiconductor-based circuit breaker,0.6964587131262256,4
CONTEXT,phi4,Semiconductor-based circuit breaker,0.992485909557278,4
ANCHOR_WORD,phi4,Semiconductor-based circuit breaker,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,Semiconductor-based circuit breaker,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,Semiconductor-based circuit breaker,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,Semiconductor-based circuit breaker,0.9943045633227955,4
CONTEXT,gemma3,Smart and sustainable DC cables,0.9472769979243477,4
ANCHOR_WORD,gemma3,Smart and sustainable DC cables,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,Smart and sustainable DC cables,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,Smart and sustainable DC cables,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,Smart and sustainable DC cables,0.9033065622597399,4
CONTEXT,llama,Smart and sustainable DC cables,0.44680414591967565,4
ANCHOR_WORD,llama,Smart and sustainable DC cables,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,Smart and sustainable DC cables,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,Smart and sustainable DC cables,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,Smart and sustainable DC cables,0.5999664757645995,4
CONTEXT,mistral,Smart and sustainable DC cables,0.7972463779054639,4
ANCHOR_WORD,mistral,Smart and sustainable DC cables,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,Smart and sustainable DC cables,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,Smart and sustainable DC cables,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,Smart and sustainable DC cables,0.6964587131262256,4
CONTEXT,phi4,Smart and sustainable DC cables,0.992485909557278,4
ANCHOR_WORD,phi4,Smart and sustainable DC cables,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,Smart and sustainable DC cables,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,Smart and sustainable DC cables,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,Smart and sustainable DC cables,0.9943045633227955,4
CONTEXT,gemma3,Solid-state circuit breaker,0.9472769979243477,4
ANCHOR_WORD,gemma3,Solid-state circuit breaker,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,Solid-state circuit breaker,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,Solid-state circuit breaker,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,Solid-state circuit breaker,0.9033065622597399,4
CONTEXT,llama,Solid-state circuit breaker,0.44680414591967565,4
ANCHOR_WORD,llama,Solid-state circuit breaker,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,Solid-state circuit breaker,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,Solid-state circuit breaker,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,Solid-state circuit breaker,0.5999664757645995,4
CONTEXT,mistral,Solid-state circuit breaker,0.7972463779054639,4
ANCHOR_WORD,mistral,Solid-state circuit breaker,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,Solid-state circuit breaker,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,Solid-state circuit breaker,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,Solid-state circuit breaker,0.6964587131262256,4
CONTEXT,phi4,Solid-state circuit breaker,0.992485909557278,4
ANCHOR_WORD,phi4,Solid-state circuit breaker,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,Solid-state circuit breaker,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,Solid-state circuit breaker,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,Solid-state circuit breaker,0.9943045633227955,4
CONTEXT,gemma3,Static protection system,0.9472769979243477,4
ANCHOR_WORD,gemma3,Static protection system,0.9686690369477146,4
ANCHOR_EXAMPLE,gemma3,Static protection system,0.9490283342154195,4
ANCHOR_LOW_NUM,gemma3,Static protection system,0.9153533553706795,4
ANCHOR_HIGH_NUM,gemma3,Static protection system,0.9033065622597399,4
CONTEXT,llama,Static protection system,0.44680414591967565,4
ANCHOR_WORD,llama,Static protection system,0.5294164644834594,4
ANCHOR_EXAMPLE,llama,Static protection system,0.3718203349733955,4
ANCHOR_LOW_NUM,llama,Static protection system,0.49255755260318357,4
ANCHOR_HIGH_NUM,llama,Static protection system,0.5999664757645995,4
CONTEXT,mistral,Static protection system,0.7972463779054639,4
ANCHOR_WORD,mistral,Static protection system,0.5902671570785154,4
ANCHOR_EXAMPLE,mistral,Static protection system,0.745138034869486,4
ANCHOR_LOW_NUM,mistral,Static protection system,0.31703360064709707,4
ANCHOR_HIGH_NUM,mistral,Static protection system,0.6964587131262256,4
CONTEXT,phi4,Static protection system,0.992485909557278,4
ANCHOR_WORD,phi4,Static protection system,0.9992916603191423,4
ANCHOR_EXAMPLE,phi4,Static protection system,0.9929161303384064,4
ANCHOR_LOW_NUM,phi4,Static protection system,0.979918262612028,4
ANCHOR_HIGH_NUM,phi4,Static protection system,0.9943045633227955,4
