prior_name,base_model,dc_solution,base_solution,comparison,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
regularizing,gemma3,Static protection system,gemma3__Static protection system,CONTEXT vs ZEROSHOT,5.375234344412009,4.620182324575998,6.198478769920273,215.9904828388838,101.51254047447007,492.00003028714127,1,0,higher in Context
regularizing,llama,DC connectors,llama__DC connectors,CONTEXT vs ZEROSHOT,1.929252478000893,1.2946395717863943,2.6138597175496514,6.884362133617065,3.6496802981873455,13.651640778390849,1,0,higher in Context
regularizing,llama,DC measurement device,llama__DC measurement device,CONTEXT vs ZEROSHOT,-0.12674577773909956,-0.8167165117022648,0.5574324350553969,0.8809576046724902,0.4418801950588764,1.7461833364001922,0.355875,0.644125,uncertain
regularizing,llama,DC solution design tool,llama__DC solution design tool,CONTEXT vs ZEROSHOT,0.8434463186044412,0.30477755921157257,1.3749654334660375,2.324363696574311,1.3563232716366762,3.9549400124800407,0.9995,5e-4,higher in Context
regularizing,llama,DC-DC converter,llama__DC-DC converter,CONTEXT vs ZEROSHOT,0.5001916334393424,0.0633257044505504,0.939988854418352,1.6490372522679455,1.0653737819639468,2.559952886121917,0.9885,0.0115,higher in Context
regularizing,llama,LVAC-LVDC interlink converter,llama__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,-0.4037123339409571,-0.9507205822645153,0.12138268515495614,0.6678362074656449,0.38646244518298206,1.1290569049064236,0.0665,0.9335,uncertain
regularizing,llama,Network design tool for DC solutions,llama__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,0.49821431437109054,0.04271073255324654,0.9534037838261298,1.6457798000558692,1.0436359986624204,2.594525884433178,0.9835,0.0165,higher in Context
regularizing,llama,Protection DC system design tool,llama__Protection DC system design tool,CONTEXT vs ZEROSHOT,0.476918785590415,0.024494954569152315,0.9375277819967074,1.6111025940602675,1.0247974318849395,2.5536604029153835,0.980125,0.019875,higher in Context
regularizing,llama,Semiconductor-based circuit breaker,llama__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,3.656885132303901,2.9753695271605576,4.433807002881904,38.74048339482111,19.59686709777204,84.25155714318106,1,0,higher in Context
regularizing,llama,Smart and sustainable DC cables,llama__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,0.3244584733434233,-0.10453744796626145,0.7497980284446957,1.3832813594910043,0.9007410659310902,2.116572486044645,0.928,0.072,uncertain
regularizing,llama,Solid-state circuit breaker,llama__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,3.223413949836689,2.6211049981122416,3.8898773505833044,25.11371095418782,13.750909959275452,48.90488800005972,1,0,higher in Context
regularizing,llama,Static protection system,llama__Static protection system,CONTEXT vs ZEROSHOT,3.077012970752552,2.424443876514655,3.7826525132574154,21.693506418296067,11.295945735406638,43.93241914591805,1,0,higher in Context
regularizing,mistral,DC connectors,mistral__DC connectors,CONTEXT vs ZEROSHOT,-0.3538367099919889,-1.4193617320130658,0.6990313675460605,0.7019896172168166,0.24186834467606777,2.0118031019862284,0.2445,0.7555,uncertain
regularizing,mistral,DC measurement device,mistral__DC measurement device,CONTEXT vs ZEROSHOT,-1.884704773731415,-2.3978661440222515,-1.390077579223409,0.15187388997388923,0.09091173906988964,0.24905598259474818,0,1,lower in Context
regularizing,mistral,DC solution design tool,mistral__DC solution design tool,CONTEXT vs ZEROSHOT,1.023280149099027,0.039867796629616925,2.0547415012362626,2.7823062370296627,1.0406731849775595,7.804820428880549,0.98025,0.01975,higher in Context
regularizing,mistral,DC-DC converter,mistral__DC-DC converter,CONTEXT vs ZEROSHOT,-1.8887904996790583,-2.555811039484218,-1.2518188754933586,0.15125464078923026,0.07762924686837847,0.2859841571251742,0,1,lower in Context
regularizing,mistral,LVAC-LVDC interlink converter,mistral__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,0.19466876687496437,-0.24674602428508285,0.6390437889818836,1.2149085052475292,0.7813391096341435,1.8946683148072423,0.799625,0.200375,uncertain
regularizing,mistral,Network design tool for DC solutions,mistral__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,0.5340714564645009,-0.6861079367956928,1.8178897781866576,1.7058635673951907,0.5035320472434714,6.158848203867375,0.8045,0.1955,uncertain
regularizing,mistral,Protection DC system design tool,mistral__Protection DC system design tool,CONTEXT vs ZEROSHOT,2.0626513444500807,1.5678869139489482,2.5912400846727888,7.866799805275197,4.79650205613575,13.346311906984829,1,0,higher in Context
regularizing,mistral,Semiconductor-based circuit breaker,mistral__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,4.282190974868633,3.624051935177594,5.015197228674892,72.3988924743838,37.48916415571242,150.6858552340161,1,0,higher in Context
regularizing,mistral,Smart and sustainable DC cables,mistral__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,-1.8801440543474643,-2.403171548744354,-1.372867553076683,0.152568126082174,0.09043069279060117,0.2533793382487222,0,1,lower in Context
regularizing,mistral,Solid-state circuit breaker,mistral__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,3.6176071316686786,2.9083252461359677,4.406598347096962,37.24833080541475,18.32608124048438,81.990087414218,1,0,higher in Context
regularizing,mistral,Static protection system,mistral__Static protection system,CONTEXT vs ZEROSHOT,5.065234299636506,4.346945329189795,5.850118914770273,158.417556000245,77.24215316206329,347.27567451868873,1,0,higher in Context
regularizing,phi4,DC connectors,phi4__DC connectors,CONTEXT vs ZEROSHOT,-0.9685377232372828,-1.6902718409341035,-0.2881113190638796,0.37963777251273795,0.18446937171653863,0.7496781372388175,0.00225,0.99775,lower in Context
regularizing,phi4,DC measurement device,phi4__DC measurement device,CONTEXT vs ZEROSHOT,-0.49373715333618934,-0.9351709582645422,-0.06381612729550448,0.6103411881773596,0.39251876217472575,0.938177490116284,0.0125,0.9875,lower in Context
regularizing,phi4,DC solution design tool,phi4__DC solution design tool,CONTEXT vs ZEROSHOT,0.9887403233090502,-0.08721372595555642,2.1569342774314206,2.687846570166693,0.9164812011900623,8.644595069975036,0.963125,0.036875,uncertain
regularizing,phi4,DC-DC converter,phi4__DC-DC converter,CONTEXT vs ZEROSHOT,0.5383371523666395,-0.6928113663059612,1.846657046159005,1.713155783078414,0.500167967776445,6.338594725592215,0.800875,0.199125,uncertain
regularizing,phi4,LVAC-LVDC interlink converter,phi4__LVAC-LVDC interlink converter,CONTEXT vs ZEROSHOT,1.772175443907796,1.2867415939676512,2.284268134227823,5.883639040215202,3.620968761817058,9.81849777345319,1,0,higher in Context
regularizing,phi4,Network design tool for DC solutions,phi4__Network design tool for DC solutions,CONTEXT vs ZEROSHOT,1.293231740864906,0.2741748079884372,2.4063664151743467,3.6445457758933255,1.315444756058128,11.093578451486717,0.993375,0.006625,higher in Context
regularizing,phi4,Protection DC system design tool,phi4__Protection DC system design tool,CONTEXT vs ZEROSHOT,1.29669728591023,0.29299734572460673,2.3820909111106525,3.6571980249695333,1.3404392373725178,10.827521704618999,0.99475,0.00525,higher in Context
regularizing,phi4,Semiconductor-based circuit breaker,phi4__Semiconductor-based circuit breaker,CONTEXT vs ZEROSHOT,1.367036632031709,0.38444605475704363,2.432197338450008,3.9237060663923735,1.4688004621854829,11.383868893275537,0.9975,0.0025,higher in Context
regularizing,phi4,Smart and sustainable DC cables,phi4__Smart and sustainable DC cables,CONTEXT vs ZEROSHOT,0.5396328658997408,-0.7290019247491151,1.887514418672667,1.7153769919695048,0.4823902138983803,6.602936156181525,0.804375,0.195625,uncertain
regularizing,phi4,Solid-state circuit breaker,phi4__Solid-state circuit breaker,CONTEXT vs ZEROSHOT,0.6828737772722784,-0.5629275420128383,1.9495616953366628,1.9795583764027391,0.5695393000462666,7.025607636575511,0.864875,0.135125,uncertain
regularizing,phi4,Static protection system,phi4__Static protection system,CONTEXT vs ZEROSHOT,2.491835371664256,1.7101053893778835,3.386984894719758,12.083433377091819,5.529544261646469,29.576641021672465,1,0,higher in Context
