base_model,dc_solution,comparison,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
gemma3,DC measurement device,ANCHOR_WORD,3,30,0,0.05483333333333333,0.03333333333333333,0,0.2,TRUE,0.03333333333333333
gemma3,DC measurement device,ANCHOR_WORD,4,30,1,0.9451666666666667,0.9666666666666667,0.8,1,TRUE,0.033333333333333326
gemma3,DC measurement device,ANCHOR_NUM_HIGH,3,30,0.23333333333333334,0.25653333333333334,0.23333333333333334,0.06666666666666667,0.5,TRUE,0
gemma3,DC measurement device,ANCHOR_NUM_HIGH,4,30,0.7666666666666667,0.7434666666666667,0.7666666666666667,0.5,0.9333333333333333,TRUE,0
gemma3,DC measurement device,ANCHOR_NUM_LOW,3,30,0.3,0.3169,0.3,0.1,0.5333333333333333,TRUE,0
gemma3,DC measurement device,ANCHOR_NUM_LOW,4,30,0.7,0.6831,0.7,0.4666666666666667,0.9,TRUE,0
gemma3,DC solution design tool,CONTEXT,3,150,0,0.005093333333333333,0,0,0.02666666666666667,TRUE,0
gemma3,DC solution design tool,CONTEXT,4,150,1,0.9949066666666666,1,0.9733333333333334,1,TRUE,0
gemma3,DC solution design tool,ANCHOR_EXAMPLE,3,30,0,0.005533333333333334,0,0,0.03416666666666591,TRUE,0
gemma3,DC solution design tool,ANCHOR_EXAMPLE,4,30,1,0.9944666666666667,1,0.9658333333333333,1,TRUE,0
gemma3,DC solution design tool,ANCHOR_WORD,3,30,0,0.0057,0,0,0.06666666666666667,TRUE,0
gemma3,DC solution design tool,ANCHOR_WORD,4,30,1,0.9943,1,0.9333333333333333,1,TRUE,0
gemma3,DC solution design tool,ANCHOR_NUM_HIGH,3,30,0,0.0054666666666666665,0,0,0.03333333333333333,TRUE,0
gemma3,DC solution design tool,ANCHOR_NUM_HIGH,4,30,1,0.9945333333333334,1,0.9666666666666667,1,TRUE,0
gemma3,DC solution design tool,ANCHOR_NUM_LOW,3,30,0,0.0056,0,0,0.06666666666666667,TRUE,0
gemma3,DC solution design tool,ANCHOR_NUM_LOW,4,30,1,0.9944,1,0.9333333333333333,1,TRUE,0
gemma3,DC-DC converter,CONTEXT,3,150,1,0.9742066666666667,0.98,0.9333333333333333,1,TRUE,0.020000000000000018
gemma3,DC-DC converter,CONTEXT,4,150,0,0.025793333333333335,0.02,0,0.06666666666666667,TRUE,0.02
gemma3,DC-DC converter,ANCHOR_EXAMPLE,3,30,0.8333333333333334,0.8633000000000001,0.8666666666666667,0.6666666666666666,1,TRUE,0.033333333333333326
gemma3,DC-DC converter,ANCHOR_EXAMPLE,4,30,0.16666666666666666,0.1367,0.13333333333333333,0,0.3333333333333333,TRUE,0.033333333333333326
gemma3,DC-DC converter,ANCHOR_WORD,3,30,0,0.0903,0.06666666666666667,0,0.26666666666666666,TRUE,0.06666666666666667
gemma3,DC-DC converter,ANCHOR_WORD,4,30,1,0.9097000000000001,0.9333333333333333,0.7333333333333333,1,TRUE,0.06666666666666665
gemma3,DC-DC converter,ANCHOR_NUM_HIGH,3,30,1,0.9855666666666667,1,0.9,1,TRUE,0
gemma3,DC-DC converter,ANCHOR_NUM_HIGH,4,30,0,0.014433333333333333,0,0,0.1,TRUE,0
gemma3,DC-DC converter,ANCHOR_NUM_LOW,3,30,1,0.9853666666666667,1,0.9,1,TRUE,0
gemma3,DC-DC converter,ANCHOR_NUM_LOW,4,30,0,0.014633333333333333,0,0,0.1,TRUE,0
gemma3,LVAC-LVDC interlink converter,CONTEXT,3,150,1,0.9955066666666667,1,0.98,1,TRUE,0
gemma3,LVAC-LVDC interlink converter,CONTEXT,4,150,0,0.0044933333333333336,0,0,0.02,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,3,30,1,0.9948666666666667,1,0.9666666666666667,1,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,4,30,0,0.0051333333333333335,0,0,0.03333333333333333,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_WORD,3,30,1,0.9946,1,0.9666666666666667,1,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_WORD,4,30,0,0.0054,0,0,0.03333333333333333,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,3,30,1,0.9948,1,0.9666666666666667,1,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,4,30,0,0.0052,0,0,0.03333333333333333,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,3,30,1,0.9942333333333333,1,0.9333333333333333,1,TRUE,0
gemma3,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,4,30,0,0.0057666666666666665,0,0,0.06666666666666667,TRUE,0
gemma3,Network design tool for DC solutions,CONTEXT,3,150,0.24666666666666667,0.26332,0.26,0.17333333333333334,0.36,TRUE,0.013333333333333336
gemma3,Network design tool for DC solutions,CONTEXT,4,150,0.7533333333333333,0.73668,0.74,0.64,0.8266666666666667,TRUE,0.013333333333333308
gemma3,Network design tool for DC solutions,ANCHOR_EXAMPLE,3,30,0.8666666666666667,0.8324333333333334,0.8333333333333334,0.6333333333333333,0.9666666666666667,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,ANCHOR_EXAMPLE,4,30,0.13333333333333333,0.16756666666666667,0.16666666666666666,0.03333333333333333,0.36666666666666664,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,ANCHOR_WORD,3,30,0,0.03836666666666667,0.03333333333333333,0,0.16666666666666666,TRUE,0.03333333333333333
gemma3,Network design tool for DC solutions,ANCHOR_WORD,4,30,1,0.9616333333333333,0.9666666666666667,0.8333333333333334,1,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,ANCHOR_NUM_HIGH,3,30,0.5666666666666667,0.5473333333333333,0.5333333333333333,0.3,0.8,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,ANCHOR_NUM_HIGH,4,30,0.43333333333333335,0.45266666666666666,0.4666666666666667,0.2,0.7,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,ANCHOR_NUM_LOW,3,30,0.9333333333333333,0.8858,0.9,0.7,1,TRUE,0.033333333333333326
gemma3,Network design tool for DC solutions,ANCHOR_NUM_LOW,4,30,0.06666666666666667,0.1142,0.1,0,0.3,TRUE,0.03333333333333334
gemma3,Protection DC system design tool,CONTEXT,3,150,0,0.009033333333333334,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
gemma3,Protection DC system design tool,CONTEXT,4,150,1,0.9909666666666667,0.9933333333333333,0.9666666666666667,1,TRUE,0.00666666666666671
gemma3,Protection DC system design tool,ANCHOR_EXAMPLE,3,30,0.1,0.0679,0.06666666666666667,0,0.2,TRUE,0.03333333333333334
gemma3,Protection DC system design tool,ANCHOR_EXAMPLE,4,30,0.9,0.9321,0.9333333333333333,0.8,1,TRUE,0.033333333333333326
gemma3,Protection DC system design tool,ANCHOR_WORD,3,30,0,0.0084,0,0,0.06666666666666667,TRUE,0
gemma3,Protection DC system design tool,ANCHOR_WORD,4,30,1,0.9916,1,0.9333333333333333,1,TRUE,0
gemma3,Protection DC system design tool,ANCHOR_NUM_HIGH,3,30,0,0.008233333333333334,0,0,0.06666666666666667,TRUE,0
gemma3,Protection DC system design tool,ANCHOR_NUM_HIGH,4,30,1,0.9917666666666667,1,0.9333333333333333,1,TRUE,0
gemma3,Protection DC system design tool,ANCHOR_NUM_LOW,3,30,0,0.008633333333333333,0,0,0.06666666666666667,TRUE,0
gemma3,Protection DC system design tool,ANCHOR_NUM_LOW,4,30,1,0.9913666666666666,1,0.9333333333333333,1,TRUE,0
gemma3,Semiconductor-based circuit breaker,CONTEXT,3,150,0,0.00498,0,0,0.02666666666666667,TRUE,0
gemma3,Semiconductor-based circuit breaker,CONTEXT,4,150,1,0.99502,1,0.9733333333333334,1,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,3,30,0,0.004433333333333333,0,0,0.03333333333333333,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,4,30,1,0.9955666666666667,1,0.9666666666666667,1,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_WORD,3,30,0,0.006266666666666667,0,0,0.06666666666666667,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_WORD,4,30,1,0.9937333333333334,1,0.9333333333333333,1,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,3,30,0,0.0053,0,0,0.03333333333333333,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,4,30,1,0.9947,1,0.9666666666666667,1,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,3,30,0,0.0060999999999999995,0,0,0.06666666666666667,TRUE,0
gemma3,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,4,30,1,0.9939,1,0.9333333333333333,1,TRUE,0
gemma3,Smart and sustainable DC cables,CONTEXT,3,150,0,0.03048666666666667,0.02666666666666667,0,0.07333333333333333,TRUE,0.02666666666666667
gemma3,Smart and sustainable DC cables,CONTEXT,4,150,1,0.9695133333333333,0.9733333333333334,0.9266666666666666,1,TRUE,0.026666666666666616
gemma3,Smart and sustainable DC cables,ANCHOR_EXAMPLE,3,30,0.06666666666666667,0.06376666666666667,0.06666666666666667,0,0.23333333333333334,TRUE,0
gemma3,Smart and sustainable DC cables,ANCHOR_EXAMPLE,4,30,0.9333333333333333,0.9362333333333334,0.9333333333333333,0.7666666666666667,1,TRUE,0
gemma3,Smart and sustainable DC cables,ANCHOR_WORD,3,30,0.06666666666666667,0.05803333333333333,0.03333333333333333,0,0.2,TRUE,0.03333333333333333
gemma3,Smart and sustainable DC cables,ANCHOR_WORD,4,30,0.9333333333333333,0.9419666666666667,0.9666666666666667,0.8,1,TRUE,0.033333333333333326
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,3,30,0.26666666666666666,0.23349999999999999,0.23333333333333334,0.06583333333333338,0.5,TRUE,0.033333333333333326
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,4,30,0.7333333333333333,0.7665,0.7666666666666667,0.5,0.9341666666666659,TRUE,0.03333333333333344
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_LOW,3,30,0.8666666666666667,0.7918666666666667,0.8,0.5666666666666667,0.9666666666666667,TRUE,0.06666666666666665
gemma3,Smart and sustainable DC cables,ANCHOR_NUM_LOW,4,30,0.13333333333333333,0.20813333333333334,0.2,0.03333333333333333,0.43333333333333335,TRUE,0.06666666666666668
gemma3,Solid-state circuit breaker,CONTEXT,3,150,0,0.0048200000000000005,0,0,0.02666666666666667,TRUE,0
gemma3,Solid-state circuit breaker,CONTEXT,4,150,1,0.99518,1,0.9733333333333334,1,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_EXAMPLE,3,30,0,0.005833333333333334,0,0,0.06666666666666667,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_EXAMPLE,4,30,1,0.9941666666666666,1,0.9333333333333333,1,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_WORD,3,30,0,0.0062,0,0,0.06666666666666667,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_WORD,4,30,1,0.9938,1,0.9333333333333333,1,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_NUM_HIGH,3,30,0,0.005433333333333333,0,0,0.03416666666666591,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_NUM_HIGH,4,30,1,0.9945666666666667,1,0.9658333333333333,1,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_NUM_LOW,3,30,0,0.006066666666666666,0,0,0.06666666666666667,TRUE,0
gemma3,Solid-state circuit breaker,ANCHOR_NUM_LOW,4,30,1,0.9939333333333333,1,0.9333333333333333,1,TRUE,0
gemma3,Static protection system,CONTEXT,3,150,0,0.004533333333333334,0,0,0.02,TRUE,0
gemma3,Static protection system,CONTEXT,4,150,1,0.9954666666666666,1,0.98,1,TRUE,0
gemma3,Static protection system,ANCHOR_EXAMPLE,3,30,0,0.005666666666666666,0,0,0.06666666666666667,TRUE,0
gemma3,Static protection system,ANCHOR_EXAMPLE,4,30,1,0.9943333333333333,1,0.9333333333333333,1,TRUE,0
gemma3,Static protection system,ANCHOR_WORD,3,30,0,0.0058,0,0,0.06666666666666667,TRUE,0
gemma3,Static protection system,ANCHOR_WORD,4,30,1,0.9942,1,0.9333333333333333,1,TRUE,0
gemma3,Static protection system,ANCHOR_NUM_HIGH,3,30,0,0.0054666666666666665,0,0,0.03333333333333333,TRUE,0
gemma3,Static protection system,ANCHOR_NUM_HIGH,4,30,1,0.9945333333333334,1,0.9666666666666667,1,TRUE,0
gemma3,Static protection system,ANCHOR_NUM_LOW,3,30,0,0.006266666666666667,0,0,0.06666666666666667,TRUE,0
gemma3,Static protection system,ANCHOR_NUM_LOW,4,30,1,0.9937333333333334,1,0.9333333333333333,1,TRUE,0
llama,DC connectors,CONTEXT,3,150,0.66,0.6731666666666667,0.6733333333333333,0.56,0.7733333333333333,TRUE,0.013333333333333308
llama,DC connectors,CONTEXT,4,150,0.34,0.3268333333333333,0.32666666666666666,0.22666666666666666,0.44,TRUE,0.013333333333333364
llama,DC connectors,ANCHOR_EXAMPLE,3,30,0.9666666666666667,0.935,0.9333333333333333,0.8,1,TRUE,0.033333333333333326
llama,DC connectors,ANCHOR_EXAMPLE,4,30,0.03333333333333333,0.065,0.06666666666666667,0,0.2,TRUE,0.03333333333333333
llama,DC connectors,ANCHOR_WORD,3,30,0.8333333333333334,0.8230666666666667,0.8333333333333334,0.6333333333333333,0.9666666666666667,TRUE,0
llama,DC connectors,ANCHOR_WORD,4,30,0.16666666666666666,0.17693333333333333,0.16666666666666666,0.03333333333333333,0.36666666666666664,TRUE,0
llama,DC connectors,ANCHOR_NUM_HIGH,3,30,0.7333333333333333,0.7282,0.7333333333333333,0.5,0.9,TRUE,0
llama,DC connectors,ANCHOR_NUM_HIGH,4,30,0.26666666666666666,0.2718,0.26666666666666666,0.1,0.5,TRUE,0
llama,DC connectors,ANCHOR_NUM_LOW,3,30,0.9,0.87716666666666665,0.9,0.7,1,TRUE,0
llama,DC connectors,ANCHOR_NUM_LOW,4,30,0.1,0.12283333333333334,0.1,0,0.3,TRUE,0
llama,DC measurement device,CONTEXT,3,150,0.92,0.92134,0.9266666666666666,0.8533333333333334,0.9733333333333334,TRUE,0.006666666666666599
llama,DC measurement device,CONTEXT,4,150,0.08,0.07866000000000001,0.07333333333333333,0.02666666666666667,0.14666666666666667,TRUE,0.006666666666666668
llama,DC measurement device,ANCHOR_EXAMPLE,3,30,0.9666666666666667,0.9542333333333334,0.9666666666666667,0.8333333333333334,1,TRUE,0
llama,DC measurement device,ANCHOR_EXAMPLE,4,30,0.03333333333333333,0.045766666666666664,0.03333333333333333,0,0.16666666666666666,TRUE,0
llama,DC measurement device,ANCHOR_WORD,3,30,0.9666666666666667,0.9540666666666667,0.9666666666666667,0.8333333333333334,1,TRUE,0
llama,DC measurement device,ANCHOR_WORD,4,30,0.03333333333333333,0.04593333333333333,0.03333333333333333,0,0.16666666666666666,TRUE,0
llama,DC measurement device,ANCHOR_NUM_HIGH,3,30,0.8666666666666667,0.8727666666666667,0.9,0.6666666666666666,1,TRUE,0.033333333333333326
llama,DC measurement device,ANCHOR_NUM_HIGH,4,30,0.13333333333333333,0.12723333333333334,0.1,0,0.3333333333333333,TRUE,0.033333333333333326
llama,DC measurement device,ANCHOR_NUM_LOW,3,30,0.9666666666666667,0.9508666666666666,0.9666666666666667,0.8,1,TRUE,0
llama,DC measurement device,ANCHOR_NUM_LOW,4,30,0.03333333333333333,0.049133333333333334,0.03333333333333333,0,0.2,TRUE,0
llama,DC solution design tool,CONTEXT,3,150,0.7266666666666667,0.7291,0.7333333333333333,0.6266666666666667,0.8133333333333334,TRUE,0.006666666666666599
llama,DC solution design tool,CONTEXT,4,150,0.2733333333333333,0.27090000000000003,0.26666666666666666,0.18666666666666668,0.37333333333333335,TRUE,0.006666666666666654
llama,DC solution design tool,ANCHOR_EXAMPLE,3,30,0.6333333333333333,0.6383333333333333,0.6333333333333333,0.4,0.8666666666666667,TRUE,0
llama,DC solution design tool,ANCHOR_EXAMPLE,4,30,0.36666666666666664,0.36166666666666664,0.36666666666666664,0.13333333333333333,0.6,TRUE,0
llama,DC solution design tool,ANCHOR_WORD,3,30,0.9,0.8817,0.9,0.7,1,TRUE,0
llama,DC solution design tool,ANCHOR_WORD,4,30,0.1,0.1183,0.1,0,0.3,TRUE,0
llama,DC solution design tool,ANCHOR_NUM_HIGH,3,30,0.6333333333333333,0.6348,0.6333333333333333,0.4,0.8333333333333334,TRUE,0
llama,DC solution design tool,ANCHOR_NUM_HIGH,4,30,0.36666666666666664,0.36519999999999997,0.36666666666666664,0.16666666666666666,0.6,TRUE,0
llama,DC solution design tool,ANCHOR_NUM_LOW,3,30,0.9,0.8841333333333333,0.9,0.7,1,TRUE,0
llama,DC solution design tool,ANCHOR_NUM_LOW,4,30,0.1,0.11586666666666667,0.1,0,0.3,TRUE,0
llama,DC-DC converter,CONTEXT,3,150,0.58,0.5779866666666666,0.58,0.48,0.6866666666666666,TRUE,0
llama,DC-DC converter,CONTEXT,4,150,0.42,0.42201333333333335,0.42,0.31333333333333335,0.52,TRUE,0
llama,DC-DC converter,ANCHOR_EXAMPLE,3,30,0.5333333333333333,0.5405666666666666,0.5333333333333333,0.3,0.8,TRUE,0
llama,DC-DC converter,ANCHOR_EXAMPLE,4,30,0.4666666666666667,0.4594333333333333,0.4666666666666667,0.2,0.7,TRUE,0
llama,DC-DC converter,ANCHOR_WORD,3,30,0.6333333333333333,0.6319,0.6333333333333333,0.4,0.8666666666666667,TRUE,0
llama,DC-DC converter,ANCHOR_WORD,4,30,0.36666666666666664,0.3681,0.36666666666666664,0.13333333333333333,0.6,TRUE,0
llama,DC-DC converter,ANCHOR_NUM_HIGH,3,30,0.43333333333333335,0.44356666666666666,0.43333333333333335,0.2,0.7,TRUE,0
llama,DC-DC converter,ANCHOR_NUM_HIGH,4,30,0.5666666666666667,0.5564333333333333,0.5666666666666667,0.3,0.8,TRUE,0
llama,DC-DC converter,ANCHOR_NUM_LOW,3,30,0.4,0.4033333333333333,0.4,0.16666666666666666,0.6666666666666666,TRUE,0
llama,DC-DC converter,ANCHOR_NUM_LOW,4,30,0.6,0.5966666666666667,0.6,0.3333333333333333,0.8333333333333334,TRUE,0
llama,LVAC-LVDC interlink converter,CONTEXT,3,150,0.8533333333333334,0.84182,0.8466666666666667,0.76,0.9133333333333333,TRUE,0.00666666666666671
llama,LVAC-LVDC interlink converter,CONTEXT,4,150,0.14666666666666667,0.15818,0.15333333333333332,0.08666666666666667,0.24,TRUE,0.006666666666666654
llama,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,3,30,0.8333333333333334,0.8404,0.8666666666666667,0.6333333333333333,0.9666666666666667,TRUE,0.033333333333333326
llama,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,4,30,0.16666666666666666,0.1596,0.13333333333333333,0.03333333333333333,0.36666666666666664,TRUE,0.033333333333333326
llama,LVAC-LVDC interlink converter,ANCHOR_WORD,3,30,0.6,0.6155666666666667,0.6166666666666667,0.36666666666666664,0.8333333333333334,TRUE,0.01666666666666672
llama,LVAC-LVDC interlink converter,ANCHOR_WORD,4,30,0.4,0.38443333333333335,0.3833333333333333,0.16666666666666666,0.6333333333333333,TRUE,0.01666666666666672
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,3,30,0.5666666666666667,0.5891,0.6,0.3333333333333333,0.8333333333333334,TRUE,0.033333333333333326
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,4,30,0.43333333333333335,0.4109,0.4,0.16666666666666666,0.6666666666666666,TRUE,0.033333333333333326
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,3,30,0.7666666666666667,0.7709666666666667,0.7666666666666667,0.5666666666666667,0.9333333333333333,TRUE,0
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,4,30,0.23333333333333334,0.22903333333333334,0.23333333333333334,0.06666666666666667,0.43333333333333335,TRUE,0
llama,Network design tool for DC solutions,CONTEXT,3,150,0.62,0.62318,0.6233333333333333,0.5133333333333333,0.7266666666666667,TRUE,0.0033333333333332993
llama,Network design tool for DC solutions,CONTEXT,4,150,0.38,0.37682,0.3766666666666667,0.2733333333333333,0.4866666666666667,TRUE,0.0033333333333332993
llama,Network design tool for DC solutions,ANCHOR_EXAMPLE,3,30,0.8666666666666667,0.8492666666666667,0.8666666666666667,0.6658333333333334,1,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_EXAMPLE,4,30,0.13333333333333333,0.15073333333333333,0.13333333333333333,0,0.3341666666666659,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_WORD,3,30,0.5666666666666667,0.5685333333333333,0.5666666666666667,0.3,0.8,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_WORD,4,30,0.43333333333333335,0.43146666666666667,0.43333333333333335,0.2,0.7,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_NUM_HIGH,3,30,0.6,0.6001333333333333,0.6,0.36666666666666664,0.8333333333333334,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_NUM_HIGH,4,30,0.4,0.39986666666666665,0.4,0.16666666666666666,0.6333333333333333,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_NUM_LOW,3,30,0.6333333333333333,0.6330333333333333,0.6333333333333333,0.4,0.8333333333333334,TRUE,0
llama,Network design tool for DC solutions,ANCHOR_NUM_LOW,4,30,0.36666666666666664,0.36696666666666666,0.36666666666666664,0.16666666666666666,0.6,TRUE,0
llama,Protection DC system design tool,CONTEXT,3,150,0.5866666666666667,0.5864266666666667,0.5866666666666667,0.48,0.7,TRUE,0
llama,Protection DC system design tool,CONTEXT,4,150,0.41333333333333333,0.41357333333333335,0.41333333333333333,0.3,0.52,TRUE,0
llama,Protection DC system design tool,ANCHOR_EXAMPLE,3,30,0.6666666666666666,0.6649666666666667,0.6666666666666666,0.4,0.8666666666666667,TRUE,0
llama,Protection DC system design tool,ANCHOR_EXAMPLE,4,30,0.3333333333333333,0.33503333333333335,0.3333333333333333,0.13333333333333333,0.6,TRUE,0
llama,Protection DC system design tool,ANCHOR_WORD,3,30,0.6,0.6098333333333333,0.6,0.36666666666666664,0.8333333333333334,TRUE,0
llama,Protection DC system design tool,ANCHOR_WORD,4,30,0.4,0.39016666666666666,0.4,0.16666666666666666,0.6333333333333333,TRUE,0
llama,Protection DC system design tool,ANCHOR_NUM_HIGH,3,30,0.4,0.41146666666666665,0.4,0.2,0.6666666666666666,TRUE,0
llama,Protection DC system design tool,ANCHOR_NUM_HIGH,4,30,0.6,0.5885333333333334,0.6,0.3333333333333333,0.8,TRUE,0
llama,Protection DC system design tool,ANCHOR_NUM_LOW,3,30,0.5,0.5045333333333333,0.5,0.26666666666666666,0.7333333333333333,TRUE,0
llama,Protection DC system design tool,ANCHOR_NUM_LOW,4,30,0.5,0.49546666666666667,0.5,0.26666666666666666,0.7333333333333333,TRUE,0
llama,Semiconductor-based circuit breaker,CONTEXT,3,150,0.30666666666666664,0.3134733333333333,0.31333333333333335,0.2131666666666667,0.41349999999999987,TRUE,0.00666666666666671
llama,Semiconductor-based circuit breaker,CONTEXT,4,150,0.6933333333333334,0.6865266666666666,0.6866666666666666,0.5865,0.7868333333333332,TRUE,0.00666666666666671
llama,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,3,30,0.43333333333333335,0.4275333333333333,0.43333333333333335,0.2,0.6666666666666666,TRUE,0
llama,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,4,30,0.5666666666666667,0.5724666666666667,0.5666666666666667,0.3333333333333333,0.8,TRUE,0
llama,Semiconductor-based circuit breaker,ANCHOR_WORD,3,30,0.43333333333333335,0.42766666666666664,0.43333333333333335,0.2,0.6666666666666666,TRUE,0
llama,Semiconductor-based circuit breaker,ANCHOR_WORD,4,30,0.5666666666666667,0.5723333333333334,0.5666666666666667,0.3333333333333333,0.8,TRUE,0
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,3,30,0.4666666666666667,0.44756666666666667,0.43333333333333335,0.2,0.7,TRUE,0.033333333333333326
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,4,30,0.5333333333333333,0.5524333333333333,0.5666666666666667,0.3,0.8,TRUE,0.033333333333333326
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,3,30,0.36666666666666664,0.3646,0.36666666666666664,0.13333333333333333,0.6333333333333333,TRUE,0
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,4,30,0.6333333333333333,0.6354,0.6333333333333333,0.36666666666666664,0.8666666666666667,TRUE,0
llama,Smart and sustainable DC cables,CONTEXT,3,150,0.46,0.46187333333333336,0.46,0.3598333333333333,0.5734999999999999,TRUE,0
llama,Smart and sustainable DC cables,CONTEXT,4,150,0.54,0.5381266666666666,0.54,0.42650000000000005,0.6401666666666666,TRUE,0
llama,Smart and sustainable DC cables,ANCHOR_EXAMPLE,3,30,0.5,0.5021333333333333,0.5,0.26666666666666666,0.7341666666666659,TRUE,0
llama,Smart and sustainable DC cables,ANCHOR_EXAMPLE,4,30,0.5,0.4978666666666667,0.5,0.2658333333333334,0.7333333333333333,TRUE,0
llama,Smart and sustainable DC cables,ANCHOR_WORD,3,30,0.5333333333333333,0.5277333333333333,0.5333333333333333,0.26666666666666666,0.7666666666666667,TRUE,0
