prior_name,effect_prior_sd,base_model,dc_solution,base_solution,anchor_type,comparison,response_pattern,context_probability_median,context_probability_l95,context_probability_u95,anchor_probability_median,anchor_probability_l95,anchor_probability_u95,difference_median,difference_l95,difference_u95,posterior_probability_difference_gt_0,posterior_probability_difference_lt_0,conclusion,direction
weak,2.5,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.36855872236508114,0.2931586079757072,0.4453227492663308,0.9826261363041529,0.9061008618944585,0.9990045688540491,0.6084174919018168,0.5094490042758557,0.6904525702923074,1,0,greater upper-end concentration under Anchor,above 0
regularizing,0.75,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9960760317136017,0.9849838964647286,0.9994210622849449,0.996413651630933,0.9774352618529661,0.9996456475697467,1.814115098413005e-4,-0.012981102468227366,0.0069020711486621885,0.546125,0.453875,uncertain,above 0
primary,1.5,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9963750309858768,0.984316404291187,0.9995463329262507,0.9974334465033309,0.9688322516404398,0.9999058756965964,5.898132276048185e-4,-0.02338312085968337,0.009933192338338316,0.59675,0.40325,uncertain,above 0
weak,2.5,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9962204346503041,0.9832116381655776,0.9995563283540206,0.9984443212732192,0.9667675751166545,0.9999849299630305,0.0013653074532989917,-0.027284201609946008,0.013601324343151616,0.677,0.323,uncertain,above 0
regularizing,0.75,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9960760317136017,0.9849838964647286,0.9994210622849449,0.9965087609257481,0.9778831259531007,0.9996451938350841,2.403820709769855e-4,-0.012975179887013317,0.0071244998591105365,0.552875,0.447125,uncertain,above 0
primary,1.5,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9963750309858768,0.984316404291187,0.9995463329262507,0.9974885170059535,0.9710845296916764,0.9999027058726917,5.76251971392272e-4,-0.02179144631694435,0.010382282609977835,0.5955,0.4045,uncertain,above 0
weak,2.5,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9962204346503041,0.9832116381655776,0.9995563283540206,0.9984320542893055,0.9649231000267325,0.9999842494649357,0.0012843139794675995,-0.02847417735520028,0.013298299204216336,0.67625,0.32375,uncertain,above 0
regularizing,0.75,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.049049435937155994,0.027188068662203965,0.0821777843875508,0.11025480529467235,0.0419238120863668,0.22482482328804976,0.05963097815424612,-0.00590119270638584,0.17186834570873052,0.95675,0.04325,uncertain,above 0
primary,1.5,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.02273926636743684,0.00848336391334779,0.049446004564653374,0.13074357582696644,0.04649616017103161,0.2803170958569048,0.10656501048210643,0.021445127376900387,0.2562127323566506,0.9965,0.0035,greater upper-end concentration under Anchor,above 0
weak,2.5,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.013071087141956705,0.003414844427445074,0.03645763808455795,0.14605407694953831,0.05251094359766673,0.29643481010027134,0.13148352232881166,0.037462685801030085,0.282811604642832,0.999125,8.75e-4,greater upper-end concentration under Anchor,above 0
regularizing,0.75,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.049049435937155994,0.027188068662203965,0.0821777843875508,0.7593715699129533,0.6072767469746637,0.8744230166764404,0.7089607846029489,0.5613581738455504,0.8214571736445562,1,0,greater upper-end concentration under Anchor,above 0
primary,1.5,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.02273926636743684,0.00848336391334779,0.049446004564653374,0.9161885830369569,0.7930115775080874,0.977363148273299,0.8910386695722408,0.7697533082758868,0.9547120124379107,1,0,greater upper-end concentration under Anchor,above 0
weak,2.5,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.013071087141956705,0.003414844427445074,0.03645763808455795,0.9672369298458103,0.8704011840182965,0.9965285417551064,0.9516778279764732,0.855913598123792,0.986157127877236,1,0,greater upper-end concentration under Anchor,above 0
regularizing,0.75,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.003931140656402321,5.263466869218969e-4,0.015318855389518648,0.003621821111216894,3.5162659148531836e-4,0.02184242837423731,-1.7351348787142395e-4,-0.006956718833227032,0.01268480295077382,0.459625,0.540375,uncertain,below 0
primary,1.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.0036461445543224946,4.498858692931235e-4,0.015472563712403936,0.002561250869610898,8.931203545323174e-5,0.031528487917028336,-5.801278284265909e-4,-0.010250560332027406,0.023960111974379715,0.405625,0.594375,uncertain,below 0
weak,2.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.0037629725985459106,4.58543207740153e-4,0.016851946444163816,0.0014320347505586972,1.1749813582354056e-5,0.036462773894237084,-0.0013697309763411325,-0.013130641676850829,0.030674323015781414,0.32,0.68,uncertain,below 0
regularizing,0.75,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.003931140656402321,5.263466869218969e-4,0.015318855389518648,0.0034973531937940727,3.3677910608697904e-4,0.021707913158076002,-1.8800663371820736e-4,-0.007089121917876081,0.012274500003265883,0.45225,0.54775,uncertain,below 0
primary,1.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.0036461445543224946,4.498858692931235e-4,0.015472563712403936,0.002457211617927113,8.465603248775655e-5,0.0326561351751293,-6.287611927950909e-4,-0.010474166109936801,0.025560416993261528,0.398,0.602,uncertain,below 0
weak,2.5,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.0037629725985459106,4.58543207740153e-4,0.016851946444163816,0.0014567880074164985,1.2163812769472317e-5,0.03549459779468835,-0.0013399177819227726,-0.013299929405863819,0.029355927375573774,0.317875,0.682125,uncertain,below 0
regularizing,0.75,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.7078551750884708,0.6400119406913692,0.7718315397833051,0.2486721222466181,0.13415503706208384,0.39463141951131214,-0.45891813484939015,-0.5860785047280873,-0.30564302907486496,0,1,reduced upper-end concentration under Anchor,below 0
primary,1.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.7384452626562068,0.6682542069772942,0.8009370359568296,0.1653064409495409,0.06897038848257123,0.3141587577520676,-0.5702777800305778,-0.6917389145925379,-0.4093684367061099,0,1,reduced upper-end concentration under Anchor,below 0
weak,2.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.7487453578397065,0.6744263127701824,0.8110739983705189,0.13913670932651806,0.04981142893299127,0.2897698909348929,-0.6054482983418369,-0.7187612477096941,-0.4427992531080872,0,1,reduced upper-end concentration under Anchor,below 0
regularizing,0.75,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.7078551750884708,0.6400119406913692,0.7718315397833051,0.9163993762010971,0.8177662518251105,0.9692669358013148,0.20606861210946842,0.09789294983269954,0.2900826059723921,0.999125,8.75e-4,greater upper-end concentration under Anchor,above 0
primary,1.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.7384452626562068,0.6682542069772942,0.8009370359568296,0.9708183798784327,0.885937764207226,0.9960234787309364,0.2268450202520026,0.1332318936352327,0.30468700201879395,0.99975,2.5e-4,greater upper-end concentration under Anchor,above 0
weak,2.5,gemma3,Network design tool for DC solutions,gemma3__Network design tool for DC solutions,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.7487453578397065,0.6744263127701824,0.8110739983705189,0.9887361141601256,0.9195794340214801,0.999562408592824,0.23411265492327432,0.15360411985100744,0.3122911679899022,0.999875,1.25e-4,greater upper-end concentration under Anchor,above 0
regularizing,0.75,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9887794536675543,0.9720198260672382,0.9965350735045938,0.9678210846480004,0.8996489018156901,0.9928924539612884,-0.019668524112896768,-0.08343994863521555,0.002540929498522998,0.048375,0.951625,uncertain,below 0
primary,1.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.992133041319891,0.9754592577341061,0.9982262136886781,0.9396466221537481,0.8321717017130204,0.9865872591971069,-0.050951088991274984,-0.15778202919961723,-0.005087633709149209,0.0095,0.9905,reduced upper-end concentration under Anchor,below 0
weak,2.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9940089467205426,0.9775911185572729,0.9990424385319394,0.9218468867921314,0.7958845809345677,0.9822530553247996,-0.07054375868287227,-0.1965895413476242,-0.010380981561012468,0.00475,0.99525,reduced upper-end concentration under Anchor,below 0
regularizing,0.75,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9887794536675543,0.9720198260672382,0.9965350735045938,0.9907678153974555,0.9603438733857995,0.9984354637059342,0.0017707238202347986,-0.023280175362969866,0.014882811747787864,0.61275,0.38725,uncertain,above 0
primary,1.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.992133041319891,0.9754592577341061,0.9982262136886781,0.9954729571847336,0.9592738004361092,0.999749449636381,0.0023905491229931353,-0.02937384926769727,0.017365332884550378,0.667375,0.332625,uncertain,above 0
weak,2.5,gemma3,Protection DC system design tool,gemma3__Protection DC system design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9940089467205426,0.9775911185572729,0.9990424385319394,0.9979844122049737,0.9596357181705412,0.9999751706734697,0.002697871896724713,-0.03094769746161937,0.018772126982704317,0.715125,0.284875,uncertain,above 0
regularizing,0.75,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9960455384655784,0.9849133354266791,0.9994767093659966,0.9964102340608265,0.9776627236467633,0.9996623080688144,1.9828976990643454e-4,-0.012657294338594043,0.00656483758840317,0.551,0.449,uncertain,above 0
primary,1.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9962940296566349,0.9837235704132131,0.999484214910615,0.9974241398594492,0.9696151595817807,0.9998903075619688,6.292567727946841e-4,-0.02303386438578756,0.010387527519365251,0.6005,0.3995,uncertain,above 0
weak,2.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.996226179926287,0.9826320553736269,0.9995634101660225,0.9985057063661198,0.9618597222595737,0.9999879075422898,0.0013111811511383742,-0.03173075899290512,0.01360848640742708,0.67675,0.32325,uncertain,above 0
regularizing,0.75,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9960455384655784,0.9849133354266791,0.9994767093659966,0.996527746866121,0.9774243148209398,0.9996875061966589,2.34499084732942e-4,-0.01289797320334511,0.00679765093875017,0.55525,0.44475,uncertain,above 0
primary,1.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9962940296566349,0.9837235704132131,0.999484214910615,0.9974282438447923,0.968256402167493,0.9999018725431781,6.484218865757674e-4,-0.02466081800102132,0.010374330336812579,0.601875,0.398125,uncertain,above 0
weak,2.5,gemma3,Semiconductor-based circuit breaker,gemma3__Semiconductor-based circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.996226179926287,0.9826320553736269,0.9995634101660225,0.9985200886896686,0.9655246507996847,0.9999865263832134,0.0013282276425455875,-0.027098421921312593,0.013176117829863611,0.6795,0.3205,uncertain,above 0
regularizing,0.75,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9409222655344651,0.9044962730715644,0.9654781233415975,0.9395130142422853,0.8547837361922084,0.9797492293291783,-0.0016964152855828973,-0.08248682482226488,0.04704924542478832,0.4815,0.5185,uncertain,below 0
primary,1.5,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.971134689574634,0.941545638556378,0.9877055195405935,0.9497706393853724,0.8443840262826958,0.990771888298391,-0.020344291386412527,-0.12431226660241229,0.027194615181450825,0.246875,0.753125,uncertain,below 0
weak,2.5,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9831283929285611,0.9580843031581169,0.9949402937855052,0.9482633830806038,0.8360967661723852,0.9920004934823037,-0.033495108445998456,-0.14624647699312646,0.014248065898704657,0.120375,0.879625,uncertain,below 0
regularizing,0.75,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9409222655344651,0.9044962730715644,0.9654781233415975,0.9399600994200388,0.8549707778579635,0.9810862607154618,-8.925410734966222e-4,-0.08289972149291366,0.04625295089449939,0.486,0.514,uncertain,below 0
primary,1.5,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.971134689574634,0.941545638556378,0.9877055195405935,0.9500049087931691,0.8445753201642688,0.9901726035639864,-0.02012234538316421,-0.12354575563444513,0.026464857124708335,0.240375,0.759625,uncertain,below 0
weak,2.5,gemma3,Smart and sustainable DC cables,gemma3__Smart and sustainable DC cables,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9831283929285611,0.9580843031581169,0.9949402937855052,0.9484625658405086,0.8385020804150526,0.9915477077895011,-0.03355824115501688,-0.14028247564306162,0.014326924688728574,0.11625,0.88375,uncertain,below 0
regularizing,0.75,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9961794246491076,0.9849290226300541,0.999511595497295,0.9966383435411351,0.9779055795229743,0.9996880850681146,2.1368590430664858e-4,-0.012929979554403061,0.007065171135945139,0.554625,0.445375,uncertain,above 0
primary,1.5,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9963067896962443,0.9837189719094777,0.999551405391912,0.9975138293066794,0.9702806423307172,0.9999016660961139,6.635307930249468e-4,-0.02278090333841102,0.010747856802949889,0.608,0.392,uncertain,above 0
weak,2.5,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9962083797549328,0.9832539005856216,0.9995554197752196,0.9984787582532617,0.9653681125028899,0.999986732695864,0.0013303700464806223,-0.028009977356466164,0.013090552015667714,0.68125,0.31875,uncertain,above 0
regularizing,0.75,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9961794246491076,0.9849290226300541,0.999511595497295,0.9965555309976745,0.9773188060080051,0.9996834331925384,1.8455342206480374e-4,-0.01284538038770419,0.00704300267836585,0.545,0.455,uncertain,above 0
primary,1.5,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9963067896962443,0.9837189719094777,0.999551405391912,0.9975285224749475,0.9694109224076544,0.9999018081406519,6.645424311653714e-4,-0.02400383941982521,0.010879774719293425,0.606,0.394,uncertain,above 0
weak,2.5,gemma3,Solid-state circuit breaker,gemma3__Solid-state circuit breaker,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9962083797549328,0.9832539005856216,0.9995554197752196,0.9984596611458774,0.9616298999715213,0.9999855861958155,0.001325583760766802,-0.03232432392445761,0.012870434783310326,0.67825,0.32175,uncertain,above 0
regularizing,0.75,gemma3,Static protection system,gemma3__Static protection system,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9960860640669946,0.9844635241138688,0.9994648323490898,0.9965096173897907,0.9775936383024605,0.9996669698490148,1.6315915073139564e-4,-0.01289844579680869,0.006879349405597616,0.54525,0.45475,uncertain,above 0
primary,1.5,gemma3,Static protection system,gemma3__Static protection system,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9962122515449853,0.9843192062254753,0.9995017070357811,0.9974416872063068,0.9672937105123438,0.9999126394352509,6.453572877305191e-4,-0.02547695623912281,0.010569710150103905,0.60525,0.39475,uncertain,above 0
weak,2.5,gemma3,Static protection system,gemma3__Static protection system,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.9962796454792182,0.9826453326023497,0.9995469379946411,0.9984999587969807,0.9651086989328486,0.9999849171532007,0.0013204388516676602,-0.028493872903275277,0.013141209498778884,0.679,0.321,uncertain,above 0
regularizing,0.75,gemma3,Static protection system,gemma3__Static protection system,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9960860640669946,0.9844635241138688,0.9994648323490898,0.9965432568143796,0.9779839094750552,0.9996637368449495,2.0111106629439046e-4,-0.012981402663914034,0.0071555678840089605,0.552625,0.447375,uncertain,above 0
primary,1.5,gemma3,Static protection system,gemma3__Static protection system,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9962122515449853,0.9843192062254753,0.9995017070357811,0.9974855068190095,0.9676035990412025,0.9998965145084261,7.370906673781485e-4,-0.026059086135538995,0.010273314420205536,0.614625,0.385375,uncertain,above 0
weak,2.5,gemma3,Static protection system,gemma3__Static protection system,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.9962796454792182,0.9826453326023497,0.9995469379946411,0.9984931944741531,0.9662593766745472,0.999986227664123,0.0013321463887431828,-0.02778463911028635,0.013679199179365234,0.673625,0.326375,uncertain,above 0
regularizing,0.75,llama,DC connectors,llama__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.304166643629825,0.23899491560591843,0.37570470469813333,0.10515982240336208,0.0412962129683686,0.22032665863393497,-0.1966108345626933,-0.28977906752556126,-0.07607388243401732,0.0015,0.9985,reduced upper-end concentration under Anchor,below 0
primary,1.5,llama,DC connectors,llama__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.3264744016200191,0.25647311080019985,0.40122571620572234,0.05705151262896474,0.012104231382172075,0.16974877036259176,-0.265668622312117,-0.35592369733505547,-0.14640674951112292,0,1,reduced upper-end concentration under Anchor,below 0
weak,2.5,llama,DC connectors,llama__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,upper-end probability: P(Y=4),0.3343192170247777,0.2620712100699779,0.4128424281044822,0.03833987728979915,0.004602091360372226,0.14718240141438477,-0.29100744513438953,-0.3832621721205395,-0.1711188526273053,0,1,reduced upper-end concentration under Anchor,below 0
regularizing,0.75,llama,DC connectors,llama__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.304166643629825,0.23899491560591843,0.37570470469813333,0.19723323148620836,0.09648907632901184,0.3430557807225161,-0.10671982763596793,-0.22575626362658044,0.04168114596717493,0.0725,0.9275,uncertain,below 0
primary,1.5,llama,DC connectors,llama__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.3264744016200191,0.25647311080019985,0.40122571620572234,0.17228837158986127,0.06783810171454172,0.32722524465694997,-0.1526063607699537,-0.2839091281974437,0.013030965125771347,0.03325,0.96675,uncertain,below 0
weak,2.5,llama,DC connectors,llama__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,upper-end probability: P(Y=4),0.3343192170247777,0.2620712100699779,0.4128424281044822,0.16443955522774373,0.06408828351830745,0.31483494812469787,-0.16899426822692276,-0.29960816686482095,-0.0055447919876846765,0.021875,0.978125,reduced upper-end concentration under Anchor,below 0
